booking_case_id,route,case_status,shell_state,surface_state,control_state,continuity_state,route_publication_state,dominant_action,return_route_ref,notes
booking_case_293_live,/bookings/booking_case_293_live,capability_checked,ready,self_service_live,writable,preserved,published,search_slots,/appointments,Entry posture keeps one calm self-service action above the fold.
booking_case_293_live,/bookings/booking_case_293_live/select,capability_checked,ready,self_service_live,writable,preserved,published,search_slots,/appointments,Selection child host stays inside the same shell.
booking_case_293_live,/bookings/booking_case_293_live/confirm,capability_checked,ready,self_service_live,writable,preserved,published,search_slots,/appointments,Confirmation child host reuses the same summary and return rails.
booking_case_293_linkage,/bookings/booking_case_293_linkage,capability_checked,read_only,linkage_required,blocked,preserved,published,repair_gp_linkage,/requests,Need summary stays visible while linkage repair becomes the lawful next action.
booking_case_293_local_component,/bookings/booking_case_293_local_component,capability_checked,read_only,local_component_required,read_only,preserved,published,launch_local_component,/appointments,Linked-component posture preserves shell orientation before handoff.
booking_case_293_assisted,/bookings/booking_case_293_assisted,capability_checked,read_only,assisted_only,read_only,preserved,published,request_staff_assist,/home,Assisted path is dominant and same-shell.
booking_case_293_degraded,/bookings/booking_case_293_degraded,searching_local,partial,degraded_manual,blocked,preserved,published,fallback_contact_practice_support,/requests,Degraded manual posture suppresses stale self-service controls in place.
booking_case_293_blocked,/bookings/booking_case_293_blocked,confirmation_pending,read_only,blocked,blocked,read_only,frozen,fallback_continue_read_only,/appointments,Selected anchor is preserved as provenance only.
booking_case_293_recovery,/bookings/booking_case_293_recovery,supplier_reconciliation_pending,recovery_required,recovery_required,blocked,recovery_required,withdrawn,refresh_booking_continuity,/home,Continuity drift fails closed without leaving the shell.
booking_case_293_partial,/bookings/booking_case_293_partial,handoff_received,loading,self_service_live,writable,preserved,published,search_slots,/appointments,Loading posture keeps the need frame and help path visible instead of a detached spinner.
