criterion_id,criterion_title,criterion_class,required_artifact_refs,required_requirement_ids,required_task_refs,required_dependency_refs,required_risk_refs,required_conformance_refs,auto_check_rule,manual_review_rule,status,blocker_if_failed,notes,gate_impact,source_refs,waiver_ref
CRIT_SRC_001,Source algorithm ingested and summary drift reconciled,source_truth,"[""requirement_registry.jsonl"", ""source_manifest.json"", ""summary_reconciliation_matrix.csv"", ""cross_phase_conformance_seed.json""]","[""REQ-SRC-vecells-complete-end-to-end-flow-md"", ""REQ-OBJ-lifecyclecoordinator"", ""REQ-OBJ-runtimepublicationbundle"", ""REQ-OBJ-designcontractpublicationbundle""]","[""seq_001"", ""seq_002""]",[],"[""RISK_MUTATION_001"", ""RISK_RUNTIME_001""]","[""PHASE_CONFORMANCE_ROW_PHASE_0""]","Requirement registry, source manifest, reconciliation matrix, and conformance seed all exist and remain internally consistent.",Confirm newly added blueprint sources or late forensic findings have not bypassed the source-precedence policy.,pass,No foundation gate without a reconciled source algorithm.,"1453 canonical requirements are registered across 32 blueprint sources, with 29 reconciliation rows and 90 canonical aliases.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_SCOPE_001,Current and deferred scope baseline frozen,scope,"[""product_scope_matrix.json"", ""adr_index.json"", ""programme_milestones.json""]",[],"[""seq_003"", ""seq_016"", ""seq_017""]",[],[],[],"Phase 7 remains deferred in scope, ADR, and programme artifacts while phases 0-6, 8, and 9 remain current baseline.","If a new channel is proposed, force a scope decision before any implementation branch reuses Phase 0 authority.",pass,No Phase 0 entry while current and deferred scope are ambiguous.,"The current delivery baseline is Phases 0 to 6, Phase 8, and Phase 9, with Phase 7 retained as a deferred NHS App embedded-channel expansion.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ARCH_001,"Persona, channel, audience, and shell inventory frozen",architecture,"[""audience_surface_inventory.csv"", ""gateway_surface_matrix.csv"", ""frontend_stack_scorecard.csv""]","[""REQ-OBJ-persistentshell"", ""REQ-OBJ-audiencesurfaceruntimebinding"", ""REQ-INV-044"", ""REQ-INV-062""]","[""seq_004"", ""seq_011"", ""seq_014""]",[],"[""RISK_UI_001""]",[],"Persona, channel, shell, and gateway matrices still expose explicit audience and shell ownership counts.","If a new surface appears, bind it to an existing shell family or freeze it out of baseline scope before implementation.",pass,No Phase 0 entry while shell ownership or audience posture is implicit.,"13 personas, 8 channels, and 22 persona-surface rows keep shell ownership explicit.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ARCH_002,"Request lineage, object, state, and invariant packs are implementation-ready",architecture,"[""request_lineage_transitions.json"", ""object_catalog.json"", ""state_machines.json""]","[""REQ-OBJ-lifecyclecoordinator"", ""REQ-INV-012"", ""GAP-FINDING-045"", ""REQ-OBJ-routeintentbinding"", ""REQ-OBJ-commandactionrecord"", ""REQ-OBJ-commandsettlementrecord"", ""REQ-EDGE-ROUTE-INTENT-AND-SETTLEMENT"", ""REQ-INV-025"", ""REQ-INV-035"", ""REQ-INV-036"", ""REQ-INV-037"", ""REQ-INV-053"", ""REQ-TEST-phase-9-the-assurance-ledger-md-132""]","[""seq_005"", ""seq_006"", ""seq_007""]",[],"[""RISK_STATE_001"", ""RISK_STATE_002"", ""RISK_STATE_003"", ""RISK_STATE_005""]","[""PHASE_CONFORMANCE_ROW_PHASE_0""]","Lineage stages, object catalog, and state-machine atlas all exist with no unresolved catalog gaps.",Review any new phase-local state proposal against the canonical object and invariant pack before allowing implementation.,pass,No Phase 0 entry while canonical domain truth is still partial or prose-only.,"14 lineage stages, 950 canonical objects, and 41 state machines are published.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ARCH_003,"Lifecycle ownership, route-intent binding, and command settlement are explicit",architecture,"[""service_runtime_matrix.csv"", ""request_lineage_transitions.json"", ""cross_phase_conformance_seed.json"", ""adr_index.json""]","[""REQ-OBJ-lifecyclecoordinator"", ""REQ-INV-012"", ""GAP-FINDING-045"", ""REQ-OBJ-routeintentbinding"", ""REQ-OBJ-commandactionrecord"", ""REQ-OBJ-commandsettlementrecord"", ""REQ-EDGE-ROUTE-INTENT-AND-SETTLEMENT"", ""REQ-INV-025"", ""REQ-INV-035"", ""REQ-INV-036"", ""REQ-INV-037""]","[""seq_005"", ""seq_013"", ""seq_016""]",[],"[""RISK_MUTATION_001"", ""RISK_MUTATION_002"", ""RISK_MUTATION_003"", ""RISK_OWNERSHIP_001""]","[""PHASE_CONFORMANCE_ROW_PHASE_0""]",LifecycleCoordinator appears as sole cross-domain authority and Command API remains the only canonical writer while the Phase 0 conformance seed still names ownership and mutation conflicts.,Reject any proposed child-domain direct write or route-local authoritative mutation before it lands in a Phase 0 implementation task.,pass,No Phase 0 entry while lifecycle ownership or settlement law is implicit.,"LifecycleCoordinator, RouteIntentBinding, CommandActionRecord, and CommandSettlementRecord remain first-class foundation contracts.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ARCH_004,"Adapter boundaries include inbox, outbox, idempotency, replay, and degradation posture",architecture,"[""external_dependencies.json"", ""async_effect_proof_matrix.csv"", ""service_runtime_matrix.csv""]","[""REQ-OBJ-adapterdispatchattempt"", ""REQ-OBJ-adapterreceiptcheckpoint"", ""REQ-INV-028""]","[""seq_008"", ""seq_013""]","[""dep_nhs_login_rail"", ""dep_cross_org_secure_messaging_mesh"", ""dep_pharmacy_referral_transport""]","[""RISK_BOOKING_002"", ""RISK_PHARMACY_001""]",[],"Async effect matrix rows must continue to expose inbox/outbox, idempotency, replay, and authoritative proof upgrades for integration paths.",Any new external integration must add a first-class effect row before implementation may rely on it.,pass,No Phase 0 entry while adapters are only named by vendor or transport and not by proof contract.,"20 async effect lanes preserve outbox, inbox, idempotency, and replay law at the integration boundary.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ARCH_005,Unhappy-path invariants are planned from the start,architecture,"[""state_machines.json"", ""request_lineage_transitions.json"", ""master_risk_register.json""]","[""REQ-INV-053"", ""REQ-TEST-phase-9-the-assurance-ledger-md-132""]","[""seq_005"", ""seq_007"", ""seq_018""]",[],"[""HZ_DUPLICATE_SUPPRESSION_OR_MERGE"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""HZ_WRONG_PATIENT_BINDING""]",[],"State-machine and lineage packs continue to name duplicate replay, quarantine, fallback review, repair hold, and confirmation-gate blocking paths.",Treat any proposed 'happy-path only' foundation task as non-compliant until the unhappy-path state and proof obligations are added.,pass,No Phase 0 entry while unhappy-path invariants remain late hardening.,State atlas still carries 82 conflict rows and the lineage model keeps 6 bounded gap rows explicit instead of hiding unhappy paths.,blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_DEP_002,Current-baseline external-readiness gate is cleared for Phase 0 entry,dependency_readiness,"[""external_dependencies.json"", ""external_assurance_obligations.csv"", ""dependency_simulator_strategy.json"", ""programme_milestones.json"", ""merge_gate_matrix.csv"", ""dependency_watchlist.json"", ""master_risk_register.json""]",[],"[""seq_021"", ""seq_022"", ""seq_023"", ""seq_024"", ""seq_025"", ""seq_026"", ""seq_028"", ""seq_031"", ""seq_032"", ""seq_033"", ""seq_034"", ""seq_035"", ""seq_036"", ""seq_037"", ""seq_038"", ""seq_039"", ""seq_040""]","[""dep_nhs_login_rail"", ""dep_im1_pairing_programme"", ""dep_cross_org_secure_messaging_mesh""]","[""HZ_WRONG_PATIENT_BINDING"", ""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""RISK_EXT_NHS_LOGIN_DELAY"", ""RISK_EXT_COMMS_VENDOR_DELAY"", ""RISK_EXT_IM1_SCAL_DELAY""]","[""PHASE_CONFORMANCE_ROW_PHASE_0""]",GATE_EXTERNAL_TO_FOUNDATION must no longer be blocked and the current-baseline onboarding dependencies named by that gate must not remain blocked or onboarding.,"Re-run the gate after seq_021-seq_040 and require explicit partner-path, simulator-freeze, and manual-checkpoint evidence.",blocked,No Phase 0 entry until current-baseline external readiness and manual checkpoint truth are complete.,"GATE_EXTERNAL_TO_FOUNDATION is still blocked; 17 current-baseline dependencies are still blocked or onboarding, including dep_nhs_login_rail, dep_im1_pairing_programme, and dep_cross_org_secure_messaging_mesh.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_DEP_001,External dependency inventory and simulator strategy are defined,dependency_readiness,"[""external_dependencies.json"", ""external_assurance_obligations.csv"", ""dependency_simulator_strategy.json""]",[],"[""seq_008""]","[""dep_nhs_login_rail"", ""dep_im1_pairing_programme"", ""dep_cross_org_secure_messaging_mesh""]","[""RISK_EXT_NHS_LOGIN_DELAY"", ""RISK_EXT_IM1_SCAL_DELAY"", ""RISK_EXT_COMMS_VENDOR_DELAY""]",[],"Dependency inventory, assurance obligations, and simulator strategy exist and remain current-baseline aware.",Keep optional PDS and deferred NHS App evidence inventoried but non-blocking unless scope changes explicitly.,pass,No Phase 0 entry while dependency shape or simulator posture is undefined.,"20 dependencies, 60 assurance obligations, and 12 future browser-automation rows are published.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
CRIT_ASSURANCE_001,"Safety, privacy, regulatory, and change-control workstreams are opened",assurance_readiness,"[""regulatory_workstreams.json"", ""safety_hazard_register_seed.csv"", ""cross_phase_conformance_seed.json""]","[""REQ-INV-053"", ""REQ-TEST-phase-9-the-assurance-ledger-md-132""]","[""seq_009""]","[""dep_nhs_assurance_and_standards_sources""]","[""HZ_WRONG_PATIENT_BINDING"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE""]","[""PHASE_CONFORMANCE_ROW_PHASE_0""]","Regulatory workstreams, evidence schedule, hazard seed, and change-control triggers must still exist with zero unresolved gaps.","Treat later supplier onboarding evidence as a continuation of these workstreams, not as a substitute for them.",pass,No Phase 0 entry while assurance workstreams are implicit or unowned.,"13 workstreams, 24 scheduled evidence artifacts, and 11 seeded hazards are active.",blocking,"[""prompt/020.md"", ""prompt/shared_operating_contract_016_to_020.md"", ""blueprint/phase-cards.md#Card 1: Phase 0 - The Foundation Protocol"", ""blueprint/phase-0-the-foundation-protocol.md#0A. Delivery skeleton and repository architecture"", ""blueprint/phase-0-the-foundation-protocol.md#0B. Canonical domain kernel and state machine"", ""blueprint/phase-0-the-foundation-protocol.md#0G. Observability, security plumbing, and operational controls"", ""blueprint/platform-runtime-and-release-blueprint.md#Verification ladder contract"", ""blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract"", ""blueprint/platform-admin-and-config-blueprint.md#Config compilation pipeline"", ""blueprint/platform-admin-and-config-blueprint.md#Production promotion gate"", ""blueprint/phase-9-the-assurance-ledger.md#PhaseConformanceRow"", ""blueprint/phase-9-the-assurance-ledger.md#CrossPhaseConformanceScorecard"", ""blueprint/forensic-audit-findings.md#Findings 95, 104-120""]",
