task_id,posture_key,route,reason_code,frame,accent,writable_allowed,max_visible_detail,dominant_action
par_197,claim_pending,/portal/claim/pending,access_grant_redemption_pending,ClaimPendingFrame,pending,false,claim_context,Stay on this page
par_197,claim_confirmed,/portal/claim/confirmed,access_grant_settled_same_lineage,PostureShell,settled,true,claim_context,Open request status
par_197,read_only,/portal/claim/read-only,scope_envelope_narrowed_read_only,ReadOnlyReturnFrame,read_only,false,read_only_summary,View safe summary
par_197,recover_only,/portal/claim/recover-only,stale_link_already_settled,RecoverOnlyFrame,support,false,summary_only,Continue recovery
par_197,identity_hold,/portal/claim/identity-hold,identity_evidence_hold_active,IdentityHoldBridge,hold,false,summary_only,Continue identity check
par_197,rebind_required,/portal/claim/rebind-required,subject_rebind_required,RebindRequiredBridge,hold,false,summary_only,Reconnect request
par_197,stale_link_mapped,/portal/claim/stale-link,stale_link_already_settled,StaleGrantMappedOutcomeCard,support,false,summary_only,Go to current result
par_197,stale_grant_mapped,/portal/claim/stale-grant,duplicate_redemption_mapped,StaleGrantMappedOutcomeCard,support,false,summary_only,Open settled result
par_197,support_recovery_required,/portal/claim/support-recovery,support_recovery_required,RecoverOnlyFrame,support,false,summary_only,Contact support
par_197,wrong_patient_freeze,/portal/claim/wrong-patient-freeze,wrong_patient_freeze_active,IdentityHoldBridge,hold,false,summary_only,Get help with this request
par_197,promoted_draft_mapped,/portal/claim/promoted-draft,promoted_draft_already_request,StaleGrantMappedOutcomeCard,settled,false,summary_only,Open request status
