audit_to_fhir_companion_matrix_id,audit_action_taxonomy_id,action_code,fhir_representation_contract_ref,audit_event_profile,provenance_profile,companion_generation_mode,canonical_truth_state,admissibility_binding,disclosure_ceiling_ref,source_refs,rationale
AFCM_053_IDENTITY_SESSION_ESTABLISHED,AAT_053_IDENTITY_SESSION_ESTABLISHED,identity_session_established,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_IDENTITY_SESSION_ROTATED,AAT_053_IDENTITY_SESSION_ROTATED,identity_session_rotated,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_IDENTITY_SESSION_TERMINATED,AAT_053_IDENTITY_SESSION_TERMINATED,identity_session_terminated,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_ROUTE_INTENT_ESTABLISHED,AAT_053_ROUTE_INTENT_ESTABLISHED,route_intent_established,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_COMMAND_INGESTED,AAT_053_COMMAND_INGESTED,command_ingested,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_COMMAND_SETTLED,AAT_053_COMMAND_SETTLED,command_settled,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_PROJECTION_VISIBLE,AAT_053_PROJECTION_VISIBLE,projection_visible,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_BREAK_GLASS_USED,AAT_053_BREAK_GLASS_USED,break_glass_used,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_INVESTIGATION_SCOPE_ENVELOPE,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_SUPPORT_REPLAY_RESTORE_REQUIRED,AAT_053_SUPPORT_REPLAY_RESTORE_REQUIRED,support_replay_restore_required,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_SUPPORT_MASKED_REPLAY,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
AFCM_053_SUPPORT_REPLAY_RESTORE_SETTLED,AAT_053_SUPPORT_REPLAY_RESTORE_SETTLED,support_replay_restore_settled,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,derived_on_append_only,AuditRecord_canonical_companion_only,same_graph_as_export_replay_retention,POL_SUPPORT_MASKED_REPLAY,data/analysis/fhir_representation_contracts.json;docs/architecture/10_audit_posture_and_event_disclosure.md,FHIR AuditEvent and Provenance are companion outputs derived from immutable audit and may never replace the internal audit join.
