task_id,environment_id,redirect_uri_id,approved_redirect_uri,client_config_id,route_family_id,post_auth_return_intent_pattern,state_prefix,provider_registered_path_count,arbitrary_return_url_allowed,live_mutation_gate
202,local,redirect_patient_portal_callback,http://127.0.0.1:4174/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_home,pai_patient_home_entry,st.home,1,false,dry_run_only
202,local,redirect_patient_portal_callback,http://127.0.0.1:4174/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_requests,pai_patient_request_detail,st.req,1,false,dry_run_only
202,local,redirect_patient_portal_callback,http://127.0.0.1:4174/auth/nhs-login/callback,nhs_client_patient_portal,rf_intake_self_service,pai_intake_upgrade,st.intake,1,false,dry_run_only
202,local,redirect_patient_portal_callback,http://127.0.0.1:4174/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_secure_link_recovery,pai_secure_link_recovery,st.recover,1,false,dry_run_only
202,sandbox_twin,redirect_patient_portal_callback,https://sandpit-like.vecells.local/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_home,pai_patient_home_entry,st.home,1,false,dry_run_only
202,sandbox_twin,redirect_patient_portal_callback,https://sandpit-like.vecells.local/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_requests,pai_patient_request_detail,st.req,1,false,dry_run_only
202,sandpit_candidate,redirect_patient_portal_callback,https://sandpit.patient.vecells.example/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_home,pai_patient_home_entry,st.home,1,false,requires_explicit_live_gate
202,sandpit_candidate,redirect_patient_portal_callback,https://sandpit.patient.vecells.example/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_requests,pai_patient_request_detail,st.req,1,false,requires_explicit_live_gate
202,integration_candidate,redirect_patient_portal_callback,https://integration.patient.vecells.example/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_home,pai_patient_home_entry,st.home,1,false,requires_explicit_live_gate
202,integration_candidate,redirect_patient_portal_callback,https://integration.patient.vecells.example/auth/nhs-login/callback,nhs_client_patient_portal,rf_patient_requests,pai_patient_request_detail,st.req,1,false,requires_explicit_live_gate
202,local,redirect_recovery_bridge_callback,http://127.0.0.1:4174/auth/nhs-login/recovery-callback,nhs_client_recovery_bridge,rf_patient_secure_link_recovery,pai_secure_link_recovery,st.rec,1,false,dry_run_only
202,sandbox_twin,redirect_recovery_bridge_callback,https://sandpit-like.vecells.local/auth/nhs-login/recovery-callback,nhs_client_recovery_bridge,rf_patient_secure_link_recovery,pai_secure_link_recovery,st.rec,1,false,dry_run_only
202,sandpit_candidate,redirect_recovery_bridge_callback,https://sandpit.patient.vecells.example/auth/nhs-login/recovery-callback,nhs_client_recovery_bridge,rf_contact_repair,pai_contact_repair_return,st.contact,1,false,requires_explicit_live_gate
202,integration_candidate,redirect_recovery_bridge_callback,https://integration.patient.vecells.example/auth/nhs-login/recovery-callback,nhs_client_recovery_bridge,rf_contact_repair,pai_contact_repair_return,st.contact,1,false,requires_explicit_live_gate
