divergence_id,integration_id,integration_name,divergence_class,baseline_role,recommended_lane,mock_now_execution_rank,actual_provider_strategy_later_rank,rank_delta_live_minus_mock,mock_now_summary,actual_provider_summary,proof_gap_summary,later_task_refs,later_task_titles,risk_refs,notes
DIV_INT_STANDARDS_AND_ASSURANCE_WATCH,int_standards_and_assurance_watch,NHS standards and assurance source watch,lane_alignment_gap,baseline_required,mock_now,12,15,3,The external-readiness programme needs a pinned standards watch immediately so the rest of the provider strategy does not drift onto stale guidance or undocumented approval assumptions.,"There is no provider-acquisition track here; later work is watch refresh and exception handling, not a separate onboarding exercise.","Maintain one pinned version map, freshness digest, and change-watch signal so new docs or standards changes never silently widen capability or compliance claims.","['seq_039', 'seq_040']","['external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE', 'HZ_WRONG_PATIENT_BINDING']","The family is read-mostly, but it is still a baseline requirement because stale standards can invalidate the rest of the ranking."
DIV_INT_PHARMACY_OUTCOME_RECONCILIATION,int_pharmacy_outcome_reconciliation,Pharmacy outcome observation and reconciliation seam,proof_stricter_than_public_onboarding,baseline_mock_required,mock_now,4,5,1,"Outcome replay, weak correlation, manual review, and reopened-for-safety behavior are canonical control problems and must be testable before the live assured observation path exists.","Real Update Record or equivalent inbound observation routes need assured combinations and correlation evidence later, but they do not remove the need for a replay-safe mock seam now.","Simulate exact replay, semantic replay, collision review, unresolved match, resolved_apply, resolved_reopen, unmatched, proof-bearing correlation chains, and blocked closure. Weakly matched outcomes may not auto-close the request or stand in for authoritative proof.","['seq_022', 'seq_037', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external identify pharmacy directory and update record access paths', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['RISK_EXT_PHARMACY_PROVIDER_GAP', 'RISK_PHARMACY_001', 'RISK_RECOVERY_001', 'RISK_OWNERSHIP_003']",Outcome ingest is replay-safe or it is not safe. This family blocks closure until the reconciliation gate settles.
DIV_INT_TELEPHONY_CAPTURE_EVIDENCE_BACKPLANE,int_telephony_capture_evidence_backplane,"Telephony capture, transcript, and artifact-safety backplane",proof_stricter_than_public_onboarding,baseline_mock_required,mock_now,5,4,-1,"Telephony parity is baseline law and the product cannot wait for live carrier, recording, transcript, or scanning accounts before it proves IVR choreography, evidence readiness, and urgent fallback states.","Live numbers, recording retention, transcript handling, and scanner placement all carry contract, privacy, and safety review before they become production truth.","Simulate call-session creation, IVR branch capture, webhook retries, recording present or missing, transcript usable versus unusable, artifact quarantine, safety-usable versus manual-review states, callback or secure-link fallback, and urgent escalation. Answered call or file stored may not imply clinically usable evidence or completed contact.","['seq_022', 'seq_023', 'seq_031', 'seq_032', 'seq_034', 'seq_035', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external create sandbox account strategy and secret ownership model', 'external select telephony ivr sms and email vendors', 'external use Playwright or other appropriate tooling browser automation to create telephony vendor accounts and test numbers', 'external select transcription and artifact scanning providers', 'external use Playwright or other appropriate tooling browser automation to provision transcription and malware scanning projects', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['HZ_TELEPHONY_EVIDENCE_INADEQUACY', 'HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE', 'RISK_EXT_COMMS_VENDOR_DELAY', 'RISK_MUTATION_003', 'RISK_STATE_004', 'RISK_MUTATION_001']","Treat telephony capture as a proof-bearing evidence lane, not as a commodity voice API. Transcript completion alone is never enough; the readiness assessment stays authoritative."
DIV_INT_NETWORK_CAPACITY_AND_PRACTICE_ACK,int_network_capacity_and_practice_ack,Network capacity and practice-acknowledgement seam,proof_stricter_than_public_onboarding,baseline_mock_required,mock_now,6,7,1,"Hub choice, callback fallback, practice visibility debt, and acknowledgement overdue states must be available to product and platform teams before real partner feeds or practice routes exist.",Live partner feeds and practice acknowledgements still need data-sharing and trust review before they can drive patient-visible offers or closable hub outcomes.,"Simulate trusted versus stale capacity snapshots, callback fallback, return-to-practice, acknowledgement generations, overdue practice debt, and supplier drift without letting stale feeds or missing ack clear the case.","['seq_022', 'seq_036', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external identify gp system provider sandbox paths and booking capability evidence', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['RISK_BOOKING_002', 'RISK_RECOVERY_001', 'RISK_BOOKING_001', 'RISK_EXT_BOOKING_PROVIDER_GAP', 'RISK_OWNERSHIP_003']",Hub flows must stay subordinate to trusted_offerable capacity and current-generation practice visibility debt.
DIV_INT_PHARMACY_DISPATCH_AND_URGENT_RETURN,int_pharmacy_dispatch_and_urgent_return,Pharmacy dispatch proof and urgent-return seam,proof_stricter_than_public_onboarding,baseline_mock_required,mock_now,1,1,0,"The pharmacy loop cannot wait for live dispatch or monitored urgent-return routes before it proves frozen package hashes, transport ambiguity, redispatch, and urgent reopen behavior.","Real monitored routes, transport assurance, and professional escalation contacts are later onboarding work, but the simulator must already preserve their proof versus ambiguity law.","Simulate dispatch attempts, transport accepted versus authoritative proof, proof deadlines, redispatch, weak email or weak mailbox returns, urgent return phone escalation, and reopen-for-safety. Update Record may not stand in for urgent return and mock send acceptance may not count as resolved dispatch truth.","['seq_022', 'seq_037', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external identify pharmacy directory and update record access paths', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['RISK_EXT_PHARMACY_PROVIDER_GAP', 'RISK_PHARMACY_001', 'RISK_RECOVERY_001', 'RISK_OWNERSHIP_003']",Low mock feasibility does not excuse low fidelity. This family is exactly where proof-bearing and simple transport semantics must not be flattened.
DIV_INT_LOCAL_BOOKING_PROVIDER_TRUTH,int_local_booking_provider_truth,Local booking provider capability and confirmation-truth seam,proof_stricter_than_public_onboarding,baseline_mock_required,mock_now,3,3,0,"Booking revalidation, confirmation ambiguity, waitlist fallback, and manage-freeze rules must be proven behind a simulator before any supplier path, pairing, or portal credential becomes current.","Live patient-facing booking still needs provider-path evidence, pairing readiness, and exact confirmation proof before it can move beyond simulator-backed development.","Simulate slot search snapshots, capability resolution, held versus non-exclusive reservation truth, revalidation failure, confirmation_pending, disputed callbacks, same-commit read-after-write proof, manage freeze, waitlist fallback, and wrong-patient freeze. Queue or webhook acceptance may not imply booked truth.","['seq_022', 'seq_026', 'seq_036', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external use Playwright or other appropriate tooling browser automation to submit im1 pairing prerequisite forms and track scal artifacts', 'external identify gp system provider sandbox paths and booking capability evidence', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['RISK_EXT_IM1_SCAL_DELAY', 'RISK_BOOKING_002', 'RISK_PHARMACY_001', 'RISK_RUNTIME_001', 'RISK_RECOVERY_001', 'RISK_BOOKING_001', 'RISK_EXT_BOOKING_PROVIDER_GAP', 'RISK_OWNERSHIP_003']","Proof-bearing family. Confirmation truth must stay distinct from acceptance, queueing, or webhook arrival."
DIV_INT_PHARMACY_DIRECTORY_AND_CHOICE,int_pharmacy_directory_and_choice,Pharmacy directory and patient-choice seam,lane_alignment_gap,baseline_mock_required,mock_now,9,9,0,"Patient choice, warned-choice explanations, opening-hours logic, and consent supersession need a stable directory simulator long before a real strategic search rail is current.",Live directory access and source-freshness proof remain later onboarding work and should not be treated as a current-baseline blocker while the choice contract is still being built.,"Simulate snapshot freshness, provider opening hours, provider withdrawal, no-safe-choice conditions, warned choices, and consent reset when the selected provider or pathway drifts.","['seq_022', 'seq_037', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external identify pharmacy directory and update record access paths', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['RISK_EXT_PHARMACY_PROVIDER_GAP', 'RISK_PHARMACY_001', 'RISK_RECOVERY_001', 'RISK_BOOKING_001', 'RISK_OWNERSHIP_003']","Directory drift may supersede the choice tuple, but it may not silently reorder or reinterpret a frozen patient choice."
DIV_INT_EMAIL_NOTIFICATION_DELIVERY,int_email_notification_delivery,Email and secure-link notification rail,lane_alignment_gap,baseline_mock_required,mock_now,10,10,0,"Receipts, secure-link recovery, and callback or message reassurance need realistic delivery evidence and bounce semantics before a live notification vendor is onboarded.","Live sender-domain verification, webhook ownership, and delivery evidence still need later onboarding before the system can promote calm patient or staff reassurance from a real provider.","Simulate accepted, queued, delivered, bounced, disputed, and expired delivery chains and keep those states separate from current CommunicationEnvelope truth or secure-link authority.","['seq_022', 'seq_023', 'seq_031', 'seq_033', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external create sandbox account strategy and secret ownership model', 'external select telephony ivr sms and email vendors', 'external use Playwright or other appropriate tooling browser automation to create sms and email notification projects', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['HZ_TELEPHONY_EVIDENCE_INADEQUACY', 'HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE', 'RISK_EXT_COMMS_VENDOR_DELAY', 'HZ_WRONG_PATIENT_BINDING']","Do not let notification acceptance outrank booking, hub, or pharmacy truth. Delivery evidence informs communication posture only; it does not settle operational truth on its own."
DIV_INT_CROSS_ORG_SECURE_MESSAGING,int_cross_org_secure_messaging,Cross-organisation secure messaging and MESH seam,proof_stricter_than_public_onboarding,baseline_mock_required,hybrid_mock_then_live,7,6,-1,"Hub, practice, and pharmacy message flows need replay-safe transport proof, ambiguity, and escalation behavior now even though live mailbox or certificate onboarding will lag.","Real mailboxes, certificates, minimum-necessary payload review, and cross-org approvals are later work that should start early but must not stall simulator-backed implementation.","Simulate ordered outbox dispatch, queue acceptance, mailbox receipt, duplicate or reordered callbacks, disputed delivery, proof upgrades, and escalation routes. Transport acceptance alone may never settle hub or pharmacy truth, and the mock must preserve explicit proof versus ambiguity states for every effect chain.","['seq_022', 'seq_023', 'seq_028', 'seq_038', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external create sandbox account strategy and secret ownership model', 'external use Playwright or other appropriate tooling browser automation to request mesh test mailbox and message workflow access', 'external create local adapter simulator backlog for unavailable or manual integrations', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['HZ_TELEPHONY_EVIDENCE_INADEQUACY', 'HZ_DUPLICATE_SUPPRESSION_OR_MERGE', 'RISK_BOOKING_002', 'HZ_WRONG_PATIENT_BINDING', 'RISK_RECOVERY_001', 'RISK_BOOKING_001', 'RISK_EXT_MESH_DELAY', 'RISK_OWNERSHIP_003']",Proof-bearing transport family. Weak mailbox or weak transport semantics must stay visibly distinct from business settlement.
DIV_INT_IDENTITY_NHS_LOGIN_CORE,int_identity_nhs_login_core,NHS login core identity rail,proof_stricter_than_public_onboarding,baseline_required,hybrid_mock_then_live,2,2,0,"Phase 2 cannot defer auth transactions, route-intent binding, subject mismatch handling, or read-only versus writable recovery states until the partner onboarding completes.","Current-baseline authenticated and recovery-grade patient authority still depends on real redirect inventory, partner approval, and live session proof before the rail is admissible.","Simulate frozen authorize and callback scope bundles, state or nonce or PKCE fences, consent decline, insufficient assurance, subject mismatch, callback replay, auth_read_only, claim_pending, writable, and bounded recovery. Mock callback arrival must never equal writable authority.","['seq_022', 'seq_023', 'seq_024', 'seq_025', 'seq_039', 'seq_040']","['external define provider selection scorecards for identity telephony notifications gp and pharmacy', 'external create sandbox account strategy and secret ownership model', 'external use Playwright or other appropriate tooling browser automation to submit nhs login partner access requests', 'external use Playwright or other appropriate tooling browser automation to capture nhs login credentials and redirect uris', 'external document manual approval checkpoints and browser automation retries', 'external freeze integration contract assumptions and degraded mode defaults']","['HZ_TELEPHONY_EVIDENCE_INADEQUACY', 'HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE', 'RISK_EXT_NHS_LOGIN_DELAY', 'RISK_MUTATION_003', 'RISK_RUNTIME_001', 'HZ_WRONG_PATIENT_BINDING', 'RISK_MUTATION_002', 'RISK_STATE_001']","Core identity rail. Do not let callback success, subject claims, or token exchange stand in for SessionEstablishmentDecision plus RouteIntentBinding and current IdentityBinding."
