component_id,display_name,primitive_family,atlas_section,surface_role,shell_types,route_family_refs,specimen_ids,token_refs,kernel_binding_refs,api_signature,visualization_parity
ShellFrame,Shell Frame,shell-plane,shell-plane,shell-plane,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.canvas|ref.color.surface.shell|ref.space.32|ref.type.role.section,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"ShellFrame({ binding, specimenId, headline, summary, dominantActionLabel, promotedSupportRegion, children })",not_applicable
ShellRail,Shell Rail,shell-plane,shell-plane,rail,patient|staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.inset|ref.color.border.default|ref.space.16|ref.radius.lg,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"ShellRail({ title, items, eyebrow, footer })",not_applicable
ShellHeader,Shell Header,shell-plane,shell-plane,shell-plane,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.type.role.title|ref.type.role.body|ref.space.24|ref.motion.duration.reveal,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"ShellHeader({ eyebrow, title, summary, chips, children })",not_applicable
SharedStatusStrip,Shared Status Strip,shell-plane,shell-plane,status-strip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.radius.md|ref.space.12,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"SharedStatusStrip({ tone, stateLabel, freshnessLabel, settlementLabel, continuityKey })",not_applicable
PromotedSupportRegionFrame,Promoted Support Region Frame,shell-plane,shell-plane,artifact,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Governance_Approval_Frame,ref.color.surface.panel|ref.radius.lg|ref.space.24|ref.color.border.default,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"PromotedSupportRegionFrame({ title, eyebrow, children, supportingCopy })",not_applicable
CasePulse,Case Pulse,semantic-working,semantic-working,card,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview,ref.color.surface.panel|ref.type.role.label|ref.type.role.section|ref.radius.md,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1,"CasePulse({ label, value, detail, tone })",not_applicable
StateBraid,State Braid,semantic-working,semantic-working,task,staff|operations|governance,rf_staff_workspace|rf_operations_board|rf_governance_shell,Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.space.8|ref.color.border.default|ref.motion.duration.settle|ref.radius.pill,PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"StateBraid({ steps, activeStep, tone })",not_applicable
DecisionDock,Decision Dock,semantic-working,semantic-working,task,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.space.16|ref.motion.duration.attention|ref.radius.md,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"DecisionDock({ title, summary, primaryActionLabel, secondaryActionLabel, utilityActionLabel, dominantMarkerRef, selectedAnchorMarkerRef })",not_applicable
FreshnessChip,Freshness Chip,semantic-working,semantic-working,status-strip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.radius.pill|ref.type.role.label|ref.color.border.default|ref.color.surface.panel,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"FreshnessChip({ freshnessState, label })",not_applicable
AmbientStateRibbon,Ambient State Ribbon,semantic-working,semantic-working,status-strip,patient|staff|operations|governance,rf_patient_home|rf_staff_workspace|rf_operations_board|rf_governance_shell,Patient_Mission_Frame|Workspace_Quiet_Mission_Control|Operations_Control_Room_Preview|Governance_Approval_Frame,ref.color.surface.panel|ref.color.border.default|ref.space.12|ref.type.role.label,PSR_050_PATIENT_V1|dcpb::patient_authenticated_shell::planned|SSKB_050_RF_PATIENT_HOME_V1|AAM_050_RF_PATIENT_HOME_V1|ASCP_050_RF_PATIENT_HOME_V1|PSR_050_STAFF_V1|dcpb::clinical_workspace::planned|SSKB_050_RF_STAFF_WORKSPACE_V1|AAM_050_RF_STAFF_WORKSPACE_V1|ASCP_050_RF_STAFF_WORKSPACE_V1|PSR_050_OPERATIONS_V1|dcpb::operations_console::planned|SSKB_050_RF_OPERATIONS_BOARD_V1|AAM_050_RF_OPERATIONS_BOARD_V1|ASCP_050_RF_OPERATIONS_BOARD_V1|PSR_050_GOVERNANCE_V1|dcpb::governance_admin::planned|SSKB_050_RF_GOVERNANCE_SHELL_V1|AAM_050_RF_GOVERNANCE_SHELL_V1|ASCP_050_RF_GOVERNANCE_SHELL_V1,"AmbientStateRibbon({ tone, label, detail })",not_applicable
