acting_scope_profile_id,display_name,tuple_required,tenant_scope_mode,organisation_scope_mode,environment_scope,policy_plane,purpose_of_use,visibility_contract_ref,runtime_binding_requirement,blast_radius_mode,elevation_rule,drift_triggers,on_drift_posture,audit_posture,source_refs,notes
ACT_PATIENT_PUBLIC_INTAKE,Patient public intake,no,public_pre_identity,not_applicable,current_surface_binding_only,patient_public_entry,public_status,AudienceVisibilityCoverage(patient_public),AudienceSurfaceRuntimeBinding exact for intake surface,pending_subject_lineage_only,none,runtime_binding_drift; release_freeze; channel_freeze,placeholder_only or safe receipt,submission ingress and promotion record required,phase-0-the-foundation-protocol.md#1.38A AudienceSurfaceRuntimeBinding; phase-0-the-foundation-protocol.md#1.39 ReleaseRecoveryDisposition,"Not a staff ActingScopeTuple, but still a governed browser authority posture."
ACT_PATIENT_GRANT_RECOVERY,Patient grant-scoped recovery,no,grant_scoped_subject,not_applicable,current_surface_binding_only,grant_recovery,secure_link_recovery,AudienceVisibilityCoverage(secure_link_recovery),AudienceSurfaceRuntimeBinding exact and grant live,single_subject_single_lineage,grant-bound only,grant_expired; runtime_binding_drift; route_intent_drift,recovery_only or blocked,grant redemption and route intent audit required,"phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; patient-account-and-communications-blueprint.md#Patient audience coverage contract",Patient recovery scope is narrower than ordinary authenticated self-service.
ACT_PATIENT_AUTHENTICATED,Authenticated patient self-service,no,tenant_subject_self_service,not_applicable,current_surface_binding_only,patient_authenticated,authenticated_self_service,AudienceVisibilityCoverage(patient_authenticated),AudienceSurfaceRuntimeBinding exact and writable eligibility fence live,single_tenant_single_subject,current auth session and subject binding only,subject_binding_drift; runtime_binding_drift; writable_eligibility_drift,read_only or recovery_only,"route intent, command settlement, and runtime binding audit required",phase-0-the-foundation-protocol.md#1.40N PatientDegradedModeProjection; patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology,Explicitly prevents stale cache or stale calm copy from outliving the live tuple.
ACT_PATIENT_EMBEDDED,Embedded patient channel,no,tenant_subject_embedded,not_applicable,current_surface_binding_only,embedded_patient_channel,authenticated_self_service,AudienceVisibilityCoverage(patient_embedded_authenticated),AudienceSurfaceRuntimeBinding exact plus embedded compatibility exact,single_tenant_single_subject_embedded_channel,host-manifest and bridge capability exact,embedded_manifest_drift; runtime_binding_drift; channel_freeze,handoff_only or read_only,embedded session projection and bridge capability audit required,phase-7-inside-the-nhs-app.md; phase-0-the-foundation-protocol.md#1.39 ReleaseRecoveryDisposition,Keeps embedded posture from silently inheriting standalone browser affordances.
ACT_STAFF_SINGLE_ORG,Staff single-organisation operations,yes,tenant_org_scoped_staff,single_org,current_runtime_binding,care_delivery,operational_care_delivery,MinimumNecessaryContract(single_org_staff),ActingScopeTuple and AudienceSurfaceRuntimeBinding exact,single_tenant_single_org_operational_slice,organisation membership and current step-up if required,organisation_switch; tenant_scope_change; environment_change; policy_plane_change; purpose_of_use_change; elevation_expired; visibility_contract_drift,stale_recoverable or denied_scope,"scope tuple hash, route intent, and command settlement required",phase-0-the-foundation-protocol.md#ActingScopeTuple; phase-0-the-foundation-protocol.md#2.8 ScopedMutationGate,The default staff tuple for clinician and practice operations work.
ACT_HUB_CROSS_ORG,Hub cross-organisation coordination,yes,cross_org_hub_scope,declared_cross_org_subset,current_runtime_binding,cross_org_coordination,operational_care_delivery,MinimumNecessaryContract(cross_org_hub),"ActingScopeTuple, runtime binding, and visibility coverage exact",declared_cross_org_subset_only,cross-org approval and current scope selection,organisation_switch; tenant_scope_change; environment_change; policy_plane_change; purpose_of_use_change; elevation_expired; break_glass_revoked; visibility_contract_drift,summary_only or denied_scope,"cross-org tuple, visibility, and command settlement required",forensic-audit-findings.md#Finding 114 - tenant and acting context drift; phase-0-the-foundation-protocol.md#ActingScopeTuple,This is the canonical closure for lawful cross-organisation hub work.
ACT_PHARMACY_SERVICING,Pharmacy servicing and dispatch,yes,servicing_site_scope,servicing_site,current_runtime_binding,servicing_site_delivery,operational_care_delivery,MinimumNecessaryContract(servicing_site),ActingScopeTuple exact and pharmacy command coverage exact,single_servicing_site_or_declared_return_lane,site entitlement and dispatch authority exact,organisation_switch; tenant_scope_change; environment_change; purpose_of_use_change; elevation_expired; visibility_contract_drift,read_only or blocked,"dispatch proof, outcome proof, and bounce-back proof required",phase-6-the-pharmacy-loop.md; pharmacy-console-frontend-architecture.md,Pharmacy settlement proof remains distinct from broader staff or support scope.
ACT_SUPPORT_ASSISTED_CAPTURE,Support-assisted capture,yes,support_tenant_delegate,declared_support_delegate,current_runtime_binding,support_assist,support_assisted_capture,MinimumNecessaryContract(support_assisted_capture),ActingScopeTuple exact and support delegate ticket live,single_ticket_declared_tenant_scope,reason-coded support delegation exact,tenant_scope_change; environment_change; purpose_of_use_change; elevation_expired; visibility_contract_drift,capture_recovery_only or denied_scope,"support delegate reason, subject scope, and action settlement required",staff-operations-and-support-blueprint.md#2. Routine support and assisted journey work; phase-0-the-foundation-protocol.md#ActingScopeTuple,Support can help capture or route work without inheriting replay scope.
ACT_SUPPORT_REPLAY_RESTORE,Support replay and restore,yes,support_investigation_scope,selected_anchor_scope,current_runtime_binding,support_recovery,support_recovery,InvestigationScopeEnvelope(selected_anchor),"ActingScopeTuple exact, InvestigationScopeEnvelope live, restore tuple exact",selected_anchor_and_envelope_only,investigation or restore authority exact,tenant_scope_change; environment_change; policy_plane_change; purpose_of_use_change; elevation_expired; break_glass_revoked; visibility_contract_drift,masked_read_only or blocked,"masked replay, restore gate, and evidence bundle audit required","phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay; forensic-audit-findings.md#Finding 100 - Support replay and observe return still had no authoritative restore gate",Replay and restore stay bound to one selected anchor and one current evidence envelope.
ACT_OPERATIONS_WATCH,Operations watch and incident observation,yes,multi_tenant_operational_watch,declared_wave_or_incident_scope,current_runtime_binding,operational_control,operational_control,ReleaseWatchTuple and WaveGuardrailSnapshot,ActingScopeTuple exact plus watch tuple exact,declared_wave_or_incident_scope_only,ops role plus active watch duty,tenant_scope_change; environment_change; policy_plane_change; purpose_of_use_change; elevation_expired; visibility_contract_drift,diagnostic_copy_only or blocked,watch tuple and publication parity audit required,"platform-runtime-and-release-blueprint.md#ReleaseWatchTuple; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme",Makes multi-tenant blast radius explicit rather than implicit in dashboards or route names.
