environment_ring,storage_class_ref,display_name,bucket_name,retention_policy_ref,retention_state,default_retention_days,immutability_mode,legal_hold_ready,purge_mode,browser_delivery_posture,signed_access_ttl_seconds,private_endpoint_ref,allowed_workload_family_refs,source_refs
local,quarantine_raw,Quarantine raw,vecells-local-artifacts-quarantine-raw,ret_086_quarantine_raw,scan_hold,14,write_once_pending_scan,true,blocked_until_scan_and_manifest_settle,forbidden,300,ope_086_local_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_assurance_security_control|wf_integration_simulation_lab,blueprint/phase-0-the-foundation-protocol.md#CaptureBundle|blueprint/phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review
local,evidence_source_immutable,Evidence source immutable,vecells-local-artifacts-evidence-source-immutable,ret_086_evidence_source,immutable_source_retention,30,worm_ready_write_once,true,governed_purge_only,forbidden,300,ope_086_local_artifact_plane,wf_command_orchestration|wf_assurance_security_control|wf_data_stateful_plane,blueprint/phase-0-the-foundation-protocol.md#EvidenceCaptureBundle|blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot|data/analysis/worm_retention_classes.json
local,derived_internal,Derived internal,vecells-local-artifacts-derived-internal,ret_086_derived_internal,derived_internal_retention,14,append_only_superseded_versions,true,purge_after_supersession_window,forbidden,300,ope_086_local_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceDerivationPackage|data/analysis/evidence_object_manifest.json
local,redacted_presentation,Redacted presentation,vecells-local-artifacts-redacted-presentation,ret_086_redacted_presentation,governed_presentation_retention,14,append_only_policy_versioned,true,purge_after_presentation_window,governed_presentation_only,180,ope_086_local_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceRedactionTransform|blueprint/phase-0-the-foundation-protocol.md#ArtifactSurfaceFrame
local,outbound_ephemeral,Outbound ephemeral,vecells-local-artifacts-outbound-ephemeral,ret_086_outbound_ephemeral,ephemeral_purge_window,2,expiring_ticket_bound_copy,true,purge_on_expiry_or_settlement,governed_download_handoff_only,120,ope_086_local_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#OutboundNavigationGrant|blueprint/platform-runtime-and-release-blueprint.md#Security baseline contract
local,ops_recovery_staging,Ops recovery staging,vecells-local-artifacts-ops-recovery-staging,ret_086_ops_recovery,recovery_staging_window,7,restore_window_controlled,true,purge_after_restore_evidence_window,forbidden,300,ope_086_local_artifact_plane,wf_assurance_security_control|wf_data_stateful_plane,data/analysis/recovery_control_posture_rules.json|docs/architecture/60_restore_and_recovery_control_matrix.md
ci-preview,quarantine_raw,Quarantine raw,vecells-ci-artifacts-quarantine-raw,ret_086_quarantine_raw,scan_hold,7,write_once_pending_scan,true,blocked_until_scan_and_manifest_settle,forbidden,300,ope_086_ci_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_assurance_security_control|wf_integration_simulation_lab,blueprint/phase-0-the-foundation-protocol.md#CaptureBundle|blueprint/phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review
ci-preview,evidence_source_immutable,Evidence source immutable,vecells-ci-artifacts-evidence-source-immutable,ret_086_evidence_source,immutable_source_retention,30,worm_ready_write_once,true,governed_purge_only,forbidden,300,ope_086_ci_artifact_plane,wf_command_orchestration|wf_assurance_security_control|wf_data_stateful_plane,blueprint/phase-0-the-foundation-protocol.md#EvidenceCaptureBundle|blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot|data/analysis/worm_retention_classes.json
ci-preview,derived_internal,Derived internal,vecells-ci-artifacts-derived-internal,ret_086_derived_internal,derived_internal_retention,7,append_only_superseded_versions,true,purge_after_supersession_window,forbidden,300,ope_086_ci_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceDerivationPackage|data/analysis/evidence_object_manifest.json
ci-preview,redacted_presentation,Redacted presentation,vecells-ci-artifacts-redacted-presentation,ret_086_redacted_presentation,governed_presentation_retention,7,append_only_policy_versioned,true,purge_after_presentation_window,governed_presentation_only,180,ope_086_ci_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceRedactionTransform|blueprint/phase-0-the-foundation-protocol.md#ArtifactSurfaceFrame
ci-preview,outbound_ephemeral,Outbound ephemeral,vecells-ci-artifacts-outbound-ephemeral,ret_086_outbound_ephemeral,ephemeral_purge_window,1,expiring_ticket_bound_copy,true,purge_on_expiry_or_settlement,governed_download_handoff_only,120,ope_086_ci_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#OutboundNavigationGrant|blueprint/platform-runtime-and-release-blueprint.md#Security baseline contract
ci-preview,ops_recovery_staging,Ops recovery staging,vecells-ci-artifacts-ops-recovery-staging,ret_086_ops_recovery,recovery_staging_window,3,restore_window_controlled,true,purge_after_restore_evidence_window,forbidden,300,ope_086_ci_artifact_plane,wf_assurance_security_control|wf_data_stateful_plane,data/analysis/recovery_control_posture_rules.json|docs/architecture/60_restore_and_recovery_control_matrix.md
integration,quarantine_raw,Quarantine raw,vecells-integration-artifacts-quarantine-raw,ret_086_quarantine_raw,scan_hold,21,write_once_pending_scan,true,blocked_until_scan_and_manifest_settle,forbidden,240,ope_086_integration_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_assurance_security_control|wf_integration_simulation_lab,blueprint/phase-0-the-foundation-protocol.md#CaptureBundle|blueprint/phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review
integration,evidence_source_immutable,Evidence source immutable,vecells-integration-artifacts-evidence-source-immutable,ret_086_evidence_source,immutable_source_retention,180,worm_ready_write_once,true,governed_purge_only,forbidden,240,ope_086_integration_artifact_plane,wf_command_orchestration|wf_assurance_security_control|wf_data_stateful_plane,blueprint/phase-0-the-foundation-protocol.md#EvidenceCaptureBundle|blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot|data/analysis/worm_retention_classes.json
integration,derived_internal,Derived internal,vecells-integration-artifacts-derived-internal,ret_086_derived_internal,derived_internal_retention,60,append_only_superseded_versions,true,purge_after_supersession_window,forbidden,240,ope_086_integration_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceDerivationPackage|data/analysis/evidence_object_manifest.json
integration,redacted_presentation,Redacted presentation,vecells-integration-artifacts-redacted-presentation,ret_086_redacted_presentation,governed_presentation_retention,60,append_only_policy_versioned,true,purge_after_presentation_window,governed_presentation_only,180,ope_086_integration_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceRedactionTransform|blueprint/phase-0-the-foundation-protocol.md#ArtifactSurfaceFrame
integration,outbound_ephemeral,Outbound ephemeral,vecells-integration-artifacts-outbound-ephemeral,ret_086_outbound_ephemeral,ephemeral_purge_window,7,expiring_ticket_bound_copy,true,purge_on_expiry_or_settlement,governed_download_handoff_only,120,ope_086_integration_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_shell_delivery_published_gateway|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#OutboundNavigationGrant|blueprint/platform-runtime-and-release-blueprint.md#Security baseline contract
integration,ops_recovery_staging,Ops recovery staging,vecells-integration-artifacts-ops-recovery-staging,ret_086_ops_recovery,recovery_staging_window,14,restore_window_controlled,true,purge_after_restore_evidence_window,forbidden,240,ope_086_integration_artifact_plane,wf_assurance_security_control|wf_data_stateful_plane,data/analysis/recovery_control_posture_rules.json|docs/architecture/60_restore_and_recovery_control_matrix.md
preprod,quarantine_raw,Quarantine raw,vecells-preprod-artifacts-quarantine-raw,ret_086_quarantine_raw,scan_hold,30,write_once_pending_scan,true,blocked_until_scan_and_manifest_settle,forbidden,180,ope_086_preprod_artifact_plane,wf_command_orchestration|wf_integration_dispatch|wf_assurance_security_control|wf_integration_simulation_lab,blueprint/phase-0-the-foundation-protocol.md#CaptureBundle|blueprint/phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review
preprod,evidence_source_immutable,Evidence source immutable,vecells-preprod-artifacts-evidence-source-immutable,ret_086_evidence_source,immutable_source_retention,730,worm_ready_write_once,true,governed_purge_only,forbidden,180,ope_086_preprod_artifact_plane,wf_command_orchestration|wf_assurance_security_control|wf_data_stateful_plane,blueprint/phase-0-the-foundation-protocol.md#EvidenceCaptureBundle|blueprint/phase-0-the-foundation-protocol.md#EvidenceSnapshot|data/analysis/worm_retention_classes.json
preprod,derived_internal,Derived internal,vecells-preprod-artifacts-derived-internal,ret_086_derived_internal,derived_internal_retention,180,append_only_superseded_versions,true,purge_after_supersession_window,forbidden,180,ope_086_preprod_artifact_plane,wf_command_orchestration|wf_projection_read_models|wf_assurance_security_control,blueprint/phase-0-the-foundation-protocol.md#EvidenceDerivationPackage|data/analysis/evidence_object_manifest.json
