fault_injection_id,simulator_id,dependency_code,fault_mode,reference_case_id,expected_effect,expected_settlement_refs,expected_closure_blocker_refs,expected_recovery_envelope_refs,ordering_posture,release_verification_use,notes
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_BOOKING_CAPACITY_FEED_TWIN_ORDERING_INVERSION,sim_booking_capacity_feed_twin,dep_network_capacity_partner_feeds,ordering_inversion,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,Ordering inversion preserves callback and receipt sequencing law rather than promoting the last arrival as current truth.,CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_BOOKING_CAPACITY_FEED_TWIN_TIMEOUT,sim_booking_capacity_feed_twin,dep_network_capacity_partner_feeds,timeout,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,"Transport timeout stays advisory only and the case remains pending, degraded, or review-bound until authoritative settlement or manual fallback occurs.",CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_BOOKING_PROVIDER_CONFIRMATION_TWIN_ORDERING_INVERSION,sim_booking_provider_confirmation_twin,dep_local_booking_supplier_adapters,ordering_inversion,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,Ordering inversion preserves callback and receipt sequencing law rather than promoting the last arrival as current truth.,CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_BOOKING_PROVIDER_CONFIRMATION_TWIN_STALE_CALLBACK,sim_booking_provider_confirmation_twin,dep_local_booking_supplier_adapters,stale_callback,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,"Stale callbacks fail closed behind lineage, subject, or publication fences and reopen same-shell recovery instead of mutating current truth.",CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_BOOKING_PROVIDER_CONFIRMATION_TWIN_TIMEOUT,sim_booking_provider_confirmation_twin,dep_local_booking_supplier_adapters,timeout,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,"Transport timeout stays advisory only and the case remains pending, degraded, or review-bound until authoritative settlement or manual fallback occurs.",CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_IM1_PRINCIPAL_SYSTEM_EMIS_TWIN_ORDERING_INVERSION,sim_im1_principal_system_emis_twin,dep_im1_pairing_programme,ordering_inversion,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,Ordering inversion preserves callback and receipt sequencing law rather than promoting the last arrival as current truth.,CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_IM1_PRINCIPAL_SYSTEM_EMIS_TWIN_TIMEOUT,sim_im1_principal_system_emis_twin,dep_im1_pairing_programme,timeout,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,"Transport timeout stays advisory only and the case remains pending, degraded, or review-bound until authoritative settlement or manual fallback occurs.",CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_IM1_PRINCIPAL_SYSTEM_TPP_TWIN_ORDERING_INVERSION,sim_im1_principal_system_tpp_twin,dep_gp_system_supplier_paths,ordering_inversion,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,Ordering inversion preserves callback and receipt sequencing law rather than promoting the last arrival as current truth.,CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_SIM_IM1_PRINCIPAL_SYSTEM_TPP_TWIN_TIMEOUT,sim_im1_principal_system_tpp_twin,dep_gp_system_supplier_paths,timeout,RC_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_V1,"Transport timeout stays advisory only and the case remains pending, degraded, or review-bound until authoritative settlement or manual fallback occurs.",CESV_BOOKING_COMMIT_STARTED_V1; CESV_BOOKING_COMMIT_CONFIRMATION_PENDING_V1; CESV_BOOKING_COMMIT_AMBIGUOUS_V1; CESV_CONFIRMATION_GATE_CREATED_V1,BCL_055_CONFIRMATION_GATE,,strict_replay_and_ordering,preprod,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
FIM_059_CLEAN_SELF_SERVICE_SUBMIT_SIM_EMAIL_NOTIFICATION_TWIN_DISPUTED_RECEIPT,sim_email_notification_twin,dep_email_notification_provider,disputed_receipt,RC_059_CLEAN_SELF_SERVICE_SUBMIT_V1,"Disputed receipts remain weaker than settled delivery, confirmation, or outcome proof and keep the case in repair or review posture.",CESV_INTAKE_PROMOTION_SETTLED_V1; CESV_PATIENT_RECEIPT_ISSUED_V1,,,strict_replay_and_ordering,preview,Fault injection remains first-class and never widens beyond the canonical request and settlement semantics.
