synthetic_recovery_coverage_record_id,release_ref,verification_scenario_ref,release_contract_verification_matrix_ref,release_contract_matrix_hash,release_watch_tuple_ref,runtime_publication_bundle_ref,release_publication_parity_ref,watch_tuple_hash,ring_code,audience_scope,journey_code,route_family_ref,required_continuity_control_refs,continuity_evidence_contract_refs,recovery_disposition_refs,route_intent_evidence_refs,command_settlement_evidence_refs,posture_type,coverage_state,evidence_ref,result_state,executed_at
SRCR_058_INTEGRATION_PATIENT_NAV_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,patient_authenticated,patient_navigation,rf_patient_home,patient_nav,CEC_058_PATIENT_NAV_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_home_integration_v1,CSEV_058_rf_patient_home_integration_v1,ordinary_live,stale,SREC_058_INTEGRATION_PATIENT_NAV_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_RECORD_CONTINUATION_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,patient_authenticated,record_continuation,rf_patient_health_record,record_continuation,CEC_058_RECORD_CONTINUATION_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_health_record_integration_v1,CSEV_058_rf_patient_health_record_integration_v1,ordinary_live,stale,SREC_058_INTEGRATION_RECORD_CONTINUATION_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,staff_workspace,workspace_task_completion,rf_staff_workspace,workspace_task_completion,CEC_058_WORKSPACE_TASK_COMPLETION_V1,RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,RIB_058_rf_staff_workspace_integration_v1,CSEV_058_rf_staff_workspace_integration_v1,constrained,stale,SREC_058_INTEGRATION_WORKSPACE_TASK_COMPLETION_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,pharmacy_console,pharmacy_settlement,rf_pharmacy_console,pharmacy_console_settlement,CEC_058_PHARMACY_CONSOLE_SETTLEMENT_V1,RRD_PHARMACY_DISPATCH_RECOVERY; RRD_PHARMACY_READ_ONLY,RIB_058_rf_pharmacy_console_integration_v1,CSEV_058_rf_pharmacy_console_integration_v1,ordinary_live,stale,SREC_058_INTEGRATION_PHARMACY_CONSOLE_SETTLEMENT_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_MORE_INFO_REPLY_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,patient_support,more_info_reply,rf_patient_messages,more_info_reply,CEC_058_MORE_INFO_REPLY_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_integration_v1,CSEV_058_rf_patient_messages_integration_v1,constrained,stale,SREC_058_INTEGRATION_MORE_INFO_REPLY_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,conversation_runtime,conversation_settlement,rf_patient_messages,conversation_settlement,CEC_058_CONVERSATION_SETTLEMENT_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_messages_integration_v1,CSEV_058_rf_patient_messages_integration_v1,constrained,stale,SREC_058_INTEGRATION_CONVERSATION_SETTLEMENT_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_INTEGRATION_BOOKING_MANAGE_V1,RC_INTEGRATION_V1,VS_058_INTEGRATION_V1,RCVM_INTEGRATION_V1,1797b698cd98d0ed,RWT_INTEGRATION_V1,RPB_INTEGRATION_V1,RPP_INTEGRATION_V1,9a803291b2177a49,integration,patient_authenticated,booking_manage,rf_patient_appointments,booking_manage,CEC_058_BOOKING_MANAGE_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_appointments_integration_v1,CSEV_058_rf_patient_appointments_integration_v1,constrained,stale,SREC_058_INTEGRATION_BOOKING_MANAGE_V1,rerun_required,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_PATIENT_NAV_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,patient_authenticated,patient_navigation,rf_patient_home,patient_nav,CEC_058_PATIENT_NAV_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_home_preprod_v1,CSEV_058_rf_patient_home_preprod_v1,ordinary_live,blocked,SREC_058_PREPROD_PATIENT_NAV_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_RECORD_CONTINUATION_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,patient_authenticated,record_continuation,rf_patient_health_record,record_continuation,CEC_058_RECORD_CONTINUATION_V1,RRD_ARTIFACT_HANDOFF_REQUIRED; RRD_BOOKING_CONFIRMATION_PLACEHOLDER; RRD_CONVERSATION_RECOVERY_ONLY; RRD_PATIENT_APPOINTMENT_READ_ONLY; RRD_PATIENT_HOME_PLACEHOLDER; RRD_PATIENT_HOME_READ_ONLY; RRD_PATIENT_MESSAGES_READ_ONLY; RRD_PATIENT_RECORD_SUMMARY_ONLY; RRD_PATIENT_REQUEST_READ_ONLY; RRD_PATIENT_REQUEST_RECOVERY_ONLY,RIB_058_rf_patient_health_record_preprod_v1,CSEV_058_rf_patient_health_record_preprod_v1,ordinary_live,blocked,SREC_058_PREPROD_RECORD_CONTINUATION_V1,blocked,2026-04-13T14:51:09+00:00
SRCR_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1,RC_PREPROD_V1,VS_058_PREPROD_V1,RCVM_PREPROD_V1,1797b698cd98d0ed,RWT_PREPROD_V1,RPB_PREPROD_V1,RPP_PREPROD_V1,894772fd6e471559,preprod,staff_workspace,workspace_task_completion,rf_staff_workspace,workspace_task_completion,CEC_058_WORKSPACE_TASK_COMPLETION_V1,RRD_ASSISTIVE_READ_ONLY; RRD_ASSISTIVE_SIDECAR_FROZEN; RRD_WORKSPACE_CHILD_READ_ONLY; RRD_WORKSPACE_CHILD_RECOVERY_ONLY; RRD_WORKSPACE_QUEUE_PLACEHOLDER; RRD_WORKSPACE_READ_ONLY,RIB_058_rf_staff_workspace_preprod_v1,CSEV_058_rf_staff_workspace_preprod_v1,constrained,blocked,SREC_058_PREPROD_WORKSPACE_TASK_COMPLETION_V1,blocked,2026-04-13T14:51:09+00:00
