bucket,raw_probability,calibrated_probability,calibration_version_ref,eta_promise_ref,hysteresis_policy_ref,admissibility_rule
same_day,0.50,0.38,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_same_day_and_probability_threshold
same_day,0.70,0.60,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_same_day_and_probability_threshold
same_day,0.85,0.80,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_same_day_and_probability_threshold
next_working_day,0.40,0.34,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_next_day_and_probability_threshold
next_working_day,0.65,0.58,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_next_day_and_probability_threshold
next_working_day,0.82,0.76,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_next_day_and_probability_threshold
within_2_working_days,0.35,0.31,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_two_days_and_probability_threshold
within_2_working_days,0.60,0.55,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_two_days_and_probability_threshold
within_2_working_days,0.80,0.75,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,upper_bound_within_two_days_and_probability_threshold
after_2_working_days,1.00,1.00,ETA_152_BUCKET_CALIBRATOR_V1,ETA_152_CONSERVATIVE_QUEUE_BUCKET_V1,ETA_152_HYSTERESIS_POLICY_V1,fallback_when_no_smaller_bucket_clears_policy
