from_surface,to_surface,trigger,route_family_ref,lineage_key_source,shell_continuity_key,posture,settlement_tuple_refs,duplicate_visible_success_allowed,notes
landing,request_type,start_authoritative_draft,rf_intake_self_service,draftPublicId,patient.portal.requests,writable,"SubmissionEnvelope; DraftSessionLease",false,"Mission-frame landing calls the BFF start endpoint and keeps the Quiet Clarity shell."
request_type,details,select_request_type_and_continue,rf_intake_self_service,draftPublicId,patient.portal.requests,writable,"DraftSaveSettlement",false,"Request type remains canonical Symptoms, Meds, Admin, or Results."
details,supporting_files,structured_capture_complete,rf_intake_self_service,draftPublicId,patient.portal.requests,writable,"DraftSaveSettlement; DraftContinuityEvidenceProjection",false,"Question answers autosave before the shell advances."
supporting_files,contact_preferences,attachment_cards_mirrored,rf_intake_self_service,draftPublicId,patient.portal.requests,writable,"AttachmentUploadSession; EvidenceCaptureBundle",false,"Browser cards are mirrored through the authoritative attachment pipeline."
contact_preferences,review_submit,contact_preference_valid,rf_intake_self_service,draftPublicId,patient.portal.requests,writable,"ContactPreferenceCapture; ContactRouteSnapshotSeed",false,"Masked preference and reachability truth are carried into submit."
review_submit,urgent_outcome,submit_safety_decision_urgent,rf_intake_self_service,requestPublicId,patient.portal.requests,read_only,"IntakeSubmitSettlement; SafetyDecisionRecord; UrgentDiversionSettlement",false,"The same question canvas settles into urgent guidance without a detached success page."
review_submit,receipt_outcome,submit_routine_receipt,rf_intake_self_service,requestPublicId,patient.portal.requests,read_only,"IntakeSubmitSettlement; PatientReceiptConsistencyEnvelope; Phase1ConfirmationCommunicationEnvelope",false,"The receipt and minimal tracking read the same consistency envelope."
receipt_outcome,request_status,open_minimal_tracking,rf_intake_self_service,requestPublicId,patient.portal.requests,read_only,"PatientReceiptConsistencyEnvelope; Phase1PatientStatusProjection; Phase1TriageEtaForecast",false,"ETA meaning does not change between receipt and tracking."
review_submit,receipt_outcome,exact_replay_submit,rf_intake_self_service,requestPublicId,patient.portal.requests,read_only,"Prior IntakeSubmitSettlement; prior PatientReceiptConsistencyEnvelope",false,"Exact replay returns the prior authoritative settlement and does not enqueue another visible success."
promoted_draft_link,receipt_outcome,stale_draft_supersession,rf_intake_self_service,requestPublicId,patient.portal.requests,read_only,"AccessGrantSupersessionRecord; PatientActionRecoveryEnvelope",false,"A stale promoted draft is mapped to recovery or read-only receipt, not mutable editing."
