contract_family,owner_track,source_blueprint,required_object_family,current_readiness,downstream_tracks,release_interpretation,blocking_gap
phase6_handoff,seq_373,data/contracts/372_phase6_to_phase7_handoff_contract.json,Phase6ToPhase7Handoff,proved,374|375|376|377|378|379,phase7_can_open_with_constraints,none
manifest_and_jump_off,par_374,blueprint/phase-7-inside-the-nhs-app.md#7A,NHSAppIntegrationManifest|JourneyPathDefinition|JumpOffMapping,ready,377|380|383|394,freeze_now_before_runtime,none
embedded_context_and_navigation,par_375,blueprint/phase-7-inside-the-nhs-app.md#7B,ChannelContext|EmbeddedEntryToken|ShellPolicy|NavigationContract,ready,378|379|381|386|387,freeze_now_before_frontend_and_runtime,none
sso_and_identity_bridge,par_375,blueprint/phase-7-inside-the-nhs-app.md#7C,SSOEntryGrant|AuthBridgeTransaction|IdentityAssertionBinding|ReturnIntent,ready,379|388|398,freeze_now_then_runtime,none
artifact_and_webview_limitations,par_376,blueprint/phase-7-inside-the-nhs-app.md#7F,BinaryArtifactDelivery|ArtifactByteGrant|EmbeddedErrorContract,ready,382|390|391|399,freeze_now_before_file_surfaces,none
accessibility_and_mobile_grade,par_376,blueprint/phase-7-inside-the-nhs-app.md#7G,AccessibilitySemanticCoverageProfile|UIStateContract,ready,392|399|400,manual_audit_remains_constraint,none
release_and_scal_guardrails,par_376,blueprint/phase-7-inside-the-nhs-app.md#7H,ChannelTelemetryPlan|SCALBundle|ReleaseGuardrailPolicy|ChannelReleaseFreezeRecord,ready,385|394|400|401|402,freeze_now_before_external_release,none
deep_link_and_site_link_runtime,par_380,blueprint/phase-7-inside-the-nhs-app.md#7D,SiteLinkManifest|LinkResolutionAudit,blocked,389|395|399,blocked_until_manifest_and_context_runtime,WAIT_FOR_374_377_378
bridge_capability_runtime,par_381,blueprint/phase-7-inside-the-nhs-app.md#7E,NHSAppBridge|BridgeCapabilityMatrix|BridgeActionLease,blocked,390|396|399,blocked_until_context_and_guardrails,WAIT_FOR_375_376_378
phase7_proof_and_exit,par_398_to_par_402,blueprint/phase-7-inside-the-nhs-app.md#7I,Phase7ProofPack|NHSAppPerformancePack|ExitVerdict,deferred,401|402,deferred_until_executable_evidence_exists,WAIT_FOR_377_400
