artifact_id,artifact_name,artifact_group,required_for_stage_ids,mock_status,actual_status,freshness_posture,owner_role,source_refs,notes
ART_PRODUCT_PROFILE_DOSSIER,Product profile dossier,initiation,product_profile_defined<br>official_prerequisites_form_submitted,ready,placeholder_only,fresh,ROLE_PROGRAMME_ARCHITECT,prompt/026.md<br>official_im1_prerequisites_form,Names the bounded Vecells IM1 use case and explicitly excludes Phase 2 identity shortcuts.
ART_PROVIDER_CAPABILITY_MATRIX_DIGEST,ProviderCapabilityMatrix digest,initiation,stage_one_scal_stub_ready<br>provider_supplier_targeting_ready<br>compatibility_claim_ready,ready,ready_for_refresh,fresh,ROLE_BOOKING_DOMAIN_LEAD,phase-0-the-foundation-protocol.md#1.13A ProviderCapabilityMatrix<br>phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam,Every IM1 submission claim must bind back to the capability matrix rather than prose promises.
ART_ROUTE_FAMILY_COMPATIBILITY_MATRIX,Route-family compatibility matrix,initiation,provider_supplier_targeting_ready<br>compatibility_claim_ready,ready,ready_for_refresh,fresh,ROLE_INTEROPERABILITY_LEAD,phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam<br>official_im1_api_standards,Shows which route families remain IM1-independent and which booking surfaces need supplier-specific pairing evidence.
ART_STAGE_ONE_SCAL_STUB,Stage-one SCAL stub,initiation,stage_one_scal_stub_ready<br>official_stage_one_scal_issued,ready,blocked_until_live_gate,attention,ROLE_INTEROPERABILITY_LEAD,official_im1_pairing_process<br>official_scal_process<br>ASSUMPTION_IM1_STAGE_ONE_SCAL_FIELDS,Built from the bounded product dossier plus supplier/product/service-specific tabs.
ART_CLINICAL_SAFETY_DECLARATION,Clinical safety prerequisites declaration,initiation,prerequisites_drafted<br>official_prerequisites_form_submitted,ready,ready_for_refresh,fresh,ROLE_MANUFACTURER_CSO,official_im1_prerequisites_form<br>official_scal_process,Captures the public prerequisite confirmations that must already be true at initial SCAL submission time.
ART_HAZARD_LOG,Hazard log and safety-case digest,assurance,prerequisites_drafted<br>assurance_pack_in_progress<br>official_assurance_completed<br>official_rfc_submitted_for_significant_change,ready,ready_for_refresh,attention,ROLE_MANUFACTURER_CSO,official_im1_prerequisites_form<br>official_im1_pairing_process,AI or major functional expansion reopens this pack and must not piggyback on stale approval.
ART_DPIA_AND_PRIVACY_NOTICE,DPIA and privacy-notice digest,assurance,prerequisites_drafted<br>assurance_pack_in_progress<br>official_assurance_completed,ready,ready_for_refresh,attention,ROLE_DPO,official_im1_prerequisites_form<br>official_scal_process,Must stay current with the exact IM1 use case and supplier data-flow posture.
ART_DSPT_ISMS_PEN_TEST_PLAN,DSPT / ISMS / pen-test plan,assurance,prerequisites_drafted<br>assurance_pack_in_progress<br>official_assurance_completed,ready,ready_for_refresh,attention,ROLE_SECURITY_LEAD,official_im1_prerequisites_form<br>official_scal_process,"A governance artifact, not a hidden side-note to the pairing form."
ART_MODEL_INTERFACE_LICENCE_PLACEHOLDERS,Model Interface Licence placeholder register,initiation,model_interface_licence_placeholder_ready<br>official_model_interface_licence_executed,ready,placeholder_only,fresh,ROLE_INTEROPERABILITY_LEAD,official_im1_pairing_process<br>ASSUMPTION_IM1_LICENCE_SIGNATORIES_PLACEHOLDER_ONLY,Tracks licence readiness without storing real legal names or signatory details in the repo.
ART_PROVIDER_MOCK_API_REHEARSAL_LOG,Provider mock-API rehearsal log,unsupported_test,provider_mock_api_rehearsal_ready<br>official_provider_mock_api_accessed,ready,blocked_until_live_gate,fresh,ROLE_BOOKING_DOMAIN_LEAD,"official_im1_pairing_process<br>phase-4-the-booking-engine.md#4E. Commit path, revalidation, booking record, and compensation",Must preserve unsupported-test truth without claiming live admissibility or canonical booking success.
ART_PAIRING_INTEGRATION_PACK_REGISTER,Pairing and Integration Pack register,unsupported_test,provider_mock_api_rehearsal_ready<br>official_supported_test_environment_requested,ready,blocked_until_supplier_access,attention,ROLE_INTEROPERABILITY_LEAD,official_im1_pairing_process<br>official_im1_api_standards,Captures the supplier-specific documentation bundle required for unsupported test work.
ART_SUPPORTED_TEST_REQUEST_CHECKLIST,Supported Test Environment request checklist,supported_test,supported_test_readiness_blocked<br>official_supported_test_environment_requested<br>official_supported_test_environment_granted,blocked,blocked_until_live_gate,blocked,ROLE_INTEROPERABILITY_LEAD,official_im1_pairing_process,"Cannot progress until the full SCAL, named sponsor, and provider-specific evidence are current."
ART_ASSURANCE_EVIDENCE_INDEX,Assurance evidence index,assurance,assurance_pack_in_progress<br>official_assurance_completed,in_progress,blocked_until_live_gate,attention,ROLE_GOVERNANCE_LEAD,official_im1_pairing_process<br>official_scal_process,"Carries the evidence sequence for test proof, witness tests, and assurance acceptance."
ART_RFC_TRIGGER_REGISTER,RFC trigger register,rfc_watch,rfc_watch_registered<br>official_rfc_submitted_for_significant_change,ready,ready,fresh,ROLE_PROGRAMME_ARCHITECT,official_im1_pairing_process<br>blueprint/phase-8-the-assistive-layer.md,Explicitly fences AI and other major feature changes so stale IM1 posture cannot be silently reused.
ART_PROVIDER_ROSTER_REFRESH_EVIDENCE,Provider roster refresh evidence,initiation,provider_supplier_targeting_ready<br>ready_for_real_im1_submission,ready,runtime_fetch_required,attention,ROLE_INTEROPERABILITY_LEAD,official_im1_pairing_process,The actual-later workflow must fetch the current public roster at runtime instead of hard-coding stale supplier assumptions.
