mode_tuple_id,theme,contrast,density,motion,breakpoint_coverage,profile_coverage,status,digest_ref
MODE_LIGHT_STANDARD_RELAXED_FULL,light,standard,relaxed,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,2bb53502bb1c454a
MODE_LIGHT_STANDARD_RELAXED_REDUCED,light,standard,relaxed,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,d96ab401863f9255
MODE_LIGHT_STANDARD_RELAXED_ESSENTIAL_ONLY,light,standard,relaxed,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,56871bc5e0304a04
MODE_LIGHT_STANDARD_BALANCED_FULL,light,standard,balanced,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,e6669b321b4256a6
MODE_LIGHT_STANDARD_BALANCED_REDUCED,light,standard,balanced,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,5fd30ae2bc251145
MODE_LIGHT_STANDARD_BALANCED_ESSENTIAL_ONLY,light,standard,balanced,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,333720ee31e7f13c
MODE_LIGHT_STANDARD_COMPACT_FULL,light,standard,compact,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,69d156ef7981ef67
MODE_LIGHT_STANDARD_COMPACT_REDUCED,light,standard,compact,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,8deb7cd3f945cd33
MODE_LIGHT_STANDARD_COMPACT_ESSENTIAL_ONLY,light,standard,compact,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,0ae680fd048fcd45
MODE_LIGHT_HIGH_RELAXED_FULL,light,high,relaxed,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,a8db69895f93b8a6
MODE_LIGHT_HIGH_RELAXED_REDUCED,light,high,relaxed,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,3b15d6c26d983e13
MODE_LIGHT_HIGH_RELAXED_ESSENTIAL_ONLY,light,high,relaxed,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,8f5ce6baa1e0ccf4
MODE_LIGHT_HIGH_BALANCED_FULL,light,high,balanced,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,0603256f2e47a473
MODE_LIGHT_HIGH_BALANCED_REDUCED,light,high,balanced,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,1f8f544dc7af17f7
MODE_LIGHT_HIGH_BALANCED_ESSENTIAL_ONLY,light,high,balanced,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,6651776ae94c14f3
MODE_LIGHT_HIGH_COMPACT_FULL,light,high,compact,full,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,d6d3b24170b23512
MODE_LIGHT_HIGH_COMPACT_REDUCED,light,high,compact,reduced,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,27c9335fa5257f96
MODE_LIGHT_HIGH_COMPACT_ESSENTIAL_ONLY,light,high,compact,essential_only,xs|md|lg|xl,PSR_050_PATIENT_V1|PSR_050_STAFF_V1|PSR_050_HUB_V1|PSR_050_SUPPORT_V1|PSR_050_PHARMACY_V1|PSR_050_OPERATIONS_V1|PSR_050_GOVERNANCE_V1|PSR_103_EMBEDDED_COMPANION_V1,supported,0e24c784f771516d
