fhir_representation_contract_id,governing_aggregate_type,representation_purpose,resource_type,profile_canonical_url,identifier_policy_ref,status_mapping_policy_ref,declared_bundle_policy_refs,contract_state,source_refs
FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,AuditRecord,audit_companion,AuditEvent,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,IDPOL_049_AUDIT_CHAIN_HASH,STPOL_049_AUDIT_COMPANION,FXBP_049_AUDIT_COMPANION_EXPORT_DOCUMENT,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#AuditRecord; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,AuditRecord,audit_companion,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,IDPOL_049_AUDIT_CHAIN_HASH,STPOL_049_AUDIT_COMPANION,FXBP_049_AUDIT_COMPANION_EXPORT_DOCUMENT,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-0-the-foundation-protocol.md#AuditRecord; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,BookingCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-booking-communication,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,BookingCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-booking-provenance,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,BookingCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-booking-service-request,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,BookingCase,external_interchange,Task,https://vecells.example/fhir/StructureDefinition/vecells-booking-task,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_PARTNER_CALLBACK_CORRELATION_V1,BookingCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-booking-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_BOOKING_CASE_PARTNER_CALLBACK_CORRELATION_V1,BookingCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-booking-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/phase-4-the-booking-engine.md#4E Commit path; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_CALLBACK_CASE_PARTNER_CALLBACK_CORRELATION_V1,CallbackCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/callback-and-clinician-messaging-loop.md#Callback domain / Core object / CallbackCase; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
FRC_049_CALLBACK_CASE_PARTNER_CALLBACK_CORRELATION_V1,CallbackCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,active,blueprint/phase-0-the-foundation-protocol.md#FhirRepresentationContract; blueprint/callback-and-clinician-messaging-loop.md#Callback domain / Core object / CallbackCase; blueprint/platform-runtime-and-release-blueprint.md#AdapterContractProfile
