source_event_contract,source_field,monthly_pack_field,aggregation,redaction_rule
TelemetryEventContract:384:route-entry,journeyPathRef,journeyUsage.journeyPathRef,group_by,allow_ref_only
TelemetryEventContract:384:route-entry,cohortRef,journeyUsage.cohortRef,group_by,allow_ref_only
TelemetryEventContract:384:route-entry,eventCount,journeyUsage.routeEntryCount,sum,aggregate_only
TelemetryEventContract:384:journey-completion,eventCount,journeyUsage.successfulCompletionCount,sum,aggregate_only
TelemetryEventContract:384:journey-completion,completionRate,completionRates.rate,ratio,aggregate_only
TelemetryEventContract:384:journey-drop-off,dropOffRate,dropOffs.rate,ratio,aggregate_only
TelemetryEventContract:384:guardrail-breach,failureReason,guardrailBreaches,distinct_reason,allow_reason_code_only
TelemetryEventContract:384:incident-summary,incidentRef,incidentSummary,ref_only,allow_ref_only
TelemetryEventContract:384:accessibility-summary,accessibilityIssueRef,accessibilityIssues,ref_only,allow_ref_only
TelemetryEventContract:384:safety-summary,safetyIssueRef,safetyIssues,ref_only,allow_ref_only
