scorecard_row_id,tooling_family_id,tooling_family_name,option_id,option_label,open_standard_fit,tuple_authority_fit,phi_safe_disclosure_fit,uk_hosting_fit,assurance_export_fit,operational_proof_fit,hidden_state_control,total_score,decision,chosen_components,decision_summary,source_refs
FAM_SIGNAL_PIPELINE_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_SIGNAL_PIPELINE,OpenTelemetry-compatible signal pipeline,OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,5,5,5,5,5,5,5,35,chosen,"OpenTelemetry collectors, PHI-safe telemetry gateway, append-only metrics or log or trace warehouse, and immutable audit-export mirror","Chosen because it keeps telemetry provider-neutral, route-aware, trust-slice-aware, and exportable into the assurance graph without letting dashboards become hidden truth.","platform-runtime-and-release-blueprint.md#Security baseline contract; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence; phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts"
FAM_SIGNAL_PIPELINE_OPT_UNIFIED_VENDOR_SAAS,FAM_SIGNAL_PIPELINE,OpenTelemetry-compatible signal pipeline,OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,3,2,2,2,3,3,1,16,rejected,,"Rejected because a unified vendor-only stack obscures tuple publication state, can push PHI disclosure policy into opaque product settings, and weakens UK-hosting portability.","platform-runtime-and-release-blueprint.md#Security baseline contract; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence; phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts"
FAM_SIGNAL_PIPELINE_OPT_CLOUD_PROVIDER_NATIVE,FAM_SIGNAL_PIPELINE,OpenTelemetry-compatible signal pipeline,OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,2,3,2,2,3,2,17,rejected,,"Rejected because provider-native telemetry would split operations, governance, and release proof across cloud-specific surfaces instead of one published tuple.","platform-runtime-and-release-blueprint.md#Security baseline contract; phase-0-the-foundation-protocol.md#UITelemetryDisclosureFence; phase-9-the-assurance-ledger.md#9A. Assurance ledger, evidence graph, and operational state contracts"
FAM_ALERTING_EVIDENCE_BOARDS_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_ALERTING_EVIDENCE_BOARDS,Tuple-aware dashboards and alert routing,OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,4,5,5,5,5,5,5,34,chosen,"Machine-readable alert rule registry, role-scoped board projections, and evidence-aware alert routing that reads the published runtime tuple","Chosen because boards and alerts remain machine-readable, scope-aware, and unable to look greener than the current release, trust, or recovery tuple.",operations-console-frontend-blueprint.md#4.4 ServiceHealthGrid; phase-0-the-foundation-protocol.md#1.24C ReleaseWatchEvidenceCockpit; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight
FAM_ALERTING_EVIDENCE_BOARDS_OPT_UNIFIED_VENDOR_SAAS,FAM_ALERTING_EVIDENCE_BOARDS,Tuple-aware dashboards and alert routing,OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,2,3,2,3,3,1,16,rejected,,"Rejected because vendor dashboard state can become the de facto release watch authority, which the corpus explicitly forbids.",operations-console-frontend-blueprint.md#4.4 ServiceHealthGrid; phase-0-the-foundation-protocol.md#1.24C ReleaseWatchEvidenceCockpit; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight
FAM_ALERTING_EVIDENCE_BOARDS_OPT_CLOUD_PROVIDER_NATIVE,FAM_ALERTING_EVIDENCE_BOARDS,Tuple-aware dashboards and alert routing,OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,2,3,2,2,3,2,17,rejected,,"Rejected because cloud-provider alarm surfaces do not naturally publish the same tuple to governance, operations, and shell consumers.",operations-console-frontend-blueprint.md#4.4 ServiceHealthGrid; phase-0-the-foundation-protocol.md#1.24C ReleaseWatchEvidenceCockpit; forensic-audit-findings.md#Finding 95 - The audit still omitted governance watch-tuple parity and recovery posture from release oversight
FAM_RELEASE_TUPLE_ORCHESTRATION_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_RELEASE_TUPLE_ORCHESTRATION,Release tuple orchestration and runtime publication,OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,5,5,4,5,5,5,5,34,chosen,"Immutable pipeline execution ledger, stage settlements, runtime publication publisher, release-watch tuple publisher, and emergency-exception register","Chosen because it closes the hidden-state gap, binds policy compile, publication, watch tuple, and emergency movement into one machine-readable control seam, and makes governance and operations read the same promoted tuple.",platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-admin-and-config-blueprint.md#Release governance contract; platform-admin-and-config-blueprint.md#Production promotion gate
FAM_RELEASE_TUPLE_ORCHESTRATION_OPT_UNIFIED_VENDOR_SAAS,FAM_RELEASE_TUPLE_ORCHESTRATION,Release tuple orchestration and runtime publication,OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,1,3,2,2,2,1,13,rejected,,Rejected because a CI vendor pipeline alone does not publish runtime tuples or governed watch-state as first-class platform objects.,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-admin-and-config-blueprint.md#Release governance contract; platform-admin-and-config-blueprint.md#Production promotion gate
FAM_RELEASE_TUPLE_ORCHESTRATION_OPT_CLOUD_PROVIDER_NATIVE,FAM_RELEASE_TUPLE_ORCHESTRATION,Release tuple orchestration and runtime publication,OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,2,3,2,2,3,2,17,rejected,,"Rejected because provider deployment services would still need a second publication ledger to satisfy the corpus, so they do not simplify the architecture truth.",platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-admin-and-config-blueprint.md#Release governance contract; platform-admin-and-config-blueprint.md#Production promotion gate
FAM_SYNTHETIC_CANARY_PROOF_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_SYNTHETIC_CANARY_PROOF,Synthetic monitoring and canary proof runner,OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,4,5,5,5,5,5,4,33,chosen,"Route-contract-aware synthetic runner, wave-observation policy evaluator, and guardrail probe pack for ordinary and degraded journeys","Chosen because canary, constrained recovery, and slice-bounded assurance degradation all need route-aware probes instead of generic uptime checks.","platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme"
FAM_SYNTHETIC_CANARY_PROOF_OPT_UNIFIED_VENDOR_SAAS,FAM_SYNTHETIC_CANARY_PROOF,Synthetic monitoring and canary proof runner,OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,2,3,2,2,3,1,15,rejected,,"Rejected because black-box SaaS checks cannot prove `VerificationScenario`, `ReleaseContractVerificationMatrix`, and continuity contracts stayed exact.","platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme"
FAM_SYNTHETIC_CANARY_PROOF_OPT_CLOUD_PROVIDER_NATIVE,FAM_SYNTHETIC_CANARY_PROOF,Synthetic monitoring and canary proof runner,OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,2,3,2,2,3,2,17,rejected,,"Rejected because provider-native probes do not naturally cover browser, callback, embedded, resilience, and release-watch tuple law in one test model.","platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-runtime-and-release-blueprint.md#Operational readiness contract; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme"
FAM_PROVENANCE_SIGNING_SBOM_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_PROVENANCE_SIGNING_SBOM,"Provenance, signing, and SBOM attestation lane",OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,5,5,4,5,5,5,5,34,chosen,"SLSA or in-toto-compatible provenance attester, DSSE-style signature envelope, SPDX or CycloneDX SBOM publication, and immutable artifact registry","Chosen because build identity, SBOM, signature, design-contract publication, and runtime consumption must remain part of one exact candidate tuple.",platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-runtime-and-release-blueprint.md#Security baseline contract; forensic-audit-findings.md#Finding 118 - Token export and design-contract conformance could still drift outside the published runtime tuple
FAM_PROVENANCE_SIGNING_SBOM_OPT_UNIFIED_VENDOR_SAAS,FAM_PROVENANCE_SIGNING_SBOM,"Provenance, signing, and SBOM attestation lane",OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,2,3,2,3,3,1,16,rejected,,Rejected because proprietary signing metadata formats can make runtime consumption and later assurance export depend on one vendor's portal.,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-runtime-and-release-blueprint.md#Security baseline contract; forensic-audit-findings.md#Finding 118 - Token export and design-contract conformance could still drift outside the published runtime tuple
FAM_PROVENANCE_SIGNING_SBOM_OPT_CLOUD_PROVIDER_NATIVE,FAM_PROVENANCE_SIGNING_SBOM,"Provenance, signing, and SBOM attestation lane",OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,2,3,2,2,3,2,17,rejected,,"Rejected because provider-only registry attestation makes the release tuple harder to export across UK regions, tenants, and future environments.",platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-runtime-and-release-blueprint.md#Security baseline contract; forensic-audit-findings.md#Finding 118 - Token export and design-contract conformance could still drift outside the published runtime tuple
FAM_SECURITY_POLICY_GATE_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_SECURITY_POLICY_GATE,"Security control, secret management, and policy gate",OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,4,5,5,5,5,5,5,34,chosen,"Managed secret store or KMS, short-lived workload identity, multi-mode scanner suite, and policy-as-code gate wired into stage settlement","Chosen because secret custody, short-lived identity, scanner coverage, and policy exceptions all need stage-bound evidence, not local CI variables or dashboard badges.","platform-runtime-and-release-blueprint.md#Security baseline contract; platform-admin-and-config-blueprint.md#Dependency and standards hygiene; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene"
FAM_SECURITY_POLICY_GATE_OPT_UNIFIED_VENDOR_SAAS,FAM_SECURITY_POLICY_GATE,"Security control, secret management, and policy gate",OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,2,2,2,3,3,1,15,rejected,,Rejected because monolithic security suites often keep exception state and secret material in product-specific control planes rather than published platform records.,"platform-runtime-and-release-blueprint.md#Security baseline contract; platform-admin-and-config-blueprint.md#Dependency and standards hygiene; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene"
FAM_SECURITY_POLICY_GATE_OPT_CLOUD_PROVIDER_NATIVE,FAM_SECURITY_POLICY_GATE,"Security control, secret management, and policy gate",OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,3,3,3,2,3,3,2,19,rejected,,"Rejected because provider-native controls alone would not cover multi-tool policy evaluation, external partner seams, or UK-hosted portability.","platform-runtime-and-release-blueprint.md#Security baseline contract; platform-admin-and-config-blueprint.md#Dependency and standards hygiene; phase-9-the-assurance-ledger.md#9H. Tenant governance, config immutability, and dependency hygiene"
FAM_INCIDENT_CAPA_WORKFLOW_OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,FAM_INCIDENT_CAPA_WORKFLOW,"Incident, near-miss, and CAPA workflow",OPT_PROTOCOL_FIRST_PUBLISHED_TUPLE,Protocol-first published tuple baseline,4,5,4,5,5,5,5,33,chosen,"Incident desk, near-miss intake, reportability assessment, containment timeline, post-incident review, and assurance-ledger writeback","Chosen because security incidents, break-glass review, support replay, and release follow-up all need the same evidence-preserving workflow instead of siloed tickets.","phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting; phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; platform-runtime-and-release-blueprint.md#Operational readiness contract"
FAM_INCIDENT_CAPA_WORKFLOW_OPT_UNIFIED_VENDOR_SAAS,FAM_INCIDENT_CAPA_WORKFLOW,"Incident, near-miss, and CAPA workflow",OPT_UNIFIED_VENDOR_SAAS,Unified vendor SaaS control plane,2,2,2,2,3,2,1,14,rejected,,"Rejected because generic ticketing does not guarantee reportability assessment, evidence preservation, or assurance writeback.","phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting; phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; platform-runtime-and-release-blueprint.md#Operational readiness contract"
FAM_INCIDENT_CAPA_WORKFLOW_OPT_CLOUD_PROVIDER_NATIVE,FAM_INCIDENT_CAPA_WORKFLOW,"Incident, near-miss, and CAPA workflow",OPT_CLOUD_PROVIDER_NATIVE,Cloud-provider-native control plane,2,2,2,2,2,2,2,14,rejected,,"Rejected because cloud incident tools do not naturally join near misses, CAPA, break-glass review, and healthcare reportability obligations.","phase-9-the-assurance-ledger.md#9G. Security operations, incident workflow, and just-culture reporting; phase-9-the-assurance-ledger.md#9D. Assurance pack factory and standards evidence pipeline; platform-runtime-and-release-blueprint.md#Operational readiness contract"
