requestType,questionKey,stepKey,visibilityMode,visibilityPredicate,requiredWhen,normalizationTarget,summaryRenderer,safetyRelevance,supersessionPolicy,helpContentRef
Symptoms,symptoms.category,details,always,requestType == 'Symptoms',requestType == 'Symptoms',structuredAnswers.symptoms.symptomCategoryCode,summary.symptoms.category.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.symptoms.category.v1
Symptoms,symptoms.chestPainLocation,details,conditional,requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing',requestType == 'Symptoms' && answers['symptoms.category'] == 'chest_breathing',structuredAnswers.symptoms.chestDiscomfortLocationCode,summary.symptoms.chest_location.v1,safety_relevant,SUP_140_SAFETY_BRANCH_SUPERSEDE_V1,help.symptoms.chest_location.v1
Symptoms,symptoms.onsetPrecision,details,always,requestType == 'Symptoms',requestType == 'Symptoms',structuredAnswers.symptoms.onsetPrecision,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.symptoms.onset.v1
Symptoms,symptoms.onsetDate,details,conditional,requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date',requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'exact_date',structuredAnswers.symptoms.onsetDate,summary.symptoms.onset_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.symptoms.onset.v1
Symptoms,symptoms.onsetWindow,details,conditional,requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window',requestType == 'Symptoms' && answers['symptoms.onsetPrecision'] == 'approximate_window',structuredAnswers.symptoms.onsetWindowCode,summary.symptoms.onset_window.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,help.symptoms.onset.v1
Symptoms,symptoms.worseningNow,details,always,requestType == 'Symptoms',requestType == 'Symptoms',structuredAnswers.symptoms.worseningNow,summary.symptoms.worsening_now.v1,safety_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.symptoms.severity.v1
Symptoms,symptoms.severityClues,details,always,requestType == 'Symptoms',requestType == 'Symptoms',structuredAnswers.symptoms.severityClueCodes,summary.symptoms.severity_clues.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.symptoms.severity.v1
Symptoms,symptoms.narrative,details,always,requestType == 'Symptoms',requestType == 'Symptoms',structuredAnswers.symptoms.patientNarrative,summary.symptoms.narrative.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.free_text.v1
Meds,meds.queryType,details,always,requestType == 'Meds',requestType == 'Meds',structuredAnswers.meds.queryTypeCode,summary.meds.query_type.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.meds.query_type.v1
Meds,meds.nameKnown,details,always,requestType == 'Meds',requestType == 'Meds',structuredAnswers.meds.medicineNameState,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,help.meds.name_known.v1
