task_id,family,provider,event_key,subscription_required,authoritative_effect,canonical_event,endpoint_id,mandatory_or_optional
203,telephony,twilio_voice,call_status_initiated,true,open_call_session,call_started,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,call_status_ringing,true,preserve_provider_progress,call_started,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,call_status_answered,true,mark_voice_connected,call_started,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,ivr_gather_completed,true,capture_menu_choice_without_closing_call,menu_selection_captured,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,call_status_completed,true,close_provider_leg_not_request_lineage,call_abandoned_or_completed,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,recording_status_available,true,launch_recording_fetch_worker_after_edge_verification,recording_available,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,twilio_voice,recording_status_failed,true,create_degraded_recording_readiness_state,provider_error_recorded,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,vonage_voice,call_status_answered,true,mark_voice_connected,call_started,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,vonage_voice,ivr_gather_completed,true,capture_menu_choice_without_closing_call,menu_selection_captured,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,vonage_voice,call_status_completed,true,close_provider_leg_not_request_lineage,call_abandoned_or_completed,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,vonage_voice,recording_status_available,true,launch_recording_fetch_worker_after_edge_verification,recording_available,edge.signal.telephony.provider_callback.v1,mandatory
203,telephony,vonage_voice,recording_status_failed,true,create_degraded_recording_readiness_state,provider_error_recorded,edge.signal.telephony.provider_callback.v1,mandatory
203,sms,twilio_sms,sms_status_accepted,true,prove_provider_acceptance,message_accepted,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_queued,true,retain_delivery_pending,message_in_progress,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_sent,true,retain_delivery_pending,message_in_progress,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_delivered,true,settle_delivery_success,message_delivered,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_failed,true,open_reachability_repair,message_failed,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_undelivered,true,open_reachability_repair,message_failed,edge.signal.sms.status_callback.v1,mandatory
203,sms,twilio_sms,sms_status_expired,true,expire_continuation_offer_without_replay,message_expired,edge.signal.sms.status_callback.v1,mandatory
203,sms,vonage_sms,sms_status_accepted,true,prove_provider_acceptance,message_accepted,edge.signal.sms.status_callback.v1,mandatory
203,sms,vonage_sms,sms_status_delivered,true,settle_delivery_success,message_delivered,edge.signal.sms.status_callback.v1,mandatory
203,sms,vonage_sms,sms_status_failed,true,open_reachability_repair,message_failed,edge.signal.sms.status_callback.v1,mandatory
203,sms,vonage_sms,sms_status_expired,true,expire_continuation_offer_without_replay,message_expired,edge.signal.sms.status_callback.v1,mandatory
203,email,mailgun_email,email_event_accepted,true,prove_provider_acceptance,message_accepted,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_delivered,true,settle_delivery_success,message_delivered,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_deferred,true,retain_delivery_pending,message_in_progress,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_dropped,true,open_reachability_repair,message_failed,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_bounced,true,open_reachability_repair,message_failed,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_complained,true,suppress_channel_until_review,message_complaint,edge.signal.email.event_webhook.v1,mandatory
203,email,mailgun_email,email_event_opened_non_authoritative,false,non_authoritative_metric_only,message_engagement_hint,edge.signal.email.event_webhook.v1,optional
203,email,sendgrid_email,email_event_processed,true,prove_provider_acceptance,message_accepted,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_delivered,true,settle_delivery_success,message_delivered,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_deferred,true,retain_delivery_pending,message_in_progress,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_dropped,true,open_reachability_repair,message_failed,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_bounced,true,open_reachability_repair,message_failed,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_spamreport,true,suppress_channel_until_review,message_complaint,edge.signal.email.event_webhook.v1,mandatory
203,email,sendgrid_email,email_event_opened_non_authoritative,false,non_authoritative_metric_only,message_engagement_hint,edge.signal.email.event_webhook.v1,optional
