routeIntentId,audienceSurface,shellType,routeFamily,actionScope,governingObjectType,governingObjectRef,canonicalObjectDescriptorRef,governingBoundedContextRef,governingObjectVersionRef,lineageScope,requiredContextBoundaryRefs,parentAnchorRef,subjectRef,grantFamily,sessionEpochRef,subjectBindingVersionRef,actingScopeTupleRequirementRef,audienceSurfaceRuntimeBindingRef,releaseApprovalFreezeRef,channelReleaseFreezeState,requiredAssuranceSliceTrustRefs,routeContractDigestRef,routeIntentTupleHash,bindingState,staleDisposition,recoveryEnvelopeFamily,publishedMutationCommandContractRef,publishedRouteIntentBindingRequirementRef,publishedRuntimeBindingState,currentPublishedBrowserPosture,requiredGrantFamily,requiredActingContext,requiredActingScopeTuple,requiredLineageFenceEpoch,requiredSafetyEpochValidation,requiredReachabilityValidation,requiredRuntimePublicationBinding,requiredReleaseFreezeValidation,requiredChannelFreezeValidation,requiredParityValidation,allowedCommandSettlementResults,declinedScopeDisposition,staleRecoverableDisposition,sameShellRecoveryEnvelopeRef,mustWriteCommandActionRecord,mustWriteCommandSettlementRecord,authorityReconstructionForbiddenFrom,ambiguousTargetDisposition,partialTupleDisposition,source_refs,rationale
RIB_056_PATIENT_CLAIM_CURRENT_V1,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery,claim,Request,request://current-claim-target,COD_056_REQUEST_V1,identity_access,requestVersion://claim/current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://request-claim/current,subject://patient/current,transaction_action_minimal,sessionEpoch://grant-scoped/current,subjectBindingVersion://claim/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_RECOVERY_V1,55454b109d3d6a95,3e89b5bd46d48d2f,live,same_shell_claim_rebind,RecoveryEnvelope::claim-rebind,MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RIB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,recovery_only,recovery_only,transaction_action_minimal,patient_claim_recovery_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,not_required,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; applied; stale_recoverable; denied_scope; expired,same_shell_scope_denied,same_shell_claim_reissue,RecoveryEnvelope::claim-rebind,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,reissue_only,prompt/056.md; blueprint/phase-0-the-foundation-protocol.md#1.21 RouteIntentBinding; blueprint/phase-2-identity-and-echoes.md#Continuation authority and claim law; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; data/analysis/gateway_route_family_matrix.csv#rf_patient_secure_link_recovery,Claim and continuation routes must bind the current request target tuple before they can widen from claim-pending or recovery posture into writable detail.
RIB_056_PATIENT_CLAIM_LEGACY_PARTIAL_V1,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery,claim,Request,request://current-claim-target,COD_056_REQUEST_V1,identity_access,requestVersion://claim/current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://request-claim/current,subject://patient/current,transaction_action_minimal,sessionEpoch://grant-scoped/current,subjectBindingVersion://claim/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_RECOVERY_V1,55454b109d3d6a95,3e89b5bd46d48d2f,recovery_only,same_shell_reissue_live_claim_binding,RecoveryEnvelope::claim-reissue,MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RIB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,recovery_only,recovery_only,transaction_action_minimal,patient_claim_recovery_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,not_required,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,stale_recoverable; denied_scope; expired,same_shell_scope_denied,same_shell_claim_reissue,RecoveryEnvelope::claim-reissue,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only,prompt/056.md; blueprint/phase-0-the-foundation-protocol.md#1.21 RouteIntentBinding; blueprint/phase-2-identity-and-echoes.md#Continuation authority and claim law; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; data/analysis/gateway_route_family_matrix.csv#rf_patient_secure_link_recovery,Legacy or partial claim bindings stay same-shell visible but may not expose writable claim completion until a fresh full tuple is reissued.
RIB_056_PATIENT_MORE_INFO_REPLY_V1,audsurf_patient_transaction_recovery,patient,rf_patient_secure_link_recovery,respond_more_info,MoreInfoCycle,moreInfoCycle://current,COD_056_MORE_INFO_CYCLE_V1,communication,moreInfoCycleVersion://current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://more-info-cycle/current,subject://patient/current,transaction_action_minimal,sessionEpoch://grant-scoped/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_RECOVERY_V1,55454b109d3d6a95,285218faab2708f4,live,same_shell_reply_window_rebind,RecoveryEnvelope::more-info-rebind,MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,RIB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,recovery_only,recovery_only,transaction_action_minimal,patient_secure_link_recovery_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_more_info_reachability_or_contact_repair_clear,ASRB_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,applied; review_required; stale_recoverable; blocked_policy; expired,same_shell_reply_window_denied,same_shell_reply_window_rebind,RecoveryEnvelope::more-info-rebind,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_checkpoint_or_tuple_drifted,prompt/056.md; blueprint/phase-0-the-foundation-protocol.md#6.5A More-info reply-window and late-response contract; blueprint/patient-account-and-communications-blueprint.md#Patient contact repair projection; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_SECURE_LINK_RECOVERY_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_SECURE_LINK_RECOVERY_RF_PATIENT_SECURE_LINK_RECOVERY; data/analysis/gateway_route_family_matrix.csv#rf_patient_secure_link_recovery,"More-info replies stay bound to the current cycle, reply window checkpoint, reachability epoch, and request lineage instead of relying on link TTL or copied email text."
RIB_056_PATIENT_MESSAGE_REPLY_V1,audsurf_patient_authenticated_portal,patient,rf_patient_messages,reply_message,ClinicianMessageThread,messageThread://current,COD_056_MESSAGE_THREAD_V1,communication,messageThreadVersion://current,conversation_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://message-thread/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_MESSAGES_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,e068142870daca7b,aa2b74ebfdc89c55,live,same_shell_conversation_refresh,RecoveryEnvelope::conversation-rebind,MCC_050_RF_PATIENT_MESSAGES_V1,RIB_050_RF_PATIENT_MESSAGES_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_message_reply_route_clear,ASRB_050_RF_PATIENT_MESSAGES_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; awaiting_external; applied; review_required; stale_recoverable; blocked_policy,same_shell_scope_denied,same_shell_conversation_refresh,RecoveryEnvelope::conversation-rebind,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_thread_or_anchor_drifted,prompt/056.md; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_MESSAGES_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; data/analysis/gateway_route_family_matrix.csv#rf_patient_messages,"Message reply flows must preserve the current thread tuple, reachability authority, and settlement chain instead of inferring actionability from visible composer state alone."
RIB_056_PATIENT_MESSAGE_REPLY_SUPERSEDED_V1,audsurf_patient_authenticated_portal,patient,rf_patient_messages,reply_message,ClinicianMessageThread,messageThread://superseded,COD_056_MESSAGE_THREAD_V1,communication,messageThreadVersion://superseded,conversation_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://message-thread/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_MESSAGES_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,e068142870daca7b,b5075ce1cbda1a3a,superseded,same_shell_resume_latest_thread,RecoveryEnvelope::conversation-superseded,MCC_050_RF_PATIENT_MESSAGES_V1,RIB_050_RF_PATIENT_MESSAGES_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_message_reply_route_clear,ASRB_050_RF_PATIENT_MESSAGES_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,stale_recoverable; denied_scope; expired,same_shell_scope_denied,same_shell_resume_latest_thread,RecoveryEnvelope::conversation-superseded,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_superseded,prompt/056.md; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; blueprint/platform-frontend-blueprint.md#SelectedAnchorPolicy; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_MESSAGES_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; data/analysis/gateway_route_family_matrix.csv#rf_patient_messages,Superseded thread bindings must fail closed into same-shell resume or disambiguation instead of letting an old composer send on a stale thread tuple.
RIB_056_PATIENT_CALLBACK_RESPONSE_V1,audsurf_patient_authenticated_portal,patient,rf_patient_messages,respond_callback,CallbackCase,callbackCase://current,COD_056_CALLBACK_CASE_V1,communication,callbackCaseVersion://current,conversation_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://callback-cluster/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_MESSAGES_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,e068142870daca7b,32ae81f627b9e02d,live,same_shell_callback_refresh,RecoveryEnvelope::callback-rebind,MCC_050_RF_PATIENT_MESSAGES_V1,RIB_050_RF_PATIENT_MESSAGES_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_callback_route_clear,ASRB_050_RF_PATIENT_MESSAGES_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; awaiting_external; applied; reconciliation_required; stale_recoverable; blocked_policy,same_shell_scope_denied,same_shell_callback_refresh,RecoveryEnvelope::callback-rebind,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_callback_anchor_drifted,prompt/056.md; blueprint/callback-and-clinician-messaging-loop.md#Mutation and settlement law; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_MESSAGES_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_MESSAGES_RF_PATIENT_MESSAGES; data/analysis/gateway_route_family_matrix.csv#rf_patient_messages,"Callback response paths depend on the current callback case, reachability truth, and settlement chain rather than on list-row state or recent delivery observations."
RIB_056_PATIENT_MANAGE_BOOKING_V1,audsurf_patient_authenticated_portal,patient,rf_patient_appointments,manage_booking,BookingCase,bookingCase://current,COD_056_BOOKING_CASE_V1,booking,bookingCaseVersion://current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://appointment/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,33e3ff829ded7f8a,25c24436086aefba,live,same_shell_booking_refresh,RecoveryEnvelope::booking-manage,MCC_050_RF_PATIENT_APPOINTMENTS_V1,RIB_050_RF_PATIENT_APPOINTMENTS_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,not_required,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; awaiting_external; applied; review_required; reconciliation_required; stale_recoverable; blocked_policy,same_shell_scope_denied,same_shell_booking_refresh,RecoveryEnvelope::booking-manage,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_slot_or_booking_tuple_drifted,prompt/056.md; blueprint/phase-4-the-booking-engine.md#Booking continuity evidence projection; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,Booking manage actions must bind the current booking case and governing version so stale appointment rows cannot mutate a superseded booking target.
RIB_056_PATIENT_WAITLIST_ACCEPT_V1,audsurf_patient_authenticated_portal,patient,rf_patient_appointments,accept_waitlist_offer,WaitlistOffer,waitlistOffer://current,COD_056_WAITLIST_OFFER_V1,booking,waitlistOfferVersion://current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://waitlist-offer/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,33e3ff829ded7f8a,946251af0e98a70f,live,same_shell_waitlist_refresh,RecoveryEnvelope::waitlist-accept,MCC_050_RF_PATIENT_APPOINTMENTS_V1,RIB_050_RF_PATIENT_APPOINTMENTS_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_waitlist_offer_route_clear,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; applied; review_required; stale_recoverable; blocked_policy; expired,same_shell_scope_denied,same_shell_waitlist_refresh,RecoveryEnvelope::waitlist-accept,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_offer_window_or_anchor_drifted,prompt/056.md; blueprint/platform-frontend-blueprint.md#Route continuity evidence contract; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,"Waitlist acceptance must validate the active offer window, reachability duty, and current parent anchor before the patient can settle the offer in place."
RIB_056_PATIENT_NETWORK_ALTERNATIVE_STALE_V1,audsurf_patient_authenticated_portal,patient,rf_patient_appointments,accept_network_alternative,AlternativeOfferSession,alternativeOfferSession://ambiguous,COD_056_ALTERNATIVE_OFFER_V1,hub_coordination,alternativeOfferVersion://current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://network-alternative/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,33e3ff829ded7f8a,a356930ffa21be0d,stale,same_shell_disambiguate_alternative_offer,RecoveryEnvelope::alternative-offer-disambiguation,MCC_050_RF_PATIENT_APPOINTMENTS_V1,RIB_050_RF_PATIENT_APPOINTMENTS_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,current_alternative_offer_route_clear,ASRB_050_RF_PATIENT_APPOINTMENTS_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,review_required; stale_recoverable; denied_scope,same_shell_scope_denied,same_shell_disambiguate_alternative_offer,RecoveryEnvelope::alternative-offer-disambiguation,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_offer_session_ambiguous,prompt/056.md; blueprint/phase-5-the-network-horizon.md#Alternative-offer truth; blueprint/patient-account-and-communications-blueprint.md#Patient action recovery contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_APPOINTMENTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_APPOINTMENTS_RF_PATIENT_APPOINTMENTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_appointments,Alternative-offer acceptance must fail closed when the authoritative target is ambiguous or the hub-owned offer session no longer matches the bound patient tuple.
RIB_056_PATIENT_PHARMACY_CHOICE_V1,audsurf_patient_authenticated_portal,patient,rf_patient_requests,pharmacy_choice,PharmacyCase,pharmacyCase://current,COD_056_PHARMACY_CASE_V1,pharmacy,pharmacyCaseVersion://current,request_lineage,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_COMMAND_API_TO_EVENT_CONTRACTS,anchor://pharmacy-choice/current,subject://patient/current,patient_session_claimed,sessionEpoch://patient/current,subjectBindingVersion://patient/current,ASTR_056_PATIENT_SUBJECT_BOUND_V1,ASRB_050_RF_PATIENT_REQUESTS_V1,RAF_PROD_V1,monitoring,asr_runtime_topology_tuple; RTFV_PROD_PATIENT_LIVE_V1,6ea1be56eb007430,53a56f3eb8408f09,live,same_shell_pharmacy_choice_refresh,RecoveryEnvelope::pharmacy-choice,MCC_050_RF_PATIENT_REQUESTS_V1,RIB_050_RF_PATIENT_REQUESTS_V1,read_only,read_only,patient_session_claimed,patient_authenticated_session,not_required_patient_subject_session,LineageFence.currentEpoch,current_request_safety_epoch,not_required,ASRB_050_RF_PATIENT_REQUESTS_V1,current_release_approval_freeze::RAF_PROD_V1,channel_freeze_state_monitoring_or_released,release_publication_parity_exact,pending; applied; reconciliation_required; stale_recoverable; blocked_policy,same_shell_scope_denied,same_shell_pharmacy_choice_refresh,RecoveryEnvelope::pharmacy-choice,yes,yes,url_params;cached_projection_fragment;detached_cta_state;browser_history_state,same_shell_disambiguation_or_reissue,recovery_only_when_pharmacy_tuple_drifted,prompt/056.md; blueprint/phase-6-the-pharmacy-loop.md#Dispatch proof and outcome ingest; blueprint/patient-account-and-communications-blueprint.md#Patient action settlement contract; data/analysis/frontend_contract_manifests.json#MCC_050_RF_PATIENT_REQUESTS_V1; data/analysis/route_to_scope_requirements.csv#RSR_054_GWS_PATIENT_REQUESTS_RF_PATIENT_REQUESTS; data/analysis/gateway_route_family_matrix.csv#rf_patient_requests,Patient pharmacy choice remains request-bound and must validate the current pharmacy case tuple before a new choice can settle.
