namespace_code,canonical_event_namespace_ref,owning_bounded_context_ref,event_purpose_class,authoritative_family_role,allowed_producer_context_refs,default_disclosure_class,compatibility_mode_default,replay_semantics_default,normalization_rule_required,quarantine_component_ref,payload_privacy_rule,unknown_producer_posture,source_refs,notes
request,CanonicalEventNamespace(request),foundation_control_plane,domain_lifecycle,authoritative,foundation_control_plane,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
intake,CanonicalEventNamespace(intake),foundation_control_plane,domain_lifecycle,authoritative,foundation_control_plane,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
identity,CanonicalEventNamespace(identity),foundation_identity_access,control_plane,authoritative,foundation_identity_access,security_or_secret_sensitive,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
access,CanonicalEventNamespace(access),foundation_identity_access,control_plane,authoritative,foundation_identity_access,security_or_secret_sensitive,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
telephony,CanonicalEventNamespace(telephony),callback_messaging,continuity,authoritative,callback_messaging; foundation_identity_access,descriptor_and_hash_only,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
safety,CanonicalEventNamespace(safety),foundation_control_plane,domain_lifecycle,authoritative,foundation_control_plane,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
triage,CanonicalEventNamespace(triage),triage_human_checkpoint,domain_lifecycle,authoritative,triage_human_checkpoint,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
booking,CanonicalEventNamespace(booking),booking,domain_lifecycle,authoritative,booking,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
hub,CanonicalEventNamespace(hub),hub_coordination,domain_lifecycle,authoritative,hub_coordination,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
pharmacy,CanonicalEventNamespace(pharmacy),pharmacy,domain_lifecycle,authoritative,pharmacy,operational_internal_non_phi,additive_only,append_only,yes,queue_event_normalization_quarantine,artifact_ref_or_masked_descriptor_only,quarantine_and_raise_assurance_gap,phase-0-the-foundation-protocol.md#CanonicalEventNamespace; phase-0-the-foundation-protocol.md#CanonicalEventNormalizationRule,Namespace is published and contract-owned; producers may not bypass normalization or carry raw sensitive payload bodies across the spine.
