task_order,task_id,task_kind,task_status,task_prompt_ref,task_title,phase_ref,milestone_id,milestone_title,milestone_class,baseline_scope,critical_path_state,merge_gate_ref
1,seq_001,seq,complete,prompt/001.md,ingest blueprint corpus and establish traceable requirement registry,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
2,seq_002,seq,complete,prompt/002.md,reconcile blueprint summary layer with phase cards and canonical docs,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
3,seq_003,seq,complete,prompt/003.md,define product scope boundary and non goals,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
4,seq_004,seq,complete,prompt/004.md,define personas channels and audience surface inventory,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
5,seq_005,seq,complete,prompt/005.md,map end to end request lineage and endpoint matrix,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
6,seq_006,seq,complete,prompt/006.md,map canonical domain glossary and object catalog,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
7,seq_007,seq,complete,prompt/007.md,map state machines and cross phase invariants,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
8,seq_008,seq,complete,prompt/008.md,identify external dependency inventory and assurance obligations,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
9,seq_009,seq,complete,prompt/009.md,define regulatory and clinical safety workstreams,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
10,seq_010,seq,complete,prompt/010.md,define data classification phi masking and audit posture,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
11,seq_011,seq,complete,prompt/011.md,choose cloud region tenant model and trust zone strategy,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
12,seq_012,seq,complete,prompt/012.md,choose monorepo build system and language standards,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
13,seq_013,seq,complete,prompt/013.md,choose backend runtime eventing and storage baselines,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
14,seq_014,seq,complete,prompt/014.md,choose frontend stack and bff pattern,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
15,seq_015,seq,complete,prompt/015.md,choose observability security and release tooling baselines,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
16,seq_016,seq,complete,prompt/016.md,freeze target architecture adr set,planning,MS_PLAN_DISCOVERY_BASELINE,"Discovery corpus, architecture baselines, and ADR freeze",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
17,seq_017,seq,in_progress,prompt/017.md,define programme milestones parallel tracks and merge gates,planning,MS_PLAN_EXECUTION_GRAPH,Programme graph and merge-gate model,planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
18,seq_018,seq,not_started,prompt/018.md,create master risk register and dependency watchlist,planning,MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION,"Master risk, watchlist, traceability, and Phase 0 gate foundation",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
19,seq_019,seq,not_started,prompt/019.md,create requirement to task traceability map,planning,MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION,"Master risk, watchlist, traceability, and Phase 0 gate foundation",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
20,seq_020,seq,not_started,prompt/020.md,approve phase 0 entry criteria and foundation gate,planning,MS_PLAN_RISK_AND_TRACEABILITY_FOUNDATION,"Master risk, watchlist, traceability, and Phase 0 gate foundation",planning,current,on_path,GATE_PLAN_EXTERNAL_ENTRY
21,seq_021,seq,not_started,prompt/021.md,external inventory rank required vs optional integrations,external_readiness,MS_EXT_STRATEGY_AND_ACCOUNT_PLAN,"External inventory, provider scorecards, and account strategy",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
22,seq_022,seq,not_started,prompt/022.md,external define provider selection scorecards for identity telephony notifications gp and pharmacy,external_readiness,MS_EXT_STRATEGY_AND_ACCOUNT_PLAN,"External inventory, provider scorecards, and account strategy",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
23,seq_023,seq,not_started,prompt/023.md,external create sandbox account strategy and secret ownership model,external_readiness,MS_EXT_STRATEGY_AND_ACCOUNT_PLAN,"External inventory, provider scorecards, and account strategy",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
24,seq_024,seq,not_started,prompt/024.md,external use Playwright or other appropriate tooling browser automation to submit nhs login partner access requests,external_readiness,MS_EXT_NHS_LOGIN_ONBOARDING,NHS login partner access requests and credential capture,dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
25,seq_025,seq,not_started,prompt/025.md,external use Playwright or other appropriate tooling browser automation to capture nhs login credentials and redirect uris,external_readiness,MS_EXT_NHS_LOGIN_ONBOARDING,NHS login partner access requests and credential capture,dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
26,seq_026,seq,not_started,prompt/026.md,external use Playwright or other appropriate tooling browser automation to submit im1 pairing prerequisite forms and track scal artifacts,external_readiness,MS_EXT_IM1_SCAL_READINESS,IM1 prerequisite forms and SCAL artifact plan,dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
27,seq_027,seq,not_started,prompt/027.md,external use Playwright or other appropriate tooling browser automation to request optional pds fhir sandbox access and feature flag plan,external_readiness,MS_EXT_OPTIONAL_PDS_ENRICHMENT,Optional PDS enrichment sandbox request and flag plan,dependency_readiness,optional,off_path,GATE_OPTIONAL_PDS_ENABLEMENT
28,seq_028,seq,not_started,prompt/028.md,external use Playwright or other appropriate tooling browser automation to request mesh test mailbox and message workflow access,external_readiness,MS_EXT_MESH_ACCESS,MESH mailbox and message workflow access requests,dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
29,seq_029,seq,not_started,prompt/029.md,external use Playwright or other appropriate tooling browser automation to request nhs app sandpit and aos access,external_readiness,MS_EXT_DEFERRED_NHSAPP_ECOSYSTEM,Deferred NHS App sandpit and site-link onboarding,deferred_channel,deferred,off_path,GATE_DEFERRED_NHSAPP_ENABLEMENT
30,seq_030,seq,not_started,prompt/030.md,external use Playwright or other appropriate tooling browser automation to register nhs app site link metadata placeholders,external_readiness,MS_EXT_DEFERRED_NHSAPP_ECOSYSTEM,Deferred NHS App sandpit and site-link onboarding,deferred_channel,deferred,off_path,GATE_DEFERRED_NHSAPP_ENABLEMENT
31,seq_031,seq,not_started,prompt/031.md,external select telephony ivr sms and email vendors,external_readiness,MS_EXT_COMMS_AND_SCAN_VENDORS,"Telephony, notifications, transcription, and malware-scanning vendor setup",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
32,seq_032,seq,not_started,prompt/032.md,external use Playwright or other appropriate tooling browser automation to create telephony vendor accounts and test numbers,external_readiness,MS_EXT_COMMS_AND_SCAN_VENDORS,"Telephony, notifications, transcription, and malware-scanning vendor setup",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
33,seq_033,seq,not_started,prompt/033.md,external use Playwright or other appropriate tooling browser automation to create sms and email notification projects,external_readiness,MS_EXT_COMMS_AND_SCAN_VENDORS,"Telephony, notifications, transcription, and malware-scanning vendor setup",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
34,seq_034,seq,not_started,prompt/034.md,external select transcription and artifact scanning providers,external_readiness,MS_EXT_COMMS_AND_SCAN_VENDORS,"Telephony, notifications, transcription, and malware-scanning vendor setup",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
35,seq_035,seq,not_started,prompt/035.md,external use Playwright or other appropriate tooling browser automation to provision transcription and malware scanning projects,external_readiness,MS_EXT_COMMS_AND_SCAN_VENDORS,"Telephony, notifications, transcription, and malware-scanning vendor setup",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
36,seq_036,seq,not_started,prompt/036.md,external identify gp system provider sandbox paths and booking capability evidence,external_readiness,MS_EXT_PROVIDER_PATHS_AND_EVIDENCE,"GP, booking, and pharmacy provider path evidence",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
37,seq_037,seq,not_started,prompt/037.md,external identify pharmacy directory and update record access paths,external_readiness,MS_EXT_PROVIDER_PATHS_AND_EVIDENCE,"GP, booking, and pharmacy provider path evidence",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
38,seq_038,seq,not_started,prompt/038.md,external create local adapter simulator backlog for unavailable or manual integrations,external_readiness,MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE,"Simulator backlog, manual checkpoints, and degraded-mode defaults",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
39,seq_039,seq,not_started,prompt/039.md,external document manual approval checkpoints and browser automation retries,external_readiness,MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE,"Simulator backlog, manual checkpoints, and degraded-mode defaults",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
40,seq_040,seq,not_started,prompt/040.md,external freeze integration contract assumptions and degraded mode defaults,external_readiness,MS_EXT_SIMULATOR_AND_MANUAL_GATE_FREEZE,"Simulator backlog, manual checkpoints, and degraded-mode defaults",dependency_readiness,current,on_path,GATE_EXTERNAL_TO_FOUNDATION
41,seq_041,seq,not_started,prompt/041.md,phase0 freeze repository topology and package boundary rules,phase_0,MS_P0_0A_DELIVERY_SKELETON,Phase 0A delivery skeleton and repository architecture,foundation,current,on_path,GATE_P0_0A_TO_0B
42,seq_042,seq,not_started,prompt/042.md,phase0 scaffold monorepo apps services and packages,phase_0,MS_P0_0A_DELIVERY_SKELETON,Phase 0A delivery skeleton and repository architecture,foundation,current,on_path,GATE_P0_0A_TO_0B
43,seq_043,seq,not_started,prompt/043.md,phase0 scaffold api gateway command api projection worker and notification worker services,phase_0,MS_P0_0A_DELIVERY_SKELETON,Phase 0A delivery skeleton and repository architecture,foundation,current,on_path,GATE_P0_0A_TO_0B
44,seq_044,seq,not_started,prompt/044.md,phase0 scaffold domain context modules and shared contract packages,phase_0,MS_P0_0A_DELIVERY_SKELETON,Phase 0A delivery skeleton and repository architecture,foundation,current,on_path,GATE_P0_0A_TO_0B
45,seq_045,seq,not_started,prompt/045.md,phase0 publish coding standards branching and commit conventions,phase_0,MS_P0_0A_DELIVERY_SKELETON,Phase 0A delivery skeleton and repository architecture,foundation,current,on_path,GATE_P0_0A_TO_0B
46,seq_046,seq,not_started,prompt/046.md,phase0 define runtime topology manifest and workload families,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
47,seq_047,seq,not_started,prompt/047.md,phase0 define trust zone boundaries and gateway surface map,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
48,seq_048,seq,not_started,prompt/048.md,phase0 define canonical event namespace and schema registry process,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
49,seq_049,seq,not_started,prompt/049.md,phase0 define fhir representation contract strategy,phase_0,MS_P0_0B_DOMAIN_KERNEL,Phase 0B canonical domain kernel and state machine,foundation,current,on_path,GATE_P0_0B_TO_0C
50,seq_050,seq,not_started,prompt/050.md,phase0 define frontend contract manifest strategy,phase_0,MS_P0_0C_RUNTIME_PUBLICATION_SUBSTRATE,"Phase 0C runtime topology, publication, and release substrate",foundation,current,on_path,GATE_P0_0C_TO_0D
