package_artifact_id,package_name,contract_family_id,contract_family_label,versioning_posture,consumer_contract_ids,consumer_owner_codes,consumer_selectors,owned_object_family_count,owned_object_family_samples,source_refs
package_domain_kernel,@vecells/domain-kernel,CF_044_FOUNDATION_PRIMITIVES,Foundation primitives and lineage aggregates,Shared-kernel public API. Additive changes only until downstream packages adopt explicit versions.,CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_DOMAIN_PACKAGES_TO_DOMAIN_KERNEL,analytics_assurance; audit_compliance; booking; communications; governance_admin; hub_coordination; identity_access; intake_safety; operations; pharmacy; platform_runtime; release_control; support; triage_workspace,packages/domains/*; services/command-api; services/projection-worker,39,BinaryArtifactDelivery; BridgeActionLease; BridgeCapabilityMatrix; CLOSE; CallSession; EmbeddedShell; EmbeddedShellConsistencyProjection; Home; HubContinuationLease; IdentityAssertionBinding; IdentityContext; IntakeOutcomePresentationArtifact,blueprint/phase-0-the-foundation-protocol.md#BoundedContextDescriptor; prompt/044.md
package_event_contracts,@vecells/event-contracts,CF_044_PUBLISHED_EVENT_TRUTH,Published event truth,Published event contract family. New events are additive; existing event semantics are append-only.,CBC_041_COMMAND_API_TO_EVENT_CONTRACTS; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_DOMAIN_PACKAGES_TO_EVENT_CONTRACTS,analytics_assurance; audit_compliance; booking; communications; governance_admin; hub_coordination; identity_access; intake_safety; operations; pharmacy; platform_integration; platform_runtime; release_control; support; triage_workspace,packages/domains/*; services/adapter-simulators; services/command-api; services/projection-worker,12,CanonicalEventContract; CanonicalEventNamespace; DriftSignal; HubCoordinationMilestone; HubReturnSignal; IdentityRepairSignal; PharmacyFenceInvalidationSignal; PharmacyOutcomeMilestone; PharmacyReopenSignal; RiskSignal; TelemetryEventContract; UIEventEnvelope,blueprint/platform-runtime-and-release-blueprint.md#CanonicalEventContract; prompt/044.md
package_api_contracts,@vecells/api-contracts,CF_044_BROWSER_RUNTIME_SURFACES,Browser and runtime surface contracts,Published contract surface. Breaking contract changes require coordinated release-control review.,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,assistive_lab; governance_admin; hub_coordination; operations; patient_experience; pharmacy; platform_integration; platform_runtime; support; triage_workspace,apps/*; services/adapter-simulators; services/api-gateway; services/projection-worker; tools/assistive-control-lab,118,AccessibleSurfaceContract; ArtifactExperienceCoordinator; ArtifactModePresentationProfile; ArtifactPresentationContract; ArtifactSurfaceBinding; ArtifactSurfaceContext; ArtifactSurfaceFrame; ArtifactTransferSettlement; AttentionBudget; AudienceSurfaceRuntimeBinding; ChannelContext; CognitiveLoadGovernor,blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest; prompt/044.md
package_api_contracts,@vecells/api-contracts,CF_044_PROJECTION_AND_PRESENTATION_CONTRACTS,Projection and presentation contracts,Published projection contract family with additive-first evolution.,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,assistive_lab; governance_admin; hub_coordination; operations; patient_experience; pharmacy; platform_integration; platform_runtime; support; triage_workspace,apps/*; services/adapter-simulators; services/api-gateway; services/projection-worker; tools/assistive-control-lab,56,ArtifactExperienceCoordinator; ArtifactModePresentationProfile; ArtifactPresentationContract; ArtifactSurfaceBinding; ArtifactSurfaceContext; ArtifactSurfaceFrame; ArtifactTransferSettlement; AssistiveAnnouncementTruthProjection; AssistiveArtifactActionRecord; AssistivePresentationContract; ConversationSubthreadProjection; ConversationThreadProjection,blueprint/platform-frontend-blueprint.md#ProjectionContractFamily; prompt/044.md
package_api_contracts,@vecells/api-contracts,CF_044_ASSISTIVE_AND_VISUALIZATION_SURFACES,Assistive and visualization surfaces,Published UI-adjacent contract family with release-gated widening.,CBC_041_SHELLS_TO_API_CONTRACTS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_PROJECTION_WORKER_TO_DOMAIN_PROJECTIONS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,assistive_lab; governance_admin; hub_coordination; operations; patient_experience; pharmacy; platform_integration; platform_runtime; support; triage_workspace,apps/*; services/adapter-simulators; services/api-gateway; services/projection-worker; tools/assistive-control-lab,68,AbstentionRecord; AssistiveAnnouncementContract; AssistiveAnnouncementIntent; AssistiveAnnouncementTruthProjection; AssistiveArtifactActionRecord; AssistiveCapabilityManifest; AssistiveDraftInsertionPoint; AssistiveDraftPatchLease; AssistiveEvaluationSurfaceBinding; AssistiveOpsActionLease; AssistiveOpsSurfaceBinding; AssistivePresentationContract,"blueprint/platform-frontend-blueprint.md#Live-update, cache-policy, and route-inventory families; prompt/044.md"
package_fhir_mapping,@vecells/fhir-mapping,CF_044_FHIR_REPRESENTATION_BOUNDARY,FHIR representation boundary,Derived representation contract family; no canonical write truth is allowed here.,CBC_041_PROJECTION_WORKER_TO_FHIR_MAPPING; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES,platform_integration; platform_runtime,services/adapter-simulators; services/projection-worker,1,FhirRepresentationContract,blueprint/platform-runtime-and-release-blueprint.md#FhirRepresentationContract; prompt/044.md
package_authz_policy,@vecells/authz-policy,CF_044_SCOPE_AND_AUTHZ_FENCES,Acting scope and authorization fences,Policy contract family. Scope semantics are stable and widening is explicit.,CBC_041_API_GATEWAY_TO_IDENTITY_POLICY; CBC_041_COMMAND_API_TO_DOMAIN_PUBLIC_ENTRYPOINTS; CBC_041_DOMAIN_PACKAGES_TO_POLICY_AND_OBSERVABILITY,analytics_assurance; audit_compliance; booking; communications; governance_admin; hub_coordination; identity_access; intake_safety; operations; pharmacy; platform_runtime; release_control; support; triage_workspace,packages/domains/*; services/api-gateway; services/command-api,22,AccessGrant; AccessGrantScopeEnvelope; ActingContextGovernor; ActingScopeTuple; ArtifactByteGrant; AssistiveInvocationGrant; AudienceSurfacePublicationRef; AudienceSurfaceRouteContract; AudienceVisibilityCoverage; AuthBridge; AuthBridgeTransaction; AuthScopeBundle,blueprint/phase-0-the-foundation-protocol.md#ActingScopeTuple; prompt/044.md
package_design_system,@vecells/design-system,CF_044_TOKENS_AND_ACCESSIBILITY_MARKERS,"Design tokens, accessibility vocabulary, and automation markers",Published design contract family with controlled additive marker growth.,CBC_041_SHELLS_TO_DESIGN_SYSTEM,governance_admin; hub_coordination; operations; patient_experience; pharmacy; support; triage_workspace,apps/*,20,AccessibilityEquivalenceCheck; AccessibilitySemanticCoverageProfile; AccessibleContentVariant; AmbientStateRibbon; AppPageIntent; AssistiveCompositionPolicy; AssistiveTextPolicy; AutomationAnchorMap; AutomationAnchorProfile; BreakpointInterpolationRule; FieldAccessibilityContract; FreshnessAccessibilityContract,blueprint/design-token-foundation.md; blueprint/accessibility-and-content-system-contract.md; prompt/044.md
package_test_fixtures,@vecells/test-fixtures,CF_044_CONTRACT_SAFE_FIXTURE_BUILDERS,Contract-safe fixture builders,Fixture-only family. Must stay non-authoritative and traceable to public contracts.,CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES,platform_integration,services/adapter-simulators,0,,prompt/038.md; prompt/044.md
package_observability,@vecells/observability,CF_044_TELEMETRY_AND_TRUST_VOCABULARY,Telemetry and trust vocabulary,Shared observability vocabulary; additive signal growth only.,CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_DOMAIN_PACKAGES_TO_POLICY_AND_OBSERVABILITY; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,analytics_assurance; assistive_lab; audit_compliance; booking; communications; governance_admin; hub_coordination; identity_access; intake_safety; operations; pharmacy; platform_integration; platform_runtime; release_control; support; triage_workspace,packages/domains/*; packages/release-controls; services/adapter-simulators; services/api-gateway; tools/assistive-control-lab,8,AssistiveCapabilityTrustProjection; AssistiveCapabilityWatchTuple; AssistiveConfidenceDigest; AssistiveProvenanceEnvelope; ChannelTelemetryPlan; PatientTrustCueContract; TelemetryBindingProfile; UITelemetryDisclosureFence,prompt/015.md; prompt/044.md
package_observability,@vecells/observability,CF_044_CONTINUITY_AND_LINEAGE_SIGNALS,Continuity and lineage signals,Shared continuity contract family with explicit signal semantics.,CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_ADAPTER_SIMULATORS_TO_CONTRACT_AND_FIXTURE_PACKAGES; CBC_041_DOMAIN_PACKAGES_TO_POLICY_AND_OBSERVABILITY; CBC_041_RELEASE_CONTROL_TO_OBSERVABILITY; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,analytics_assurance; assistive_lab; audit_compliance; booking; communications; governance_admin; hub_coordination; identity_access; intake_safety; operations; pharmacy; platform_integration; platform_runtime; release_control; support; triage_workspace,packages/domains/*; packages/release-controls; services/adapter-simulators; services/api-gateway; tools/assistive-control-lab,31,AssistiveCapabilityTrustProjection; AssistiveCapabilityWatchTuple; AssistiveConfidenceDigest; AssistiveContinuityEvidenceProjection; AssistiveIncidentLink; AssistiveProvenanceEnvelope; AuditEvidenceReference; CasePulse; ChannelContextEvidence; ChannelTelemetryPlan; ContinuityOrchestrator; DraftContinuityEvidenceProjection,"blueprint/platform-frontend-blueprint.md#live-update, cache-policy, and route-inventory families; prompt/044.md"
package_release_controls,@vecells/release-controls,CF_044_PUBLICATION_FREEZE_AND_PARITY,"Publication, freeze, and parity controls",Published release-control family. Breaking changes require explicit release-governance review.,CBC_041_SHELLS_TO_RELEASE_CONTROLS; CBC_041_API_GATEWAY_TO_SHARED_CONTRACTS; CBC_041_NOTIFICATION_WORKER_TO_COMMUNICATIONS_SUPPORT_IDENTITY; CBC_041_ASSISTIVE_LAB_TO_CONTRACTS_AND_RELEASE_CONTROLS,assistive_lab; governance_admin; hub_coordination; operations; patient_experience; pharmacy; platform_integration; platform_runtime; support; triage_workspace,apps/*; services/api-gateway; services/notification-worker; tools/assistive-control-lab,14,ArtifactParityDigest; ChannelReleaseCohort; ContinuityContractCoverageRecord; DraftMergePlan; DraftMutationRecord; DraftSaveSettlement; DraftSessionLease; EnvironmentBaselineFingerprint; ProfileSelectionResolution; ReleaseGuardrailPolicy; ReleasePublicationParityRecord; UIEventCoverageAssertion,blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle; prompt/044.md
