policy_id,state_plane,scope,applies_to_shells,authority_contract_refs,primary_owner,persistence_mode,client_storage,cache_policy_ref,local_ack_mode,settlement_upgrade_mode,live_update_mode,degraded_posture,notes,source_refs
STATE_SHELL_FRAME,shell_frame,all live shells,patient; staff; operations; governance; hub; pharmacy; support,PersistentShell; AudienceSurfaceRuntimeBinding; SurfacePostureFrame,app shell runtime,memory_with_soft_navigation_only,none,route_kernel_live_only,none,binding_refresh_rechecks_writable_posture,projection_deltas_patch_in_place_without_shell_reset,read_only or recovery_only in place,"Owns layout topology, shell continuity key reuse, and writable fences. Never hydrates from undeclared reads.",phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-frontend-blueprint.md#3. Non-negotiable invariants
STATE_SELECTED_ANCHOR,selected_anchor,anchor-bearing routes and compare surfaces,patient; staff; operations; governance,SelectedAnchor; SelectedAnchorPreserver,route-local continuity reducer,memory_plus_history_state,history.state,selected_anchor_preserve_until_invalidated,anchor_updates_immediately,invalidated until explicit replacement or dismissal,"anchor remains visible through patch, pending, invalidation, and recovery","invalidated marker retained, not silently cleared","Preserves the current selection across same-shell route morphs, mission_stack folds, and recovery transitions.",phase-0-the-foundation-protocol.md#1.17 SelectedAnchor; platform-frontend-blueprint.md#7.8 Verification and Playwright contract
STATE_DECISION_DOCK,decision_dock,major entity routes,patient; staff; operations; governance,DecisionDock; AttentionBudget; WorkspaceTrustEnvelope,shell posture reducer,memory,none,dominant_action_single_writer,local acknowledgement is copy-distinct from settlement,server settlement or trust drift can demote the dock in place,re-check state patches without duplicate banners,dominant action freezes without swapping shells,Ensures only one dominant action and one promoted support region compete at once.,phase-0-the-foundation-protocol.md#1.5 DecisionDock; platform-frontend-blueprint.md#3. Non-negotiable invariants
STATE_PATIENT_QUERY_CACHE,server_query_cache,"patient home, requests, appointments, messages",patient,ProjectionQueryContract; ClientCachePolicy; FrontendContractManifest,typed query client,memory_with_stale_time_from_manifest,none,patient_projection_session_cache,"optimistic badge only, never terminal reassurance",authoritative projection refresh upgrades visible macro state,SSE or websocket deltas patch summary and thread lanes,summary_only or recovery_only via runtime binding,"Requests, messages, and appointments remain projection-first and audience-safe.",platform-runtime-and-release-blueprint.md#ProjectionQueryContract; patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology
STATE_WORKSPACE_QUEUE,server_query_cache,workspace queue and preview panes,staff; hub; support; pharmacy,ProjectionQueryContract; ClientCachePolicy; QueueChangeBatch,typed query client,memory_with_focused_queue_position_retention,none,workspace_projection_live_cursor,queue preview can warm but not reorder truth,lease and settlement deltas patch the active row in place,bufferable deltas respect queue focus and trust envelope,queue placeholder or read_only while trust drift remains open,Silent resort is forbidden while a selected task or queue position is active.,phase-0-the-foundation-protocol.md#1.11 QueueChangeBatch; staff-workspace-interface-architecture.md#Design language: Quiet Clinical Mission Control
STATE_WORKSPACE_TASK,server_query_cache,"workspace child routes, decision stages, and support regions",staff; hub; support; pharmacy,ProjectionQueryContract; LiveUpdateChannelContract; WorkspaceTrustEnvelope,typed query client plus shell reducer,memory,none,task_projection_exact_plus_buffered_delta_window,local draft or compose acknowledgement only,settlement and blocker changes patch the existing task plane,focus-safe delta batching; no scroll or focus theft,read_only or compare_fallback in the same shell,Protected task review remains the same shell even during more-info or approval transitions.,platform-frontend-blueprint.md#3. Non-negotiable invariants; staff-workspace-interface-architecture.md#Accessibility and keyboard model
STATE_OPERATIONS_BOARD,server_query_cache,operations board overview and drilldown,operations,ProjectionQueryContract; VisualizationParityProjection; ClientCachePolicy,typed query client,memory_with_drilldown_anchor_retention,none,ops_board_hot_projection_cache,intervention intent badge only,authoritative ops settlement upgrades dominant anomaly posture,prominence and health overlays patch in place with table parity,table_first or diagnostic_only when parity or trust drifts,Charts or heat surfaces never outrun their adjacent table authority.,operations-console-frontend-blueprint.md#4. Surface composition; platform-frontend-blueprint.md#7.8 Verification and Playwright contract
STATE_GOVERNANCE_QUERY,server_query_cache,"governance change review, release watch, and approval evidence",governance,ProjectionQueryContract; AudienceSurfaceRuntimeBinding; ReleaseWatchTuple,typed query client,memory_with_scope_tuple_guard,none,governance_scope_tuple_cache,draft save and compile acceptance remain distinct,approval or promotion settlement upgrades the existing ChangeEnvelope,"watch tuple, parity, and recovery posture patch under the ScopeRibbon",handoff_only or read_only while tuple freshness is stale,ScopeRibbon and status strip remain the only sticky shell header stack.,governance-admin-console-frontend-blueprint.md#2. ScopeRibbon; governance-admin-console-frontend-blueprint.md#7. ChangeEnvelope
STATE_MUTATION_ACK,mutation_ack,all writable routes,patient; staff; operations; governance; hub; pharmacy; support,MutationCommandContract; TransitionEnvelope; CommandSettlementRecord,typed mutation client,memory,none,mutation_local_ack_transient_only,accepted or processing language only,projection or settlement channel resolves final visible outcome,"mutation channel listens for settlement, blocker, recovery, or resend state",read_only with preserved summary if settlement chain is stale,No detached success page or optimistic terminal success is allowed.,"platform-runtime-and-release-blueprint.md#MutationCommandContract; forensic-audit-findings.md#Finding 101 - Same-shell confirmation still understated settlement, return, and continuation posture"
STATE_LIVE_CHANNELS,live_channel,"shell freshness, thread deltas, queue deltas, board health, release watch",patient; staff; operations; governance,LiveUpdateChannelContract; FreshnessChip; AmbientStateRibbon,typed live-channel client,ephemeral connection plus resumable cursor,sessionStorage_for_resume_cursor_only,live_delta_resume_cursor,none,channel is advisory until the projection or settlement row lands,"buffered for protected tasks, immediate for non-bufferable blockers",status strip changes to stale or paused in place,Channels update freshness and trust together; they may not imply final business truth by transport receipt alone.,phase-0-the-foundation-protocol.md#1.6 AmbientStateRibbon; phase-0-the-foundation-protocol.md#1.7 FreshnessChip
STATE_ROUTE_RECOVERY,recovery_posture,"secure-link recovery, support replay, embedded fallback, route freezes",patient; support; governance,RouteFreezeDisposition; ReleaseRecoveryDisposition; AudienceSurfaceRuntimeBinding,runtime binding guard,memory,none,recovery_surfaces_never_cache_writable,none,binding must re-enter publishable_live before writable posture returns,live tuple rechecks can upgrade or downgrade without navigation,"placeholder, masked observe-only, or recovery-only in the same shell","Closes the fragmented degraded-mode gap across entry, section, recovery, embedded, and artifact routes.","forensic-audit-findings.md#Finding 120 - Patient-facing degraded mode could still fragment across entry, section, recovery, embedded, and artifact shells; platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding"
STATE_DESIGN_CONTRACT,design_contract_digest,every live route root,patient; staff; operations; governance; hub; pharmacy; support,DesignContractPublicationBundle; DesignContractLintVerdict; ProfileSelectionResolution,generated design-contract bindings,route-root attribute only,none,design_bundle_must_match_runtime_tuple,none,bundle mismatch downgrades the surface in place,publication digest changes require shell rebind before writability resumes,preserved_summary or recovery_only,"Prevents token, marker, accessibility, and telemetry drift from escaping runtime publication.",platform-frontend-blueprint.md#2.15B DesignContractRegistry; forensic-audit-findings.md#Finding 118 - Token export and design-contract conformance could still drift outside the published runtime tuple
