evidence_id,capability_family_id,capability_label,evidence_kind,artifact_class,source_task_ref,machine_state,artifact_ref,summary
EVID_169_001,public_intake_contract_question_flow,Public intake contract and question flow,implementation,contract,seq_139,current,data/contracts/139_intake_draft_view.schema.json,Draft view schema is present
EVID_169_002,public_intake_contract_question_flow,Public intake contract and question flow,implementation,contract,seq_140,current,data/contracts/140_request_type_taxonomy.json,Request type taxonomy is frozen
EVID_169_003,public_intake_contract_question_flow,Public intake contract and question flow,automated_proof,playwright,seq_156,machine_verified,tests/playwright/156_request_type_selection_and_progressive_question_flow.spec.js,Progressive question flow has browser proof
EVID_169_004,public_intake_contract_question_flow,Public intake contract and question flow,suite_binding,verification_suite,seq_164,passed,data/analysis/164_phase1_endpoint_to_surface_binding_matrix.csv,Endpoint to surface binding is verified
EVID_169_005,autosave_lease_resume_substrate,Autosave lease and resume substrate,implementation,matrix,par_144,current,data/analysis/144_draft_autosave_state_matrix.csv,Autosave states are machine-readable
EVID_169_006,autosave_lease_resume_substrate,Autosave lease and resume substrate,implementation,browser_surface,par_157,current,docs/frontend/157_autosave_status_strip_gallery.html,Quiet autosave surface exists
EVID_169_007,autosave_lease_resume_substrate,Autosave lease and resume substrate,automated_proof,validator,par_144,machine_verified,tools/analysis/validate_draft_autosave_backend.py,Autosave backend validator exists
EVID_169_008,autosave_lease_resume_substrate,Autosave lease and resume substrate,suite_binding,verification_suite,seq_168,passed,data/performance/168_suite_results.json,Autosave burst posture is bounded
EVID_169_009,attachment_quarantine_evidence_classification,Attachment quarantine and evidence classification,implementation,contract,seq_141,current,data/contracts/141_attachment_acceptance_policy.json,Attachment policy exists
EVID_169_010,attachment_quarantine_evidence_classification,Attachment quarantine and evidence classification,implementation,matrix,par_146,current,data/analysis/146_attachment_state_matrix.csv,Attachment pipeline states are explicit
EVID_169_011,attachment_quarantine_evidence_classification,Attachment quarantine and evidence classification,automated_proof,service_test,seq_165,machine_verified,services/command-api/tests/165_red_flag_and_upload_suite.integration.test.js,Upload suite service proof exists
EVID_169_012,attachment_quarantine_evidence_classification,Attachment quarantine and evidence classification,suite_binding,verification_suite,seq_165,passed,data/test/165_suite_results.json,Red flag upload suite passed
EVID_169_013,immutable_promotion_and_normalization,Immutable promotion and normalization,implementation,contract,par_148,current,data/contracts/148_intake_submit_settlement_contract.json,Submit settlement contract exists
EVID_169_014,immutable_promotion_and_normalization,Immutable promotion and normalization,implementation,matrix,par_149,current,data/analysis/149_request_type_normalization_matrix.csv,Normalization matrix exists
EVID_169_015,immutable_promotion_and_normalization,Immutable promotion and normalization,automated_proof,service_test,seq_166,machine_verified,services/command-api/tests/166_replay_collision_suite.integration.test.js,Replay collision service proof exists
EVID_169_016,immutable_promotion_and_normalization,Immutable promotion and normalization,suite_binding,verification_suite,seq_166,passed,data/test/166_expected_idempotency_and_side_effect_counts.json,Exact-once side-effect counts passed
EVID_169_017,synchronous_safety_urgent_diversion,Synchronous safety and urgent diversion,implementation,contract,seq_142,current,data/contracts/142_red_flag_decision_tables.yaml,Red flag decision tables exist
EVID_169_018,synchronous_safety_urgent_diversion,Synchronous safety and urgent diversion,implementation,contract,par_150,current,data/contracts/150_safety_rule_pack_registry.json,Safety rule pack registry exists
EVID_169_019,synchronous_safety_urgent_diversion,Synchronous safety and urgent diversion,automated_proof,cases,seq_165,machine_verified,data/test/165_red_flag_decision_cases.csv,Red flag decision cases exist
EVID_169_020,synchronous_safety_urgent_diversion,Synchronous safety and urgent diversion,suite_binding,playwright,seq_165,passed,tests/playwright/165_red_flag_and_upload_lab.spec.js,Red flag browser proof exists
EVID_169_021,triage_receipt_eta_tracking,Triage receipt ETA and minimal tracking,implementation,matrix,par_152,current,data/analysis/152_status_mapping_matrix.csv,Status mapping matrix exists
EVID_169_022,triage_receipt_eta_tracking,Triage receipt ETA and minimal tracking,implementation,matrix,par_161,current,data/analysis/161_receipt_eta_state_matrix.csv,Receipt ETA state matrix exists
EVID_169_023,triage_receipt_eta_tracking,Triage receipt ETA and minimal tracking,automated_proof,playwright,par_162,machine_verified,tests/playwright/162_minimal_track_my_request_page.spec.js,Minimal tracking browser proof exists
EVID_169_024,triage_receipt_eta_tracking,Triage receipt ETA and minimal tracking,suite_binding,service_test,seq_164,passed,services/api-gateway/tests/phase1-integrated-intake.integration.test.js,Integrated intake service proof exists
EVID_169_025,confirmation_notification_truth,Confirmation and notification truth,implementation,contract,par_153,current,data/contracts/153_confirmation_dispatch_contract.json,Confirmation dispatch contract exists
EVID_169_026,confirmation_notification_truth,Confirmation and notification truth,implementation,matrix,par_159,current,data/analysis/159_confirmation_copy_truth_table.csv,Confirmation copy truth table exists
EVID_169_027,confirmation_notification_truth,Confirmation and notification truth,automated_proof,service_test,seq_164,machine_verified,services/api-gateway/tests/phase1-integrated-intake.integration.test.js,Notification chain service proof exists
EVID_169_028,confirmation_notification_truth,Confirmation and notification truth,suite_binding,verification_suite,seq_168,passed,data/performance/168_suite_results.json,Notification delay resilience proof passed
EVID_169_029,stale_token_post_promotion_recovery,Stale token and post-promotion recovery,implementation,contract,par_154,current,data/contracts/154_resume_blocking_and_recovery_contract.json,Resume blocking contract exists
EVID_169_030,stale_token_post_promotion_recovery,Stale token and post-promotion recovery,implementation,matrix,par_163,current,data/analysis/163_access_posture_matrix.csv,Access posture matrix exists
EVID_169_031,stale_token_post_promotion_recovery,Stale token and post-promotion recovery,automated_proof,service_test,seq_166,machine_verified,services/command-api/tests/166_replay_collision_suite.integration.test.js,Stale promotion proof exists
EVID_169_032,stale_token_post_promotion_recovery,Stale token and post-promotion recovery,suite_binding,verification_suite,seq_166,passed,data/test/166_expected_idempotency_and_side_effect_counts.json,No mutable reopen invariant passed
EVID_169_033,browser_continuity_accessibility_reduced_motion,Browser continuity accessibility and reduced motion,implementation,browser_surface,seq_167,current,docs/tests/167_phase1_regression_atlas.html,Regression atlas exists
EVID_169_034,browser_continuity_accessibility_reduced_motion,Browser continuity accessibility and reduced motion,implementation,matrix,seq_167,current,data/test/167_accessibility_assertion_matrix.csv,Accessibility matrix exists
