state_id,phase,trigger,case_state,freeze_state,branch_type,branch_state,required_disposition,projection_mode,release_mode,gap_closure,control_summary
IR182_SIGNAL_SUSPICION,signal_intake,patient_report,opened,pending,request_shell,pending_freeze,revalidate_under_new_binding,recovery_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_SIGNAL_CONVERGENCE_V1,IdentityRepairSignal append opens or reuses one active IdentityRepairCase per frozen binding
IR182_SIGNAL_REPLAY,signal_intake,audit_replay,opened,pending,request_shell,pending_freeze,revalidate_under_new_binding,recovery_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_SIGNAL_CONVERGENCE_V1,Duplicate idempotency key or signal digest returns the first signal and case
IR182_FREEZE,freeze_commit,confirmed_misbinding,downstream_quarantined,active,request_shell,quarantined,revalidate_under_new_binding,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_FREEZE_FIRST_V1,Freeze advances lineage fence issuedFor identity_repair and blocks stale sessions grants and route intents
IR182_REQUEST_SHELL_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,request_shell,quarantined,revalidate_under_new_binding,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Request shell cannot resume until revalidated under corrected binding
IR182_EPISODE_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,episode_state,rebuild_required,rebuild_required,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Wrong-patient correction is not a request state or Episode.state mutation
IR182_CONVERSATION_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,conversation_callback,manual_review_only,manual_review_only,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Callbacks and conversations stay manual review only until release
IR182_EXTERNAL_DELIVERY_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,external_message_delivery,compensation_pending,compensate_external,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,External wrong-patient delivery requires compensation before release
IR182_FILE_ARTIFACT_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,file_artifact_visibility,suppressed,suppress_visibility,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_HOLD_PROJECTION_V1,File and artifact visibility suppresses stale PHI details
IR182_SUPPORT_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,support_workspace_continuity,manual_review_only,manual_review_only,read_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Support workspace remains read-only and manual review only
IR182_TELEPHONY_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,telephony_continuation,quarantined,revalidate_under_new_binding,recovery_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Seeded telephony links are quarantined and revalidated
IR182_ANALYTICS_BRANCH,branch_inventory,freeze_committed,downstream_quarantined,active,analytics_event_branch,already_safe,already_safe,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Analytics branches are marked already_safe only when no patient-visible authority remains
IR182_AUTHORITY_CORRECTION,correction,dual_review,corrected,active,episode_state,rebuilt,rebuild_required,summary_only,,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_AUTHORITY_CORRECTION_V1,IdentityBindingAuthority applies correction_applied or revoked after supervisor and independent review
IR182_RELEASE_READ_ONLY,release,branches_safe,closed,released,request_shell,released,revalidate_under_new_binding,read_only,read_only_resume,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_RELEASE_SETTLEMENT_V1,Release settlement permits fresh read-only grants and route intents only after repair closure
IR182_RELEASE_CLAIM_PENDING,release,branches_safe,closed,released,request_shell,released,revalidate_under_new_binding,read_only,claim_pending_resume,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_RELEASE_SETTLEMENT_V1,Release settlement permits fresh claim-pending session posture
IR182_RELEASE_WRITABLE,release,branches_safe,closed,released,request_shell,released,revalidate_under_new_binding,read_only,writable_resume,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_RELEASE_SETTLEMENT_V1,Release settlement permits writable authority only after rebuild and branch closure
IR182_RELEASE_COMPENSATED,release,external_compensated,closed,released,external_message_delivery,compensated,compensate_external,read_only,read_only_resume,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,External wrong-patient delivery has a compensation reference before release
IR182_RELEASE_SUPPRESSED,release,artifact_suppressed,closed,released,file_artifact_visibility,terminal_suppressed,suppress_visibility,read_only,manual_follow_up_only,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_BRANCH_DISPOSITION_V1,Stale artifact visibility is terminally suppressed before release
IR182_RELEASE_MANUAL_ONLY,release,branches_safe,closed,released,support_workspace_continuity,manual_review_closed,manual_review_only,recovery_only,manual_follow_up_only,PARALLEL_INTERFACE_GAP_PHASE2_IDENTITY_REPAIR_RELEASE_SETTLEMENT_V1,Release settlement keeps recovery manual follow-up only without fresh self-service authority
