integration_id,integration_family,integration_name,source_dependency_ids,source_dependency_names,baseline_role,authoritative_truth_class,patient_safety_impact,control_plane_impact,lineage_or_closure_dependency,channel_dependency_classes,bounded_context_refs,current_mock_feasibility,live_onboarding_latency_band,sponsor_or_assurance_gate,recommended_lane,why_mock_now,why_actual_later,minimum_mock_fidelity,minimum_live_readiness_conditions,later_task_refs,risk_refs,notes,source_refs,watch_lifecycle_states,phase0_blocker_refs,mock_placeholder_only,failure_injection_expectations,cannot_be_authoritative,mock_now_execution_score,mock_now_execution_rank,actual_provider_strategy_later_score,actual_provider_strategy_later_rank,rank_delta_live_minus_mock,quadrant_live_acquisition_friction,quadrant_mvp_control_plane_necessity,patient_safety_consequence,canonical_truth_effect,patient_visible_continuity,operator_truth_supportability,mockability_quality,live_acquisition_latency,approval_burden,security_privacy_burden,coupling_risk_if_delayed,readiness_value_unlocked,proof_rigor_demand
int_identity_nhs_login_core,identity_auth,NHS login core identity rail,"[""dep_nhs_login_rail""]","[""NHS login authentication rail""]",baseline_required,identity_session_and_writable_authority,high,critical,direct,"[""browser_web"", ""secure_link_continuation"", ""support_recovery""]","[""identity_access"", ""patient_portal"", ""support_recovery""]",high,contract_heavy,required,hybrid_mock_then_live,"Phase 2 cannot defer auth transactions, route-intent binding, subject mismatch handling, or read-only versus writable recovery states until the partner onboarding completes.","Current-baseline authenticated and recovery-grade patient authority still depends on real redirect inventory, partner approval, and live session proof before the rail is admissible.","Simulate frozen authorize and callback scope bundles, state or nonce or PKCE fences, consent decline, insufficient assurance, subject mismatch, callback replay, auth_read_only, claim_pending, writable, and bounded recovery. Mock callback arrival must never equal writable authority.","[""seq_022 scorecard freezes redirect, scope, and evidence rules for the rail"", ""seq_023 secret ownership and vault-ingest posture is published for client identifiers and signing material"", ""seq_024 and seq_025 capture partner access requests plus environment-specific redirect inventory"", ""GATE_EXTERNAL_TO_FOUNDATION remains blocked until live onboarding proof is current for the active environment""]","[""seq_022"", ""seq_023"", ""seq_024"", ""seq_025"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""RISK_EXT_NHS_LOGIN_DELAY"", ""RISK_MUTATION_003"", ""RISK_RUNTIME_001"", ""HZ_WRONG_PATIENT_BINDING"", ""RISK_MUTATION_002"", ""RISK_STATE_001""]","Core identity rail. Do not let callback success, subject claims, or token exchange stand in for SessionEstablishmentDecision plus RouteIntentBinding and current IdentityBinding.","[""blueprint/phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_nhs_login_rail"", ""data/analysis/phase0_gate_verdict.json#GATE_P0_FOUNDATION_ENTRY"", ""phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""platform-runtime-and-release-blueprint.md#AdapterContractProfile""]","[""onboarding""]","[""BLOCKER_P0_EXT_GATE_BLOCKED"", ""BLOCKER_P0_IDENTITY_AND_WRONG_PATIENT_PROOF""]","[""branding chrome"", ""non-authoritative copy polish""]","[""duplicate callback replay"", ""expired auth transaction"", ""consent declined"", ""subject mismatch against secure-link or draft continuation"", ""auth success without writable authority""]","[""raw callback arrival"", ""token exchange success without session establishment"", ""subject claim without current binding and route authority""]",251,2,253,2,0,89,93,4,5,5,4,4,5,5,5,5,5,5
int_identity_pds_optional_enrichment,patient_data_enrichment,Optional PDS enrichment seam,"[""dep_pds_fhir_enrichment""]","[""Optional PDS enrichment seam""]",optional_flagged,supporting_demographic_enrichment_only,medium,medium,indirect,"[""browser_web"", ""support_recovery"", ""governance_review""]","[""identity_access"", ""governance"", ""support_operations""]",high,contract_heavy,required,actual_later,Only a thin no-op or fixture seam is required now so the identity model proves PDS is optional and cannot silently become the baseline truth source.,"PDS access carries legal-basis, approval, and feature-flag prerequisites and remains a later enrichment strategy rather than a current-baseline blocker.","Model enrichment absent, enrichment available, partial demographic corroboration, and enrichment rejected without letting the seam widen identity authority or hide local matching uncertainty.","[""seq_027 produces the optional sandbox and feature-flag plan"", ""seq_040 freezes the no-PDS degraded default and no-authority-escalation law"", ""Any tenant rollout remains behind explicit legal-basis and governance approval""]","[""seq_022"", ""seq_023"", ""seq_027"", ""seq_040""]","[""RISK_STATE_004""]","Do not rank PDS above NHS login. The seam may enrich matching confidence later, but it does not replace append-only binding law or become a shortcut for ownership claims.","[""blueprint/phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment"", ""blueprint/blueprint-init.md#10. Identity, consent, security, and policy"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_pds_fhir_enrichment"", ""phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment"", ""blueprint-init.md#10. Identity, consent, security, and policy"", ""phase-cards.md#Phase 2 - Identity and Echoes""]","[""replaceable_by_simulator""]",[],"[""real demographics"", ""real organisation identifiers"", ""tenant rollout cohorts""]","[""PDS unavailable"", ""partial enrichment only"", ""enrichment contradicts local match candidate""]","[""standalone PDS record lookup"", ""PDS response without local binding review""]",115,15,122,14,-1,69,30,2,1,1,2,5,4,4,4,2,1,1
int_telephony_capture_evidence_backplane,telephony_evidence,"Telephony capture, transcript, and artifact-safety backplane","[""dep_telephony_ivr_recording_provider"", ""dep_transcription_processing_provider"", ""dep_malware_scanning_provider""]","[""Telephony, IVR, and call-recording provider"", ""Transcript and derived-facts processing provider"", ""Malware and artifact scanning provider""]",baseline_mock_required,call_session_and_evidence_readiness,critical,high,direct,"[""telephony_ivr"", ""callback_recovery"", ""browser_web"", ""support_operations""]","[""telephony"", ""evidence_classification"", ""artifact_quarantine"", ""identity_access""]",medium,long,required,mock_now,"Telephony parity is baseline law and the product cannot wait for live carrier, recording, transcript, or scanning accounts before it proves IVR choreography, evidence readiness, and urgent fallback states.","Live numbers, recording retention, transcript handling, and scanner placement all carry contract, privacy, and safety review before they become production truth.","Simulate call-session creation, IVR branch capture, webhook retries, recording present or missing, transcript usable versus unusable, artifact quarantine, safety-usable versus manual-review states, callback or secure-link fallback, and urgent escalation. Answered call or file stored may not imply clinically usable evidence or completed contact.","[""seq_031, seq_032, seq_034, and seq_035 complete the vendor selection and account-setup path"", ""seq_023 publishes secret ownership for account tokens, webhooks, phone numbers, and project identifiers"", ""seq_039 freezes manual checkpoints for recording, transcript, and quarantine failure"", ""seq_040 freezes degraded defaults so telephony never settles routine truth from weak evidence""]","[""seq_022"", ""seq_023"", ""seq_031"", ""seq_032"", ""seq_034"", ""seq_035"", ""seq_038"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""RISK_EXT_COMMS_VENDOR_DELAY"", ""RISK_MUTATION_003"", ""RISK_STATE_004"", ""RISK_MUTATION_001""]","Treat telephony capture as a proof-bearing evidence lane, not as a commodity voice API. Transcript completion alone is never enough; the readiness assessment stays authoritative.","[""blueprint/phase-2-identity-and-echoes.md#2E. Telephony edge, IVR choreography, and call-session persistence"", ""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""blueprint/forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_telephony_ivr_recording_provider"", ""phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Callback domain"", ""forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"", ""phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review""]","[""onboarding""]","[""BLOCKER_P0_TELEPHONY_AND_MESH_READINESS""]","[""carrier branding"", ""real caller IDs"", ""real audio content""]","[""recording missing"", ""transcript unsafe or incomplete"", ""scanner timeout"", ""duplicate telephony webhook"", ""urgent escalation during capture""]","[""call answered event"", ""file upload acknowledgement"", ""draft transcript before readiness assessment""]",240,5,243,4,-1,80,90,5,4,4,5,3,4,4,5,5,5,5
int_sms_continuation_delivery,notification_sms,SMS continuation delivery rail,"[""dep_sms_notification_provider""]","[""SMS delivery provider""]",optional_flagged,delivery_for_seeded_or_challenge_continuation,medium,medium,indirect,"[""sms_secure_link_continuation"", ""telephony_ivr"", ""patient_portal""]","[""telephony"", ""patient_communications"", ""callback_messaging""]",high,medium,likely,actual_later,"The internal continuation contract still needs a thin simulator so seeded versus challenge flows, delivery delay, and wrong-recipient safeguards are tested without making SMS a baseline dependency.",SMS remains optional-flagged. Live sender registration and wrong-recipient governance should trail the current MVP proof and never outrank the core identity or booking truth seams.,"Simulate queued, delayed, bounced, and expired deliveries, seeded versus challenge continuation, and grant issuance without letting provider acceptance imply grant redemption or verified reachability.","[""seq_031 and seq_033 freeze the vendor path and sender ownership model"", ""seq_039 captures wrong-recipient and reissue checkpoints"", ""seq_040 freezes the default fallback away from SMS when the route or grant is stale""]","[""seq_022"", ""seq_031"", ""seq_033"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""RISK_EXT_COMMS_VENDOR_DELAY"", ""HZ_WRONG_PATIENT_BINDING""]","Optional flagged only. SMS delivery is external; continuation grants, route authority, and claim law remain internal and must continue to work without live SMS.","[""blueprint/phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_sms_notification_provider"", ""data/analysis/future_browser_automation_backlog.csv#dep_sms_notification_provider_seq_033"", ""phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation"", ""callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model"", ""phase-0-the-foundation-protocol.md#Command and adapter effect ledger""]","[""replaceable_by_simulator""]","[""BLOCKER_P0_TELEPHONY_AND_MESH_READINESS""]","[""real sender IDs"", ""real recipients""]","[""delayed send"", ""wrong recipient suspicion"", ""expired secure link""]","[""provider accepted send"", ""message queued""]",164,11,156,11,0,56,52,3,2,4,3,5,3,3,4,3,3,2
int_email_notification_delivery,notification_email,Email and secure-link notification rail,"[""dep_email_notification_provider""]","[""Email and notification delivery provider""]",baseline_mock_required,communication_delivery_evidence,medium,high,indirect,"[""browser_web"", ""outbound_notification_delivery"", ""support_operations""]","[""patient_communications"", ""callback_messaging"", ""support_operations""]",high,medium,likely,mock_now,"Receipts, secure-link recovery, and callback or message reassurance need realistic delivery evidence and bounce semantics before a live notification vendor is onboarded.","Live sender-domain verification, webhook ownership, and delivery evidence still need later onboarding before the system can promote calm patient or staff reassurance from a real provider.","Simulate accepted, queued, delivered, bounced, disputed, and expired delivery chains and keep those states separate from current CommunicationEnvelope truth or secure-link authority.","[""seq_031 and seq_033 complete vendor selection and sender-domain setup"", ""seq_023 publishes secret and webhook ownership"", ""seq_039 and seq_040 freeze resend, callback, and support-repair fallbacks for disputed delivery""]","[""seq_022"", ""seq_023"", ""seq_031"", ""seq_033"", ""seq_038"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""RISK_EXT_COMMS_VENDOR_DELAY"", ""HZ_WRONG_PATIENT_BINDING""]","Do not let notification acceptance outrank booking, hub, or pharmacy truth. Delivery evidence informs communication posture only; it does not settle operational truth on its own.","[""blueprint/callback-and-clinician-messaging-loop.md#Clinician message domain"", ""blueprint/phase-5-the-network-horizon.md#Reminder and communication publication"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_email_notification_provider"", ""callback-and-clinician-messaging-loop.md#Clinician message domain"", ""phase-5-the-network-horizon.md#Reminder and communication publication"", ""phase-0-the-foundation-protocol.md#Command and adapter effect ledger""]","[""onboarding""]","[""BLOCKER_P0_TELEPHONY_AND_MESH_READINESS""]","[""real domains"", ""real recipient inboxes""]","[""queued but not delivered"", ""bounce or suppression"", ""delivery disputed after patient action""]","[""API send acceptance"", ""SMTP accepted response""]",177,10,167,10,0,56,61,3,2,4,4,5,3,3,4,3,4,2
int_im1_pairing_and_capability_prereq,gp_system_pairing,IM1 pairing and capability-governance prerequisite seam,"[""dep_im1_pairing_programme""]","[""IM1 Pairing programme and prerequisite path""]",baseline_required,supplier_access_prerequisite_and_capability_evidence,medium,high,indirect,"[""staff_workspace"", ""booking_internal"", ""assurance_review""]","[""booking"", ""identity_access"", ""assurance""]",medium,contract_heavy,required,hybrid_mock_then_live,The programme needs a governed capability-matrix seam and explicit blocked states now so booking and identity work stay decoupled from live supplier pairing while the long-lead onboarding runs.,"IM1 and SCAL readiness are still required before live supplier capability claims are admissible for booking reach, but the corpus explicitly keeps this out of the Phase 2 identity critical path.","Simulate unsupported, supported-test-only, linkage-required, and blocked capability rows plus pairing-pack freshness states. The mock may not claim live supplier reach or patient-facing capability proof.","[""seq_026 completes prerequisite forms and SCAL artifact tracking"", ""seq_036 captures provider-path evidence against the frozen capability scorecards"", ""seq_039 and seq_040 freeze manual checkpoints and degraded booking defaults while supplier access is partial""]","[""seq_022"", ""seq_023"", ""seq_026"", ""seq_036"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_DUPLICATE_SUPPRESSION_OR_MERGE"", ""HZ_URGENT_DIVERSION_UNDER_OR_OVER_TRIAGE"", ""RISK_EXT_IM1_SCAL_DELAY"", ""RISK_MUTATION_003"", ""RISK_RUNTIME_001"", ""HZ_WRONG_PATIENT_BINDING"", ""RISK_MUTATION_002""]",Long-lead baseline dependency. Keep IM1 out of the Phase 2 identity critical path even while starting the pairing programme early for later booking reach.,"[""blueprint/phase-2-identity-and-echoes.md#Rule 5: keep IM1 out of the critical path for this phase"", ""blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_im1_pairing_programme"", ""phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam"", ""phase-4-the-booking-engine.md#4E Commit path"", ""blueprint-init.md#1. Product definition""]","[""onboarding""]","[""BLOCKER_P0_EXT_GATE_BLOCKED"", ""BLOCKER_P0_IDENTITY_AND_WRONG_PATIENT_PROOF""]","[""real supplier credentials"", ""live pairing approvals""]","[""supported test only"", ""pairing evidence stale"", ""supplier path missing for selected capability""]","[""supplier docs alone"", ""pairing application submitted""]",194,8,210,8,0,89,61,2,3,2,4,3,5,5,4,5,5,3
int_local_booking_provider_truth,booking_provider_truth,Local booking provider capability and confirmation-truth seam,"[""dep_gp_system_supplier_paths"", ""dep_local_booking_supplier_adapters""]","[""Principal GP-system supplier integration paths"", ""Local booking supplier adapter family""]",baseline_mock_required,booking_confirmation_truth_projection,high,critical,direct,"[""patient_portal"", ""staff_workspace"", ""booking_internal""]","[""booking"", ""patient_portal"", ""staff_operations""]",medium,contract_heavy,required,mock_now,"Booking revalidation, confirmation ambiguity, waitlist fallback, and manage-freeze rules must be proven behind a simulator before any supplier path, pairing, or portal credential becomes current.","Live patient-facing booking still needs provider-path evidence, pairing readiness, and exact confirmation proof before it can move beyond simulator-backed development.","Simulate slot search snapshots, capability resolution, held versus non-exclusive reservation truth, revalidation failure, confirmation_pending, disputed callbacks, same-commit read-after-write proof, manage freeze, waitlist fallback, and wrong-patient freeze. Queue or webhook acceptance may not imply booked truth.","[""seq_036 publishes provider sandbox paths and booking capability evidence"", ""seq_038 builds the local adapter simulator backlog for unsupported or manual supplier paths"", ""seq_039 and seq_040 freeze manual confirmation checkpoints and degraded-mode defaults""]","[""seq_022"", ""seq_026"", ""seq_036"", ""seq_038"", ""seq_039"", ""seq_040""]","[""RISK_EXT_IM1_SCAL_DELAY"", ""RISK_BOOKING_002"", ""RISK_PHARMACY_001"", ""RISK_RUNTIME_001"", ""RISK_RECOVERY_001"", ""RISK_BOOKING_001"", ""RISK_EXT_BOOKING_PROVIDER_GAP"", ""RISK_OWNERSHIP_003""]","Proof-bearing family. Confirmation truth must stay distinct from acceptance, queueing, or webhook arrival.","[""blueprint/phase-4-the-booking-engine.md#4B. Provider capability matrix and adapter seam"", ""blueprint/phase-4-the-booking-engine.md#4C. Slot search, normalisation, and availability snapshots"", ""blueprint/phase-4-the-booking-engine.md#4E. Commit path, revalidation, booking record, and compensation"", ""blueprint/forensic-audit-findings.md#Finding 72 - The booking commit path did not bind ambiguous supplier truth to canonical confirmation gates strongly enough"", ""phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam"", ""phase-4-the-booking-engine.md#4C Slot search"", ""phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation"", ""phase-4-the-booking-engine.md#4E Commit path"", ""phase-4-the-booking-engine.md#4F Manage flows""]","[""onboarding""]",[],"[""supplier branding"", ""practice-specific routing labels""]","[""supplier accepted but not confirmed"", ""read-after-write mismatch"", ""stale provider binding"", ""slot revalidation failure"", ""waitlist fallback required""]","[""slot shown in UI"", ""provider accepted for processing"", ""callback arrival without confirmation truth""]",246,3,249,3,0,82,93,4,5,5,5,3,5,4,4,5,5,5
int_network_capacity_and_practice_ack,hub_capacity_and_ack,Network capacity and practice-acknowledgement seam,"[""dep_network_capacity_partner_feeds"", ""dep_origin_practice_ack_rail""]","[""Network and hub partner capacity feeds"", ""Origin-practice acknowledgement rail""]",baseline_mock_required,trusted_offerable_capacity_and_practice_visibility_debt,high,high,direct,"[""hub_console"", ""operations_console"", ""practice_visibility""]","[""hub_coordination"", ""operations"", ""practice_visibility""]",medium,long,likely,mock_now,"Hub choice, callback fallback, practice visibility debt, and acknowledgement overdue states must be available to product and platform teams before real partner feeds or practice routes exist.",Live partner feeds and practice acknowledgements still need data-sharing and trust review before they can drive patient-visible offers or closable hub outcomes.,"Simulate trusted versus stale capacity snapshots, callback fallback, return-to-practice, acknowledgement generations, overdue practice debt, and supplier drift without letting stale feeds or missing ack clear the case.","[""seq_036 identifies real partner-path evidence relevant to hub booking"", ""seq_038 and seq_039 freeze simulator scope and manual acknowledgement checkpoints"", ""seq_040 freezes callback and return-to-practice defaults when source freshness or practice ack is degraded""]","[""seq_022"", ""seq_036"", ""seq_038"", ""seq_039"", ""seq_040""]","[""RISK_BOOKING_002"", ""RISK_RECOVERY_001"", ""RISK_BOOKING_001"", ""RISK_EXT_BOOKING_PROVIDER_GAP"", ""RISK_OWNERSHIP_003""]",Hub flows must stay subordinate to trusted_offerable capacity and current-generation practice visibility debt.,"[""blueprint/phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion"", ""blueprint/phase-5-the-network-horizon.md#5F. Native hub booking commit, practice continuity, and cross-org messaging"", ""blueprint/phase-5-the-network-horizon.md#5G. No-slot handling, urgent bounce-back, callback fallback, and reopen mechanics"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_network_capacity_partner_feeds"", ""phase-5-the-network-horizon.md#5C. Enhanced Access policy engine and network capacity ingestion"", ""phase-5-the-network-horizon.md#Network coordination contract, case model, and state machine"", ""phase-9-the-assurance-ledger.md#9B. Essential-functions health, queues, and assurance operations boards"", ""phase-5-the-network-horizon.md#PracticeAcknowledgementRecord"", ""phase-5-the-network-horizon.md#Hub commit algorithm"", ""phase-5-the-network-horizon.md#Manage, reminders, and practice visibility after hub booking""]","[""onboarding""]",[],"[""real practice names"", ""real site addresses""]","[""stale feed"", ""practice acknowledgement overdue"", ""offer invalidated after patient selection"", ""return to practice reopened""]","[""spreadsheet-style partner feed import"", ""booked hub state without current ack generation""]",218,6,219,7,1,72,86,4,4,5,5,3,4,4,3,4,4,4
int_cross_org_secure_messaging,cross_org_messaging,Cross-organisation secure messaging and MESH seam,"[""dep_cross_org_secure_messaging_mesh""]","[""Cross-organisation secure messaging rail including MESH""]",baseline_mock_required,proof_bearing_transport_chain,medium,high,direct,"[""hub_console"", ""pharmacy_console"", ""practice_visibility""]","[""hub_coordination"", ""pharmacy"", ""support_operations""]",medium,contract_heavy,required,hybrid_mock_then_live,"Hub, practice, and pharmacy message flows need replay-safe transport proof, ambiguity, and escalation behavior now even though live mailbox or certificate onboarding will lag.","Real mailboxes, certificates, minimum-necessary payload review, and cross-org approvals are later work that should start early but must not stall simulator-backed implementation.","Simulate ordered outbox dispatch, queue acceptance, mailbox receipt, duplicate or reordered callbacks, disputed delivery, proof upgrades, and escalation routes. Transport acceptance alone may never settle hub or pharmacy truth, and the mock must preserve explicit proof versus ambiguity states for every effect chain.","[""seq_028 completes mailbox or route access requests"", ""seq_023 publishes certificate and endpoint secret ownership"", ""seq_039 and seq_040 freeze manual checkpoints and fallback routes for disputed or weak transport proof""]","[""seq_022"", ""seq_023"", ""seq_028"", ""seq_038"", ""seq_039"", ""seq_040""]","[""HZ_TELEPHONY_EVIDENCE_INADEQUACY"", ""HZ_DUPLICATE_SUPPRESSION_OR_MERGE"", ""RISK_BOOKING_002"", ""HZ_WRONG_PATIENT_BINDING"", ""RISK_RECOVERY_001"", ""RISK_BOOKING_001"", ""RISK_EXT_MESH_DELAY"", ""RISK_OWNERSHIP_003""]",Proof-bearing transport family. Weak mailbox or weak transport semantics must stay visibly distinct from business settlement.,"[""blueprint/phase-5-the-network-horizon.md#5F. Native hub booking commit, practice continuity, and cross-org messaging"", ""blueprint/phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_cross_org_secure_messaging_mesh"", ""blueprint-init.md#1. Product definition"", ""phase-5-the-network-horizon.md#Hub commit algorithm"", ""phase-6-the-pharmacy-loop.md#6D. Referral pack composer, dispatch adapters, and transport contract""]","[""onboarding""]","[""BLOCKER_P0_EXT_GATE_BLOCKED"", ""BLOCKER_P0_TELEPHONY_AND_MESH_READINESS""]","[""real mailbox IDs"", ""real certificates""]","[""duplicate receipt"", ""reordered callback"", ""accepted for transport but not delivered"", ""mailbox offline""]","[""queue dequeue"", ""transport accepted"", ""mailbox queued""]",218,7,231,6,-1,92,79,3,4,4,4,3,5,5,5,4,4,5
int_pharmacy_directory_and_choice,pharmacy_directory,Pharmacy directory and patient-choice seam,"[""dep_pharmacy_directory_dohs""]","[""Pharmacy directory and discovery dependency""]",baseline_mock_required,directory_snapshot_and_choice_proof,medium,medium,indirect,"[""patient_portal"", ""pharmacy_console"", ""operations_console""]","[""pharmacy"", ""patient_portal"", ""operations""]",high,long,likely,mock_now,"Patient choice, warned-choice explanations, opening-hours logic, and consent supersession need a stable directory simulator long before a real strategic search rail is current.",Live directory access and source-freshness proof remain later onboarding work and should not be treated as a current-baseline blocker while the choice contract is still being built.,"Simulate snapshot freshness, provider opening hours, provider withdrawal, no-safe-choice conditions, warned choices, and consent reset when the selected provider or pathway drifts.","[""seq_037 documents real directory and update-record access paths"", ""seq_038 captures simulator backlog coverage for no-safe-choice and stale-directory states"", ""seq_040 freezes fallback wording and renewed-choice behavior when the directory tuple drifts""]","[""seq_022"", ""seq_037"", ""seq_038"", ""seq_039"", ""seq_040""]","[""RISK_EXT_PHARMACY_PROVIDER_GAP"", ""RISK_PHARMACY_001"", ""RISK_RECOVERY_001"", ""RISK_BOOKING_001"", ""RISK_OWNERSHIP_003""]","Directory drift may supersede the choice tuple, but it may not silently reorder or reinterpret a frozen patient choice.","[""blueprint/blueprint-init.md#7. Pharmacy First pathway"", ""blueprint/phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction"", ""data/analysis/dependency_truth_and_fallback_matrix.csv#dep_pharmacy_directory_dohs"", ""phase-6-the-pharmacy-loop.md#6C. Pharmacy discovery, provider choice, and directory abstraction"", ""phase-6-the-pharmacy-loop.md#Pharmacy contract, case model, and state machine"", ""blueprint-init.md#7. Pharmacy First pathway""]","[""onboarding""]",[],"[""real pharmacy names"", ""real addresses""]","[""directory stale"", ""provider no longer open"", ""warned choice required""]","[""legacy lookup heuristics"", ""directory row without frozen choice proof""]",182,9,171,9,0,55,61,3,2,4,3,5,4,3,2,4,4,3
