boundary_case_id,pathway_code,boundary_dimension,input_value,expected_gate,expected_final_disposition,notes
BC347_001,uncomplicated_uti_female_16_64,age_lower_pass,16,eligible,eligible_choice_pending,uti_lower_boundary_pass
BC347_002,uncomplicated_uti_female_16_64,age_lower_fail,15,hard_failed,ineligible_returned,uti_lower_boundary_fail
BC347_003,uncomplicated_uti_female_16_64,age_upper_pass,64,eligible,eligible_choice_pending,uti_upper_boundary_pass
BC347_004,uncomplicated_uti_female_16_64,age_upper_fail,65,hard_failed,ineligible_returned,uti_upper_boundary_fail
BC347_005,uncomplicated_uti_female_16_64,sex_gate_fail,male,hard_failed,ineligible_returned,uti_female_only_guard
BC347_006,acute_otitis_media_1_17,age_lower_pass,1,eligible,eligible_choice_pending,aom_lower_boundary_pass
BC347_007,acute_otitis_media_1_17,age_upper_pass,17,eligible,eligible_choice_pending,aom_upper_boundary_pass
BC347_008,acute_otitis_media_1_17,age_upper_fail,18,hard_failed,ineligible_returned,aom_upper_boundary_fail
BC347_009,acute_sore_throat_5_plus,age_lower_pass,5,eligible,eligible_choice_pending,sore_throat_lower_boundary_pass
BC347_010,acute_sinusitis_12_plus,age_lower_pass,12,eligible,eligible_choice_pending,sinusitis_lower_boundary_pass
BC347_011,shingles_18_plus,age_lower_pass,18,eligible,eligible_choice_pending,shingles_lower_boundary_pass
BC347_012,impetigo_1_plus,age_lower_pass,1,eligible,eligible_choice_pending,impetigo_lower_boundary_pass
BC347_013,infected_insect_bites_1_plus,age_lower_pass,1,eligible,eligible_choice_pending,insect_bites_lower_boundary_pass
BC347_014,minor_illness_fallback,fallback_lane_only,pathway_specific_failures_only,fallback_only,minor_illness_fallback,no_named_pathway_but_safe_fallback
BC347_015,global_block,red_flag_bridge_present,tau_global_block,global_blocked,ineligible_returned,fallback_must_not_bypass_global_block
