questionKey,requestType,stepKey,visibilityPredicate,requiredWhen,answerType,cardinality,normalizationTarget,summaryRenderer,safetyRelevance,supersessionPolicy,allowedAnswerCount,unknownHandlingPolicyRef
admin.deadlineDate,Admin,details,requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known',requestType == 'Admin' && answers['admin.deadlineKnown'] == 'deadline_known',date,single,structuredAnswers.admin.deadlineDate,summary.admin.deadline_date.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,0,
admin.deadlineKnown,Admin,details,requestType == 'Admin',requestType == 'Admin',single_select,single,structuredAnswers.admin.deadlineState,summary.admin.deadline_known.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,3,
admin.details,Admin,details,requestType == 'Admin',requestType == 'Admin',long_text,single,structuredAnswers.admin.patientNarrative,summary.admin.details.v1,none,SUP_140_ALWAYS_ACTIVE_V1,0,
admin.referenceAvailable,Admin,details,requestType == 'Admin',requestType == 'Admin',single_select,single,structuredAnswers.admin.referenceState,summary.admin.reference_available.v1,none,SUP_140_ALWAYS_ACTIVE_V1,2,
admin.referenceNumber,Admin,details,requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available',requestType == 'Admin' && answers['admin.referenceAvailable'] == 'available',short_text,single,structuredAnswers.admin.referenceNumber,summary.admin.reference_number.v1,none,SUP_140_BRANCH_SUPERSEDE_V1,0,
admin.supportType,Admin,details,requestType == 'Admin',requestType == 'Admin',single_select,single,structuredAnswers.admin.supportTypeCode,summary.admin.support_type.v1,none,SUP_140_ALWAYS_ACTIVE_V1,5,
meds.issueDescription,Meds,details,requestType == 'Meds',requestType == 'Meds',long_text,single,structuredAnswers.meds.issueNarrative,summary.meds.issue_description.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,0,
meds.medicineName,Meds,details,requestType == 'Meds' && answers['meds.nameKnown'] == 'known',requestType == 'Meds' && answers['meds.nameKnown'] == 'known',short_text,single,structuredAnswers.meds.medicineNameText,summary.meds.medicine_name.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,0,
meds.nameKnown,Meds,details,requestType == 'Meds',requestType == 'Meds',single_select,single,structuredAnswers.meds.medicineNameState,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_ALWAYS_ACTIVE_V1,2,UNK_140_MEDS_NAME_BOUNDED_V1
meds.nameUnknownReason,Meds,details,requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure',requestType == 'Meds' && answers['meds.nameKnown'] == 'unknown_or_unsure',single_select,single,structuredAnswers.meds.medicineNameUnknownReason,summary.meds.name_unknown_reason.v1,triage_relevant,SUP_140_BRANCH_SUPERSEDE_V1,4,
