audience_tier,minimum_necessary_contract_ref,visible_field_ref,visibility_state,placeholder_contract_ref
origin_practice_visibility,MinimumNecessaryContract.origin_practice,requestLineageRef,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,macro_booking_status,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,fallback_reason_code,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,patient_communication_state,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,latest_continuity_delta,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,ack_generation_state,visible,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,hub_internal_free_text,withheld,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,cross_site_capacity_detail,withheld,HubOutOfScopePlaceholder.origin_practice
origin_practice_visibility,MinimumNecessaryContract.origin_practice,raw_native_booking_proof,withheld,HubOutOfScopePlaceholder.origin_practice
hub_desk_visibility,MinimumNecessaryContract.hub_desk,clinical_routing_summary,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,operational_timing_needs,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,travel_access_constraints,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,governed_coordination_evidence,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,requestLineageRef,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,selected_candidate_ref,visible,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,broad_narrative_without_promotion,withheld,HubOutOfScopePlaceholder.hub_desk
hub_desk_visibility,MinimumNecessaryContract.hub_desk,attachment_payload_without_break_glass,withheld,HubOutOfScopePlaceholder.hub_desk
servicing_site_visibility,MinimumNecessaryContract.servicing_site,encounter_delivery_brief,visible,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,site_local_capacity,visible,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,confirmed_slot_summary,visible,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,manage_capability_state,visible,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,origin_practice_triage_notes,withheld,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,callback_rationale,withheld,HubOutOfScopePlaceholder.servicing_site
servicing_site_visibility,MinimumNecessaryContract.servicing_site,alternative_options_other_sites,withheld,HubOutOfScopePlaceholder.servicing_site
