trackId,title,domain,wave,readiness,ownedArtifacts,nonOwnedArtifacts,dependsOnTracks,launchPacketRef,collisionSeamRefs,carryForwardIssueRefs
par_315,Network coordination case kernel and lineage links,backend,wave_1,ready,NetworkBookingRequest | HubCoordinationCase | HubCoordinationStateMachine,StaffIdentityContext | EnhancedAccessPolicy | HubCommitAttempt | HubOfferToConfirmationTruthProjection,frozen_contracts_only,data/launchpacks/314_track_launch_packet_315.json,,ISSUE310_002
par_316,"Staff identity, acting context, and visibility enforcement",backend,wave_1,ready,StaffIdentityContext | ActingContext | ActingScopeTuple | CrossOrganisationVisibilityEnvelope,HubCoordinationCase | EnhancedAccessPolicy | HubQueueWorkbenchProjection | PracticeVisibilityProjection,frozen_contracts_only,data/launchpacks/314_track_launch_packet_316.json,,
par_317,Enhanced Access policy compiler and replayable evaluation engine,backend,wave_1,ready,EnhancedAccessPolicy | HubRoutingPolicyPack | HubVarianceWindowPolicy | HubServiceObligationPolicy | HubPracticeVisibilityPolicy | HubCapacityIngestionPolicy | NetworkCoordinationPolicyEvaluation,HubCoordinationCase | NetworkSlotCandidate | HubQueueWorkbenchProjection | NetworkManageCapabilities,frozen_contracts_only,data/launchpacks/314_track_launch_packet_317.json,,
par_318,"Capacity ingestion, normalization, and candidate snapshot pipeline",backend,wave_2,blocked,HubCapacityAdapter | NetworkSlotCandidate | NetworkCandidateSnapshot | CrossSiteDecisionPlan | CapacityRankProof | CapacityRankExplanation | EnhancedAccessMinutesLedger | CancellationMakeUpLedger,EnhancedAccessPolicy | HubQueueWorkbenchProjection,par_315 | par_317,,,
par_319,"Coordination queue, workbench projections, and SLA timer engine",backend,wave_2,blocked,HubQueueWorkbenchProjection | HubConsoleConsistencyProjection | HubCaseConsoleProjection | HubOptionCardProjection | HubPostureProjection | HubEscalationBannerProjection,HubCoordinationCase | NetworkCandidateSnapshot | AlternativeOfferSession,par_315 | par_317 | par_318,,,
par_320,Alternative-offer optimisation and secure patient choice,backend,wave_2,blocked,AlternativeOfferOptimisationPlan | AlternativeOfferSession | AlternativeOfferEntry | AlternativeOfferFallbackCard | AlternativeOfferRegenerationSettlement,HubOfferToConfirmationTruthProjection | HubCommitAttempt,par_315 | par_318 | par_319,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json,
par_321,Native hub booking commit attempts and appointment records,backend,wave_2,blocked,HubCommitAttempt | HubActionRecord | HubCommitSettlement | HubBookingEvidenceBundle | HubAppointmentRecord | HubOfferToConfirmationTruthProjection,HubSupplierMirrorState | HubCoordinationException,par_315 | par_316 | par_318 | par_320,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json | data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_SUPPLIER_MIRROR_BOOTSTRAP.json,ISSUE310_004
par_322,"Practice continuity routing, dispatch, and acknowledgement evidence",backend,wave_2,blocked,PracticeContinuityMessage | PracticeAcknowledgementRecord | PracticeContinuityDispatchAttempt | PracticeContinuityReceiptCheckpoint,HubOfferToConfirmationTruthProjection | NetworkManageCapabilities,par_316 | par_321,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json,ISSUE310_004
par_323,"No-slot, callback, return-to-practice, and reopen workflows",backend,wave_2,blocked,HubFallbackRecord | CallbackFallbackRecord | HubReturnToPracticeRecord | HubCoordinationException,HubOfferToConfirmationTruthProjection | HubSupplierMirrorState,par_315 | par_320 | par_322,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json | data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_EXCEPTION_LIFECYCLE_HANDOFF.json,
par_324,"Network reminders, manage flows, and practice visibility projections",backend,wave_2,blocked,NetworkReminderPlan | PracticeVisibilityProjection | NetworkManageCapabilities | HubManageSettlement | PracticeVisibilityDeltaRecord,HubOfferToConfirmationTruthProjection | HubSupplierMirrorState,par_316 | par_321 | par_322,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json | data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_SUPPLIER_MIRROR_BOOTSTRAP.json,ISSUE310_004
par_325,"Supplier mirror, commit reconciler, and exception worker",backend,wave_2,blocked,HubSupplierMirrorState | HubBookingReconcilerService | HubExceptionWorkerOutcome,HubOfferToConfirmationTruthProjection | HubCoordinationException,par_321 | par_322 | par_323 | par_324,,data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_TRUTH_PROJECTION_WRITE_DISCIPLINE.json | data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_SUPPLIER_MIRROR_BOOTSTRAP.json | data/contracts/PHASE5_PARALLEL_INTERFACE_GAP_EXCEPTION_LIFECYCLE_HANDOFF.json,ISSUE310_004
par_326,Hub desk shell family and start-of-day views,frontend,wave_3,blocked,HubDeskShell | HubStartOfDayLandingView,HubQueueWorkbenchProjection | ActingContext,par_315 | par_316 | par_319 | par_325,,,ISSUE310_003
