dimension,required_fields,manifest_refs,validation_codes,fail_closed_posture,source_refs
route_family_membership,"routeFamilyRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","route_family_not_published",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest"
gateway_surface_reference,"gatewaySurfaceRef|gatewaySurfaceRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","gateway_surface_primary_missing",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#GatewayBffSurface"
surface_publication_reference,"surfacePublicationRef","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","surfacePublicationRef_mismatch",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest"
audience_surface_runtime_binding_reference,"audienceSurfaceRuntimeBindingRef","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","missing_audienceSurfaceRuntimeBindingRef|audienceSurfaceRuntimeBindingRef_mismatch",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#AudienceSurfaceRuntimeBinding"
design_contract_publication_tuple,"designContractPublicationBundleRef|designContractLintVerdictRef|designContractLintState","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","design_contract_lint_drifted|design_contract_lint_blocked",read_only,"prompt/113.md|blueprint/canonical-ui-contract-kernel.md#Canonical contracts"
token_layering_and_profile_selection_refs,"tokenKernelLayeringPolicyRef|profileSelectionResolutionRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","design_contract_digest_drift",blocked,"prompt/113.md|blueprint/design-token-foundation.md#Machine-readable export contract"
surface_state_kernel_binding_refs,"surfaceStateKernelBindingRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","design_contract_digest_drift",blocked,"prompt/113.md|blueprint/platform-frontend-blueprint.md#Shared IA rules"
projection_contract_version_set,"projectionContractVersionSetRef|projectionCompatibilityDigestRef|projectionCompatibilityState","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","projection_compatibility_constrained|projection_compatibility_blocked",read_only,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#ProjectionContractVersionSet"
projection_query_digests,"projectionQueryContractRefs|projectionQueryContractDigestRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","frontend_contract_digest_drift",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#ProjectionQueryContract"
mutation_command_digests,"mutationCommandContractRefs|mutationCommandContractDigestRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","frontend_contract_digest_drift",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#MutationCommandContract"
live_channel_digests,"liveUpdateChannelContractRefs|liveUpdateChannelDigestRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","frontend_contract_digest_drift",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#LiveUpdateChannelContract"
client_cache_digests,"clientCachePolicyRef|clientCachePolicyRefs|clientCachePolicyDigestRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","client_cache_primary_missing|frontend_contract_digest_drift",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#ClientCachePolicy"
command_and_transition_schemas,"commandSettlementSchemaRef|commandSettlementSchemaRefs|transitionEnvelopeSchemaRef|transitionEnvelopeSchemaRefs","FCM_113_PATIENT_PORTAL_LIVE|FCM_113_PATIENT_APPOINTMENTS_READ_ONLY|FCM_113_SUPPORT_RECOVERY_ONLY|FCM_113_GOVERNANCE_BLOCKED","command_settlement_primary_missing|transition_envelope_primary_missing",blocked,"prompt/113.md|blueprint/platform-runtime-and-release-blueprint.md#FrontendContractManifest"
