route_path,cluster,route_key,continuity_key,selected_anchor_policy,gap_resolution_ref,summary
/ops/governance,governance,governance_home,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_RELEASE_WATCH_V1,Governance foyer with release tuple and calm next-step posture.
/ops/governance/tenants,governance,governance_tenants,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_SCOPE_TOKEN_DETAIL_TENANT_OVERRIDE_REASON_V1,Tenant matrix with inherited live and draft values kept together.
/ops/governance/authority-links,governance,governance_authority_links,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_AUTHORITY_GRAPH_V1,Authority-link review with overlap and orphan-risk preview.
/ops/governance/compliance,governance,governance_compliance,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_ATTESTATION_EXPORT_V1,Compliance ledger and continuity bundle posture.
/ops/governance/records,governance,governance_records,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_RECORDS_DISPOSITION_V1,Records lifecycle review with hold and disposition posture.
/ops/access,access,access_home,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_SCOPE_TOKEN_DETAIL_ACCESS_PREVIEW_V1,Access overview in operational language.
/ops/access/users,access,access_users,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_SCOPE_TOKEN_DETAIL_ELEVATION_PREVIEW_V1,User access package review with effective preview.
/ops/access/roles,access,access_roles,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_ROLE_AUTHORITY_DEPENDENCY_V1,Role scope studio with one bound preview lane.
/ops/access/reviews,access,access_reviews,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_BREAK_GLASS_REVIEW_V1,Exceptional-access review with acknowledgement burden.
/ops/config,config,config_home,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_RELEASE_WATCH_V1,Configuration overview with bounded next-step posture.
/ops/config/bundles,config,config_bundles,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_RELEASE_WATCH_V1,Policy bundle change envelope and impact preview.
/ops/config/promotions,config,config_promotions,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_RELEASE_WATCH_V1,Promotion review with release tuple and approval rail.
/ops/comms,comms,comms_home,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_TEMPLATE_FALLBACK_MATRIX_V1,Communications governance foyer.
/ops/comms/templates,comms,comms_templates,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_FUTURE_GOVERNANCE_DEPTH_TEMPLATE_PUBLICATION_REBIND_V1,Template review with fallback and publication parity posture.
/ops/release,release,release_home,governance.review,acknowledgement_required with diff-anchor stub and review notice,GAP_APPROVAL_TUPLE_DETAIL_ROLLBACK_WATCH_V1,Release tuple and watch posture within the governance shell.
