path,routeFamilyRef,lens,childRouteKind,continuityKey,selectedAnchorPolicy,summary
/ops/overview,rf_operations_board,overview,,ops.board,acknowledgement_required,Resident operations board root for the overview lens.
/ops/queues,rf_operations_board,queues,,ops.board,acknowledgement_required,Resident operations board root for the queues lens.
/ops/capacity,rf_operations_board,capacity,,ops.board,acknowledgement_required,Resident operations board root for the capacity lens.
/ops/dependencies,rf_operations_board,dependencies,,ops.board,acknowledgement_required,Resident operations board root for the dependencies lens.
/ops/audit,rf_operations_board,audit,,ops.board,acknowledgement_required,Resident operations board root for the audit lens.
/ops/assurance,rf_operations_board,assurance,,ops.board,acknowledgement_required,Resident operations board root for the assurance lens.
/ops/incidents,rf_operations_board,incidents,,ops.board,acknowledgement_required,Resident operations board root for the incidents lens.
/ops/resilience,rf_operations_board,resilience,,ops.board,acknowledgement_required,Resident operations board root for the resilience lens.
/ops/overview/investigations/:opsRouteIntentId,rf_operations_drilldown,overview,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/overview/interventions/:opsRouteIntentId,rf_operations_drilldown,overview,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/overview/compare/:opsRouteIntentId,rf_operations_drilldown,overview,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/overview/health/:opsRouteIntentId,rf_operations_drilldown,overview,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/queues/investigations/:opsRouteIntentId,rf_operations_drilldown,queues,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/queues/interventions/:opsRouteIntentId,rf_operations_drilldown,queues,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/queues/compare/:opsRouteIntentId,rf_operations_drilldown,queues,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/queues/health/:opsRouteIntentId,rf_operations_drilldown,queues,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/capacity/investigations/:opsRouteIntentId,rf_operations_drilldown,capacity,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/capacity/interventions/:opsRouteIntentId,rf_operations_drilldown,capacity,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/capacity/compare/:opsRouteIntentId,rf_operations_drilldown,capacity,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/capacity/health/:opsRouteIntentId,rf_operations_drilldown,capacity,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/dependencies/investigations/:opsRouteIntentId,rf_operations_drilldown,dependencies,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/dependencies/interventions/:opsRouteIntentId,rf_operations_drilldown,dependencies,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/dependencies/compare/:opsRouteIntentId,rf_operations_drilldown,dependencies,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/dependencies/health/:opsRouteIntentId,rf_operations_drilldown,dependencies,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/audit/investigations/:opsRouteIntentId,rf_operations_drilldown,audit,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/audit/interventions/:opsRouteIntentId,rf_operations_drilldown,audit,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/audit/compare/:opsRouteIntentId,rf_operations_drilldown,audit,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/audit/health/:opsRouteIntentId,rf_operations_drilldown,audit,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/assurance/investigations/:opsRouteIntentId,rf_operations_drilldown,assurance,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/assurance/interventions/:opsRouteIntentId,rf_operations_drilldown,assurance,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/assurance/compare/:opsRouteIntentId,rf_operations_drilldown,assurance,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/assurance/health/:opsRouteIntentId,rf_operations_drilldown,assurance,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/incidents/investigations/:opsRouteIntentId,rf_operations_drilldown,incidents,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/incidents/interventions/:opsRouteIntentId,rf_operations_drilldown,incidents,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/incidents/compare/:opsRouteIntentId,rf_operations_drilldown,incidents,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/incidents/health/:opsRouteIntentId,rf_operations_drilldown,incidents,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
/ops/resilience/investigations/:opsRouteIntentId,rf_operations_drilldown,resilience,investigations,ops.board,acknowledgement_required,Same-shell investigations child route preserving the operations continuity key.
/ops/resilience/interventions/:opsRouteIntentId,rf_operations_drilldown,resilience,interventions,ops.board,acknowledgement_required,Same-shell interventions child route preserving the operations continuity key.
/ops/resilience/compare/:opsRouteIntentId,rf_operations_drilldown,resilience,compare,ops.board,acknowledgement_required,Same-shell compare child route preserving the operations continuity key.
/ops/resilience/health/:opsRouteIntentId,rf_operations_drilldown,resilience,health,ops.board,acknowledgement_required,Same-shell health child route preserving the operations continuity key.
