risk_id,risk_title,gate_id,gate_title,gate_type,baseline_scope,risk_class,gate_impact,link_reason
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_BAU_TRANSFER,BAU transfer gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RESTORE_EVIDENCE_STALENESS,Restore readiness can look green while rehearsal evidence is stale,GATE_BAU_TRANSFER,BAU transfer gate,programme_conformance,current,resilience,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_BAU_TRANSFER,BAU transfer gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STANDARDS_BASELINE_DRIFT,Standards-baseline and exception posture can drift without explicit watch tuples,GATE_BAU_TRANSFER,BAU transfer gate,programme_conformance,current,dependency_hygiene,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_CURRENT_BASELINE_CONFORMANCE,Current-baseline conformance gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_RUNTIME_001,RuntimePublicationBundle and DesignContractPublicationBundle publish one coherent surface tuple,GATE_CURRENT_BASELINE_CONFORMANCE,Current-baseline conformance gate,programme_conformance,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_UI_002,channel profiles constrain shell posture without redefining the shell family,GATE_DEFERRED_NHSAPP_ENABLEMENT,Deferred NHS App enablement gate,programme_conformance,deferred,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
HZ_TELEPHONY_EVIDENCE_INADEQUACY,Telephony evidence inadequacy,GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,clinical_safety,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
HZ_WRONG_PATIENT_BINDING,Wrong-patient binding or correction failure,GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,privacy,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_COMMS_VENDOR_DELAY,"Notifications, telephony, transcription, or scanning onboarding drifts past the engineering path",GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_IM1_SCAL_DELAY,IM1 and SCAL readiness lag blocks Phase 0 assurance merge and later booking reach,GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_MESH_DELAY,MESH and secure-message readiness lag blocks cross-organisation messaging truth,GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,external_dependency,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_EXT_NHS_LOGIN_DELAY,NHS login partner onboarding or redirect proof delay stalls the current baseline,GATE_EXTERNAL_TO_FOUNDATION,External readiness entry into Phase 0 foundation work,external_readiness,current,external_dependency,blocking,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_ASSURANCE_001,continuity-sensitive calmness is proven by ExperienceContinuityControlEvidence,GATE_OPTIONAL_ASSISTIVE_ENABLEMENT,Optional assistive visible-mode gate,programme_conformance,optional,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_STATE_004,identityState plus nullable patientRef derived from IdentityBinding,GATE_OPTIONAL_PDS_ENABLEMENT,Optional PDS enablement gate,external_readiness,optional,privacy,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P0_0A_TO_0B,Phase 0A hard gate into 0B domain kernel,phase_entry,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_P0_0A_TO_0B,Phase 0A hard gate into 0B domain kernel,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_001,RouteIntentBinding is the canonical post-submit mutation fence,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,architecture,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_002,CommandActionRecord is the canonical mutation envelope,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,product_logic,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_MUTATION_003,CommandSettlementRecord is the authoritative outcome for visible mutation state,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,release,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
RISK_OWNERSHIP_001,LifecycleCoordinator alone derives canonical Request milestone change and closure,GATE_P0_0B_TO_0C,Phase 0B hard gate into 0C runtime publication substrate,phase_entry,current,governance,watch,Gate cannot be considered green while this linked risk remains blocking or watchlisted.
