audience_profile,macro_state,axis_key,axis_label,axis_value,axis_detail,source_refs
patient,reviewing_next_steps,lifecycle,Lifecycle,Reviewing next steps,The request remains inside one patient shell.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/patient-portal-experience-architecture-blueprint.md#1A. Calm route posture and artifact delivery
patient,reviewing_next_steps,ownership,Ownership,Patient-owned,The spotlight stays attached to the same request.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/patient-account-and-communications-blueprint.md#Purpose
patient,reviewing_next_steps,trust,Trust,Trusted,Fresh projection truth still supports the current explanation.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope
patient,reviewing_next_steps,urgency,Urgency,Routine,No urgent blocker is winning the shell.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse
patient,reviewing_next_steps,interaction,Interaction,One action,The shell exposes one bounded next step.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/ux-quiet-clarity-redesign.md#A. Essential shell composition
workspace,in_review,lifecycle,Lifecycle,In review,The task stays open in the same shell.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/staff-workspace-interface-architecture.md#3. Active task shell
workspace,in_review,ownership,Ownership,Queue row pinned,The selected anchor stays visible while the task is reviewed.,blueprint/staff-workspace-interface-architecture.md#3. Active task shell
workspace,in_review,trust,Trust,Degraded,Transport activity does not clear stale truth.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope|blueprint/staff-workspace-interface-architecture.md#3. Active task shell
workspace,in_review,urgency,Urgency,Review first,The dominant action becomes recheck instead of commit.,blueprint/staff-workspace-interface-architecture.md#3. Active task shell
workspace,in_review,interaction,Interaction,Frozen,Commit posture stays visibly frozen until review completes.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/ux-quiet-clarity-redesign.md#Status-noise suppression
hub,awaiting_external,lifecycle,Lifecycle,Awaiting external,The same hub shell stays active while provider confirmation is pending.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/phase-5-the-network-horizon.md#Hub shell
hub,awaiting_external,ownership,Ownership,Hub owned,Selected candidate and origin practice stay attached to the same case.,blueprint/phase-5-the-network-horizon.md#Hub shell
hub,awaiting_external,trust,Trust,Partial,The visible option set is still safe but not fully settled.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope|blueprint/phase-5-the-network-horizon.md#Hub shell
hub,awaiting_external,urgency,Urgency,At risk,The current window is shrinking without breaking continuity.,blueprint/phase-5-the-network-horizon.md#Hub shell
hub,awaiting_external,interaction,Interaction,Guarded,The dominant action remains visible while confirmation is pending.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse
operations,blocked,lifecycle,Lifecycle,Blocked,The board slice stays visible while ordinary calmness is withdrawn.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/operations-console-frontend-blueprint.md#State and interaction model
operations,blocked,ownership,Ownership,Ops controlled,The anomaly remains attached to one active focus object.,blueprint/operations-console-frontend-blueprint.md#State and interaction model
operations,blocked,trust,Trust,Blocked,The shell cannot treat the current view as current enough for normal action.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope|blueprint/operations-console-frontend-blueprint.md#State and interaction model
operations,blocked,urgency,Urgency,Critical,One promoted recovery cue wins instead of multiple alerts.,blueprint/ux-quiet-clarity-redesign.md#Status-noise suppression
operations,blocked,interaction,Interaction,Recovery only,Only the governed recovery path remains actionable.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse
governance,settled,lifecycle,Lifecycle,Settled,A settled outcome exists but remains subordinate to current shell truth.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/governance-admin-console-frontend-blueprint.md#Core shell responsibilities
governance,settled,ownership,Ownership,Governance-held,The selected scope and diff remain attached to one review object.,blueprint/governance-admin-console-frontend-blueprint.md#Core shell responsibilities
governance,settled,trust,Trust,Partial,Settlement alone cannot restore writable posture after evidence drift.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope
governance,settled,urgency,Urgency,Review gate,The dominant action becomes evidence completion instead of approval.,blueprint/governance-admin-console-frontend-blueprint.md#Core shell responsibilities
governance,settled,interaction,Interaction,Read-only,The shell keeps settled summary visible while approval stays frozen.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse
pharmacy,recovery_required,lifecycle,Lifecycle,Recovery required,The pharmacy case remains open in the same shell while recovery runs.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse|blueprint/pharmacy-console-frontend-architecture.md#Phase 0 shell law
pharmacy,recovery_required,ownership,Ownership,Checkpoint owned,The active line item and validation board stay visible.,blueprint/pharmacy-console-frontend-architecture.md#Phase 0 shell law
pharmacy,recovery_required,trust,Trust,Degraded,The shell cannot imply that referral truth is current enough to release.,blueprint/platform-frontend-blueprint.md#1.7A ProjectionFreshnessEnvelope|blueprint/pharmacy-console-frontend-architecture.md#Phase 0 shell law
pharmacy,recovery_required,urgency,Urgency,Safety critical,One recovery cue wins while the rest of the shell stays bounded.,blueprint/pharmacy-console-frontend-architecture.md#Phase 0 shell law
pharmacy,recovery_required,interaction,Interaction,Recovery only,Ordinary release and closure actions remain suppressed.,blueprint/platform-frontend-blueprint.md#1.2 CasePulse
