kill_switch_id,provider_family,lane_scope,dimension_id,trigger,effect,impacted_vendor_ids,source_refs
KS_COMMS_001,telephony_ivr,actual_later,security_replay,Reject any telephony vendor that lacks callback authenticity proof or forces blind trust in unsigned voice events.,Not shortlistable for seq_032 handoff.,twilio_telephony_ivr; vonage_telephony_ivr; sinch_telephony_ivr,prompt/031.md; data/analysis/provider_family_scorecards.json#telephony_voice_and_recording
KS_COMMS_002,telephony_ivr,actual_later,authoritative_truth,Reject any telephony vendor if call accepted or callback arrival would be mistaken for settled contact truth.,Not shortlistable for seq_032 handoff.,twilio_telephony_ivr; vonage_telephony_ivr; sinch_telephony_ivr,prompt/031.md; docs/external/22_provider_selection_scorecards.md
KS_COMMS_003,sms,actual_later,ambiguity_handling,"Reject any SMS vendor that cannot surface queued, delayed, bounced, expired, or wrong-recipient states separately.",Not shortlistable for seq_033 handoff.,twilio_sms; vonage_sms; sinch_sms,prompt/031.md; data/analysis/integration_priority_matrix.json#int_sms_continuation_delivery
KS_COMMS_004,sms,actual_later,security_replay,Reject any SMS vendor whose callback channel cannot be authenticated or made replay-safe with documented provider signals.,Not shortlistable for seq_033 handoff.,twilio_sms; vonage_sms; sinch_sms,prompt/031.md; docs/external/22_provider_selection_scorecards.md
KS_COMMS_005,email,actual_later,security_replay,"Reject any email vendor that lacks signed or replay-safe webhook proof for delivery, bounce, and complaint events.",Not shortlistable for seq_033 handoff.,mailgun_email; sendgrid_email; postmark_email,prompt/031.md; data/analysis/provider_family_scorecards.json#notifications_email
KS_COMMS_006,email,actual_later,contract_shape,"Reject any email vendor that cannot preserve sender/domain verification, event webhook setup, and environment separation cleanly.",Not shortlistable for seq_033 handoff.,mailgun_email; sendgrid_email; postmark_email,prompt/031.md; prompt/033.md
KS_COMMS_007,combined,actual_later,commercial_and_lock_in,Reject any combined-suite option that wins only by procurement simplicity while increasing lock-in and failure-domain coupling.,Not shortlistable as a cross-family default.,twilio_sendgrid_suite; sinch_mailgun_suite; vonage_single_suite,prompt/031.md
KS_COMMS_008,combined,actual_later,contract_shape,"Reject any combined-suite option that does not cover telephony, SMS, and email together in current reviewed official docs.",Combined row marked rejected.,vonage_single_suite,prompt/031.md
KS_COMMS_009,mock_lane,mock_now,simulator_fidelity,"Reject any internal twin that skips IVR branches, urgent preemption, webhook disorder, bounce/dispute, or route-repair semantics.",Mock lane not selectable for MVP execution.,vecells_signal_twin_voice; vecells_signal_twin_sms; vecells_signal_twin_email; vecells_signal_fabric,prompt/031.md; data/analysis/integration_priority_matrix.json
KS_COMMS_010,email,actual_later,security_replay,Explicit seq_031 rejection: Postmark current official guidance exposes custom headers/basic auth but no signed replay-safe callback proof.,postmark_email stays rejected.,postmark_email,https://postmarkapp.com/support/article/1115-how-do-modular-webhooks-work
KS_COMMS_011,combined,actual_later,portability_and_exit,Reject any combined-suite proposal if seq_032 or seq_033 would be unable to swap vendors per family without lifecycle rewrites.,No combined suite may be defaulted now.,twilio_sendgrid_suite; sinch_mailgun_suite; vonage_single_suite,prompt/031.md; docs/external/22_provider_selection_scorecards.md
