task_id,family,provider,environment_id,endpoint_id,callback_url_path,endpoint_scope,adapter_contract_ref,signature_scheme,replay_key,live_mutation_gate
203,telephony,vecells_internal_voice_twin,local,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,vecells-hmac-sha256,provider|provider_event_id|provider_call_id|event_type|occurred_at,blocked_by_default
203,telephony,vecells_internal_voice_twin,sandbox_twin,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,vecells-hmac-sha256,provider|provider_event_id|provider_call_id|event_type|occurred_at,blocked_by_default
203,telephony,twilio_voice,provider_candidate,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,twilio-request-validator,provider|provider_event_id|provider_call_id|event_type|occurred_at,blocked_by_default
203,telephony,vonage_voice,provider_candidate,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,vonage-signed-request,provider|provider_event_id|provider_call_id|event_type|occurred_at,blocked_by_default
203,telephony,twilio_voice,live_candidate,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,twilio-request-validator,provider|provider_event_id|provider_call_id|event_type|occurred_at,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
203,telephony,vonage_voice,live_candidate,edge.signal.telephony.provider_callback.v1,/edge/signal/telephony/provider-callback,edge,docs/api/187_telephony_provider_webhook_contract.md,vonage-signed-request,provider|provider_event_id|provider_call_id|event_type|occurred_at,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
203,sms,vecells_internal_sms_rail_twin,local,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vecells-hmac-sha256,provider|provider_message_id|recipient_route_hash|status|occurred_at,blocked_by_default
203,sms,vecells_internal_sms_rail_twin,sandbox_twin,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vecells-hmac-sha256,provider|provider_message_id|recipient_route_hash|status|occurred_at,blocked_by_default
203,sms,twilio_sms,provider_candidate,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,twilio-request-validator,provider|provider_message_id|recipient_route_hash|status|occurred_at,blocked_by_default
203,sms,vonage_sms,provider_candidate,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vonage-signature,provider|provider_message_id|recipient_route_hash|status|occurred_at,blocked_by_default
203,sms,twilio_sms,live_candidate,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,twilio-request-validator,provider|provider_message_id|recipient_route_hash|status|occurred_at,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
203,sms,vonage_sms,live_candidate,edge.signal.sms.status_callback.v1,/edge/signal/sms/status-callback,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vonage-signature,provider|provider_message_id|recipient_route_hash|status|occurred_at,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
203,email,vecells_internal_email_rail_twin,local,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vecells-hmac-sha256,provider|message_id|event_type|event_timestamp|recipient_route_hash,blocked_by_default
203,email,vecells_internal_email_rail_twin,sandbox_twin,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,vecells-hmac-sha256,provider|message_id|event_type|event_timestamp|recipient_route_hash,blocked_by_default
203,email,mailgun_email,provider_candidate,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,mailgun-timestamp-token-signature-hmac,provider|message_id|event_type|event_timestamp|recipient_route_hash,blocked_by_default
203,email,sendgrid_email,provider_candidate,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,sendgrid-ecdsa-event-webhook,provider|message_id|event_type|event_timestamp|recipient_route_hash,blocked_by_default
203,email,mailgun_email,live_candidate,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,mailgun-timestamp-token-signature-hmac,provider|message_id|event_type|event_timestamp|recipient_route_hash,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
203,email,sendgrid_email,live_candidate,edge.signal.email.event_webhook.v1,/edge/signal/email/event-webhook,edge,docs/external/33_sender_domain_and_webhook_strategy.md,sendgrid-ecdsa-event-webhook,provider|message_id|event_type|event_timestamp|recipient_route_hash,requires_ALLOW_SIGNAL_PROVIDER_MUTATION
