phase_ref,requirement_count,mapping_row_count,task_count,direct_count,test_requirement_count,gate_requirement_count,assurance_requirement_count,missing_implement_count,missing_test_count,deferred_requirement_count
cross_phase,509,3773,3532,3612,290,509,241,0,0,1
phase_0,298,2041,1944,1947,95,298,59,0,0,1
phase_1,7,79,71,56,6,7,5,0,0,0
phase_2,2,57,57,17,2,2,2,0,0,0
phase_3,135,959,924,901,133,135,31,0,0,0
phase_4,136,1012,1002,992,135,136,12,0,0,0
phase_5,129,955,928,936,128,129,9,0,0,0
phase_6,132,978,956,960,130,132,17,0,0,0
phase_7,101,529,508,503,100,101,0,99,0,101
phase_8,150,1022,982,958,149,150,28,0,0,1
phase_9,175,1334,1296,1301,172,175,173,0,0,1
planning,62,548,499,486,62,62,43,2,0,2
