dependency_id,dependency_name,dependency_class,baseline_scope,authoritative_success_proof,accepted_or_observed_only_signals,ambiguity_modes,degraded_patient_or_staff_posture,simulator_allowed,touchpoint_ids,source_refs
dep_nhs_login_rail,NHS login authentication rail,identity_auth,baseline_required,"Current SessionEstablishmentDecision plus current Session, IdentityBinding, and RouteIntentBinding showing writable authority for the same subject and lineage.",NHS login callback arrived; Token exchange completed; Subject claim exists without settled writable authority,ConsentNotGiven or access_denied returns; Subject mismatch or stale subject binding version; claim_pending or auth_read_only posture after successful auth,bounded_recovery with explicit post-auth next step; auth_read_only or claim_pending shell posture; secure-link or support-assisted recovery without pretending writable ownership,partial,ext_nhs_login,"phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile"
dep_pds_fhir_enrichment,Optional PDS enrichment seam,patient_data_enrichment,optional_flagged,A legally permitted PDS lookup correlated to the current linkage candidate set and accepted as supporting evidence by IdentityBindingAuthority.,NHS login contact claim; Single local demographic candidate without sufficient confidence; Stale demographic cache,Legal basis or onboarding still incomplete; PDS response conflicts with local or telephony evidence; Feature flag disabled for the current tenant or route,Local matching only with partial_match or review posture; Support-assisted correction without widening identity truth; Keep enrichment fully off while preserving baseline identity flow,yes,,"phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes"
dep_telephony_ivr_recording_provider,"Telephony, IVR, and call-recording provider",telephony,baseline_required,Current CallSession evidence or CallbackOutcomeEvidenceBundle linked to AdapterReceiptCheckpoint and the current lineage-bound callback or intake objects.,Carrier accepted a call leg; Callback queued or dial started; Recording promised but not yet fetched or verified,recording_missing or transcript_degraded; Duplicate or contradictory callback outcomes; urgent_live_only posture without routine evidence readiness,Callback retry or governed manual escalation; Secure-link continuation where route authority allows; Manual review of audio or urgent live diversion without false routine progress,partial,ext_telephony_and_ivr_provider,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Callback domain"
dep_transcription_processing_provider,Transcript and derived-facts processing provider,transcription,baseline_required,TelephonyTranscriptReadinessRecord with clinically sufficient coverage accepted by TelephonyEvidenceReadinessAssessment(usabilityState = safety_usable).,Transcript job queued or running; Keyword-only or partial utterance output; Model returned text without a matching readiness assessment,Coverage is partial or clinically insufficient; Contradictory transcript reruns or stale derivation packages; Manual review still required before routine promotion,Manual transcription or audio review; continuation_challenge or manual_only posture; Keep the lineage blocked on evidence readiness rather than guessing safety-usable meaning,partial,ext_artifact_store_and_scan,"phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_sms_notification_provider,SMS delivery provider,sms,optional_flagged,Current AdapterReceiptCheckpoint plus the governing AccessGrant or CommunicationEnvelope still current for the same route and visibility tuple.,Send request accepted by provider; Link issued but not redeemed; Carrier handoff without delivery evidence,"Wrong-recipient or stale-number risk; Bounced, expired, or disputed delivery; Link redemption fenced by subject or session drift",Email or support reissue; Challenge continuation instead of seeded continuation; Same-shell bounded recovery without reusing stale grant assumptions,partial,ext_secure_link_and_notification_rail; ext_message_delivery_provider,"phase-2-identity-and-echoes.md#2F. Caller verification, voice capture, transcript stub, and SMS continuation; callback-and-clinician-messaging-loop.md#Delivery, callback-window, and settlement confidence model; phase-0-the-foundation-protocol.md#Command and adapter effect ledger"
dep_email_notification_provider,Email and notification delivery provider,email,baseline_required,Current MessageDeliveryEvidenceBundle or AdapterReceiptCheckpoint for the live CommunicationEnvelope and route tuple.,Provider accepted the send; SMTP or API returned queued state; Template rendered without current delivery truth,"Delivery failed, disputed, expired, or suppressed; Message thread closed locally while delivery truth is still unresolved; Reachability repair overrides the intended communication route",Controlled resend under the same authoritative chain; Support repair or callback escalation; Same-shell read-only or recovery posture while delivery truth is unresolved,partial,ext_secure_link_and_notification_rail; ext_message_delivery_provider,callback-and-clinician-messaging-loop.md#Clinician message domain; phase-5-the-network-horizon.md#Reminder and communication publication; phase-0-the-foundation-protocol.md#Command and adapter effect ledger
dep_malware_scanning_provider,Malware and artifact scanning provider,malware_scanning,baseline_required,"Current artifact quarantine outcome showing the capture bundle or recording is safe, readable enough, or explicitly quarantined with governed next action.",Object stored successfully; Scan job started; Raw file metadata available,Scan timed out or returned unsupported; File is quarantined or unreadable; Conflicting scan evidence across retries,FallbackReviewCase with same-lineage degraded receipt; Manual review or re-upload request; Fail closed rather than silently dropping the artifact,partial,ext_artifact_store_and_scan,"phase-0-the-foundation-protocol.md#4.3A Artifact quarantine and fallback review; phase-2-identity-and-echoes.md#2E. Telephony call-session ingestion, evidence readiness, and convergence; forensic-audit-findings.md#Finding 12 - No safe fallback when ingest or safety failed"
dep_im1_pairing_programme,IM1 Pairing programme and prerequisite path,gp_system,baseline_required,"Current pairing evidence pack showing the exact supplier, organisation, and environment have cleared the required IM1 stage for the targeted capability set.",Prerequisite forms submitted; Supplier conversation started; Mock documentation received without supported-test or assurance completion,SCAL or model-interface prerequisites still pending; Supported-test or assurance incomplete for the selected supplier path; Live rollout not yet approved for the supplier or organisation pair,"Stay on simulator or supported-test path only; Keep the related route in assisted-only, recovery-only, or blocked posture; Use hub fallback or manual handling where booking policy allows",partial,ext_booking_supplier_adapter,phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition
dep_gp_system_supplier_paths,Principal GP-system supplier integration paths,gp_system,baseline_required,"Current supplier binding and authoritative read or outcome observation path accepted for the same supplier, organisation, action scope, and transport assurance profile.",Supplier name matches a supported family; Static docs suggest support without current binding proof; Outcome transport observed without current policy acceptance,linkage_required or local_component_required capability states; Supplier-specific action support withdrawn or stale; Outcome evidence shape does not match the live supplier path,Assisted-only handling or hub fallback; Simulator and contract-test path while supplier access remains incomplete; Reconciliation-required posture instead of false booking or outcome calmness,partial,ext_booking_supplier_adapter,"phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation"
dep_local_booking_supplier_adapters,Local booking supplier adapter family,booking_supplier,baseline_required,BookingConfirmationTruthProjection(confirmationTruthState = confirmed) backed by a durable provider reference or same-commit read-after-write proof for the same BookingTransaction.,Slot list rendered from a frozen snapshot; Local click acknowledgement; Supplier accepted for processing or callback arrived without authoritative confirmation,"confirmation_pending posture after async acceptance; supplier_reconciliation_pending due to disputed or stale supplier truth; waitlist, callback fallback, or hub fallback still open","Stay in confirmation_pending with explicit truth posture; Route to waitlist, callback, or hub fallback under current policy; Freeze stale manage actions until capability resolution is recomputed",partial,ext_booking_supplier_adapter,phase-4-the-booking-engine.md#4C Slot search; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows
