gateway_service_ref,route_family_ref,route_family_label,gateway_surface_ref,primary_gateway_surface_ref,ownership_role,audience_surface_ref,audience,shell_type,channel_profile,browser_visible,session_policy_ref,tenant_isolation_mode,publication_state,route_state,downstream_workload_family_refs,trust_zone_boundary_refs,explicit_exception_ref,explicit_exception_reason
agws_patient_web,rf_intake_self_service,Intake / self-service form (derived),gws_patient_intake_web,gws_patient_intake_web,primary,surf_patient_intake_web,patient_public,patient,browser,yes,SP_PATIENT_PUBLIC_EPHEMERAL,shared_public_pre_tenant,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_intake_telephony_capture,Intake / telephony capture (derived),gws_patient_intake_phone,gws_patient_intake_phone,primary,surf_patient_intake_phone,patient_public,patient,constrained_browser,no,SP_TELEPHONY_CAPTURE_PROXY,shared_public_pre_tenant,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_secure_link_recovery,Secure-link recovery and claim resume (derived),gws_patient_secure_link_recovery,gws_patient_secure_link_recovery,primary,surf_patient_secure_link_recovery,patient_grant_scoped,patient,constrained_browser,yes,SP_GRANT_SCOPED_RECOVERY,tenant_scoped_lineage_grant,blocked_exception,blocked,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_home,Home,gws_patient_home,gws_patient_home,primary,surf_patient_home,patient_authenticated,patient,browser,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,mock_published_with_downgrade,degraded,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_requests,Requests,gws_patient_requests,gws_patient_requests,primary,surf_patient_requests,patient_authenticated,patient,browser,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,mock_published,published,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_appointments,Appointments,gws_patient_appointments,gws_patient_appointments,primary,surf_patient_appointments,patient_authenticated,patient,browser,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,mock_published,published,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_health_record,Health record,gws_patient_health_record,gws_patient_health_record,primary,surf_patient_health_record,patient_authenticated,patient,browser,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,mock_published_with_downgrade,degraded,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_messages,Messages,gws_patient_messages,gws_patient_messages,primary,surf_patient_messages,patient_authenticated,patient,browser,yes,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,mock_published,published,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_patient_web,rf_patient_embedded_channel,Patient embedded channel parity,gws_patient_embedded_shell,gws_patient_embedded_shell,primary,surf_patient_embedded_shell,patient_embedded_authenticated,patient,embedded,yes,SP_PATIENT_EMBEDDED_HOST_BOUND,tenant_scoped_subject_embedded,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_clinical_workspace,rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",gws_clinician_workspace,gws_clinician_workspace,primary,surf_clinician_workspace,origin_practice_clinical,staff,browser,yes,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_clinical_workspace,rf_staff_workspace,"/workspace, /workspace/queue/:queueKey, /workspace/task/:taskId",gws_practice_ops_workspace,gws_clinician_workspace,secondary_variant,surf_practice_ops_workspace,origin_practice_operations,staff,browser,yes,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,EXC_ROUTE_STAFF_WORKSPACE_PRACTICE_OPS_VARIANT,Practice operations reuses the workspace route family but keeps a separate audience and narrower operational mutation scope.
agws_clinical_workspace,rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",gws_assistive_sidecar,gws_clinician_workspace_child,bounded_secondary,surf_assistive_sidecar,assistive_adjunct,staff,browser,yes,SP_ASSISTIVE_ADJUNCT_INHERITED,inherited_scope_no_standalone_tenant_widening,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,EXC_ROUTE_STAFF_CHILD_ASSISTIVE_SIDE_CAR,Assistive remains a bounded sidecar inheriting the owning workspace route family without becoming the primary browser compute owner.
agws_clinical_workspace,rf_staff_workspace_child,"/workspace/task/:taskId/more-info, /workspace/task/:taskId/decision, /workspace/approvals, /workspace/escalations, /workspace/changed, /workspace/search",gws_clinician_workspace_child,gws_clinician_workspace_child,primary,surf_clinician_workspace_child,origin_practice_clinical,staff,browser,yes,SP_STAFF_SSO_SINGLE_ORG_CHILD,tenant_org_partition,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_hub_desk,rf_hub_queue,/hub/queue,gws_hub_queue,gws_hub_queue,primary,surf_hub_queue,hub_desk,hub,browser,yes,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,mock_published_with_downgrade,degraded,wf_projection_read_models,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_hub_desk,rf_hub_case_management,"/hub/case/:hubCoordinationCaseId, /hub/alternatives/:offerSessionId, /hub/exceptions, /hub/audit/:hubCoordinationCaseId",gws_hub_case_management,gws_hub_case_management,primary,surf_hub_case_management,hub_desk,hub,browser,yes,SP_STAFF_CROSS_ORG_HUB,explicit_cross_org_subject_scope,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_pharmacy_console,rf_pharmacy_console,"/workspace/pharmacy, /workspace/pharmacy/:pharmacyCaseId, /validate, /inventory, /resolve, /handoff, /assurance",gws_pharmacy_console,gws_pharmacy_console,primary,surf_pharmacy_console,servicing_site,pharmacy,browser,yes,SP_PHARMACY_SERVICING_SCOPE,servicing_site_partition,mock_published,published,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_support_workspace,rf_support_ticket_workspace,"/ops/support, /ops/support/inbox/:viewKey, /ops/support/tickets/:supportTicketId, /conversation, /history, /knowledge, /actions/:actionKey, /handoff/:supportOwnershipTransferId",gws_support_assisted_capture,gws_support_ticket_workspace,secondary_variant,surf_support_assisted_capture,support,support,browser,yes,SP_SUPPORT_ASSISTED_CAPTURE,explicit_support_delegate_scope,mock_published,published,wf_projection_read_models; wf_command_orchestration; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,EXC_ROUTE_SUPPORT_TICKET_ASSISTED_CAPTURE,Support-assisted capture reuses the ticket shell route family but carries a different ingress and recovery mutation posture.
agws_support_workspace,rf_support_ticket_workspace,"/ops/support, /ops/support/inbox/:viewKey, /ops/support/tickets/:supportTicketId, /conversation, /history, /knowledge, /actions/:actionKey, /handoff/:supportOwnershipTransferId",gws_support_ticket_workspace,gws_support_ticket_workspace,primary,surf_support_ticket_workspace,support,support,browser,yes,SP_SUPPORT_TENANT_DELEGATE,explicit_support_delegate_scope,mock_published,published,wf_projection_read_models; wf_command_orchestration,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,,
agws_support_workspace,rf_support_replay_observe,/ops/support/replay/:supportReplaySessionId and /ops/support/tickets/:supportTicketId/observe/:supportObserveSessionId,gws_support_replay_observe,gws_support_replay_observe,primary,surf_support_replay_observe,support,support,browser,yes,SP_SUPPORT_REPLAY_ENVELOPE,explicit_support_investigation_scope,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,,
agws_ops_console,rf_operations_board,"/ops/overview, /ops/queues, /ops/capacity, /ops/dependencies, /ops/audit, /ops/assurance, /ops/incidents, /ops/resilience",gws_operations_board,gws_operations_board,primary,surf_operations_board,operations_control,operations,browser,yes,SP_OPERATIONS_WATCH_TUPLE,platform_observation_aggregate,mock_published_with_downgrade,degraded,wf_projection_read_models; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,,
agws_ops_console,rf_operations_drilldown,"/ops/:opsLens/investigations/:opsRouteIntentId, /interventions/:opsRouteIntentId, /compare/:opsRouteIntentId, /health/:opsRouteIntentId",gws_operations_drilldown,gws_operations_drilldown,primary,surf_operations_drilldown,operations_control,operations,browser,yes,SP_RESILIENCE_CONTROL_SCOPE,platform_observation_aggregate,mock_published,published,wf_projection_read_models; wf_command_orchestration; wf_assurance_security_control,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core; tzb_published_gateway_to_assurance_security,,
