checkpoint_id,action_key,action_label,provider_family,provider_family_label,source_pack_key,task_refs,stage,retry_class,retry_chip_label,idempotency_class,evidence_class,live_gate_status,approval_lanes,required_env,harness_paths,selector_refs,completion_evidence,insufficient_evidence,human_checkpoints,redaction_policy,mock_now_execution,actual_provider_strategy_later,source_refs
CHK_001,act_nhs_login_partner_application_review,Review NHS login partner application route,nhs_login,NHS login,nhs_login,seq_024; seq_025,read,safe_read_retry,safe_read_retry,read_only,gate_snapshot,pass,Environment approval,NHS_LOGIN_NAMED_APPROVER; NHS_LOGIN_ENVIRONMENT_TARGET; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/nhs-login-live-application-dry-run.spec.js; /Users/test/Code/V/tools/browser-automation/nhs-login-credential-intake-dry-run.spec.js,field_dependencies.application_dossier_fields; field_dependencies.named_approver_field_id,Fresh gate snapshot stamped with the capture date; Official label checks still match the current NHS login guidance,Landing on the page; A visible submit button or populated draft fields without a dated snapshot,Human review still decides when the rehearsal pack may widen into a real partner submission.; Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,"Masked stills only. Never expose redirect URIs, emails, or client identifiers in raw captures.",Read labels and gate posture only. Stop before any real submission affordance.,Use the same gate snapshot before the real partner request so later runs start from current evidence rather than stale assumptions.,"/Users/test/Code/V/data/analysis/nhs_login_capture_pack.json; phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile; seq_024; seq_025; field_dependencies.application_dossier_fields; field_dependencies.named_approver_field_id"
CHK_002,act_nhs_login_redirect_registration_review,Approve redirect and scope registration pack,nhs_login,NHS login,nhs_login,seq_024; seq_025,review,human_review_before_continue,human_review,review_checkpoint,review_reference,review_required,Environment approval; Safety / privacy assurance,NHS_LOGIN_NAMED_APPROVER; NHS_LOGIN_ENVIRONMENT_TARGET; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/nhs-login-live-application-dry-run.spec.js; /Users/test/Code/V/tools/browser-automation/nhs-login-credential-intake-dry-run.spec.js,cred_redirect_review_ref; cred_scope_approval_ref,Named redirect review reference linked to the active route family; Scope approval reference tied to the same environment target,A locally generated redirect list without reviewer identity; A button click that never yields a review reference,Human review approves any real redirect registration or scope widening.; Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,Allow masked stills of the review pack only after route-specific identifiers are obscured.,"Assemble the redirect matrix and review checklist, then stop for named approval.",Later sandpit or live registration must reuse the same review reference and reject blind reruns.,"/Users/test/Code/V/data/analysis/nhs_login_capture_pack.json; phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile; seq_024; seq_025; cred_redirect_review_ref; cred_scope_approval_ref"
CHK_003,act_nhs_login_credential_promotion,Promote NHS login credentials into vault-handled storage,nhs_login,NHS login,nhs_login,seq_025,verify,secrets_redacted_only,redacted_only,secret_material_handling,vault_receipt,blocked,Environment approval; Safety / privacy assurance,NHS_LOGIN_NAMED_APPROVER; NHS_LOGIN_ENVIRONMENT_TARGET; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/nhs-login-live-application-dry-run.spec.js; /Users/test/Code/V/tools/browser-automation/nhs-login-credential-intake-dry-run.spec.js,cred_named_approver; cred_environment_target; cred_live_mutation_flag,Vault or quarantine receipt for the secret material; Named approver bound to the same environment target; Redaction approval reference for any still capture,"Clipboard copies; Raw screenshots, traces, HAR files, or logs containing secret material",Dual review approves secret promotion before any preprod or production vault write.; Partner approval before non-mock credentials are issued; Redirect-URI and scope review against live environment inventory,Traces and HAR are off. Only masked stills with an explicit redaction approval reference are allowed.,Use placeholders and quarantine-first handling only; never store real secret values in repo outputs.,"The live step stays blocked until partner approval, environment target, and mutation approval are explicit.","/Users/test/Code/V/data/analysis/nhs_login_capture_pack.json; phase-2-identity-and-echoes.md#2B. NHS login bridge and local session engine; blueprint-init.md#10. Identity, consent, security, and policy; platform-runtime-and-release-blueprint.md#AdapterContractProfile; seq_025; cred_named_approver; cred_environment_target; cred_live_mutation_flag"
CHK_004,act_gp_provider_path_review,Review GP provider path evidence and shortlist posture,gp_booking,GP systems / IM1,gp,seq_036,read,safe_read_retry,safe_read_retry,read_only,gate_snapshot,pass,Sponsor / commercial,ALLOW_REAL_PROVIDER_MUTATION; GP_PROVIDER_ARCHITECTURE_DIAGRAM_REF; GP_PROVIDER_BOOKING_MVP_REF; GP_PROVIDER_DATAFLOW_DIAGRAM_REF; GP_PROVIDER_ENVIRONMENT_TARGET; GP_PROVIDER_NAMED_APPROVER; GP_PROVIDER_SPONSOR_MODE; GP_PROVIDER_WATCH_REGISTER_ACK,/Users/test/Code/V/tools/browser-automation/gp-provider-path-discovery-dry-run.spec.js,row_im1_optum; row_gpc; row_bars,Fresh path evidence snapshot; Official supplier labels still match the current provider guidance,A remembered shortlist with no capture date; A locally sorted table with no source snapshot,Programme ownership still decides which supplier path is worth later onboarding effort.; Supplier sandbox and capability evidence review; Environment-specific binding publication before patient-visible actions widen; Supplier-selection scorecard and simulation evidence before live booking exposure; Per-supplier fallback and manage-capability review,"Screenshots may be taken because no secret fields are involved, but route-specific tickets must still be masked.",Use the pathfinder as a read-only proof surface and keep the live route closed.,Re-run the same evidence review before any supplier claim so later automation starts from the current shortlist and path evidence.,"/Users/test/Code/V/data/analysis/gp_provider_decision_register.json; phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; phase-4-the-booking-engine.md#4E Commit path; phase-4-the-booking-engine.md#4F Manage flows; seq_036; row_im1_optum; row_gpc; row_bars"
CHK_005,act_im1_prerequisite_pack_draft,Resume IM1 prerequisite dossier drafting,gp_booking,GP systems / IM1,im1,seq_026,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Sponsor / commercial; Signatory; Safety / privacy assurance,IM1_NAMED_APPROVER; IM1_ENVIRONMENT_TARGET; IM1_SPONSOR_NAME; IM1_COMMERCIAL_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/im1-prerequisites-dry-run.spec.js,actual-field-sponsor-name; actual-field-commercial-owner; actual-field-named-approver,Draft checkpoint receipt tied to the active supplier pair; Current capability and architecture evidence refs attached to the same draft,Re-entering the form from scratch; A screenshot of completed fields with no draft receipt,Named sponsor and commercial owner still approve when placeholders are replaced with real details.; Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live; Supplier sandbox and capability evidence review; Environment-specific binding publication before patient-visible actions widen,Allow masked draft screenshots only before commit and only when legal placeholders are still synthetic.,Resume the mock dossier from the current placeholder-backed stage receipt.,Later live drafting must use the same checkpoint model so supplier and assurance evidence stays versioned instead of retyped.,"/Users/test/Code/V/data/analysis/im1_pairing_pack.json; phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; seq_026; actual-field-sponsor-name; actual-field-commercial-owner; actual-field-named-approver"
CHK_006,act_im1_supported_test_admissibility_review,Review IM1 supported-test admissibility,gp_booking,GP systems / IM1,im1,seq_026,review,human_review_before_continue,human_review,review_checkpoint,review_reference,blocked,Sponsor / commercial; Safety / privacy assurance,IM1_NAMED_APPROVER; IM1_ENVIRONMENT_TARGET; IM1_SPONSOR_NAME; IM1_COMMERCIAL_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/im1-prerequisites-dry-run.spec.js,supported_test_request_review,Named admissibility review reference; Bounded MVP statement and supplier capability evidence linked to the same review,A completed request form with no reviewer identity; A provider portal login with no bounded-use-case sign-off,Human review confirms the supported-test request is admissible.; Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live; Supplier sandbox and capability evidence review; Environment-specific binding publication before patient-visible actions widen,Masked stills only. Legal names and supplier identifiers stay outside raw captures.,Compile the request pack and capture the evidence ladder that proves why the request is bounded and admissible.,A live supported-test request must not proceed unless the same review reference is current.,"/Users/test/Code/V/data/analysis/im1_pairing_pack.json; phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; seq_026; supported_test_request_review"
CHK_007,act_im1_license_signatory_handoff,Capture IM1 signatory handoff evidence and stop,gp_booking,GP systems / IM1,im1,seq_026,verify,capture_evidence_then_stop,capture_stop,review_checkpoint,review_reference,blocked,Signatory; Sponsor / commercial,IM1_NAMED_APPROVER; IM1_ENVIRONMENT_TARGET; IM1_SPONSOR_NAME; IM1_COMMERCIAL_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/im1-prerequisites-dry-run.spec.js,ROLE_COMMERCIAL_OWNER; provider_supplier_signatory,"Legal handoff reference or ticket id; Named sponsor, commercial owner, and approver identities stored outside the repo",Unapproved legal names in draft fields; A screenshot of signatory slots without a handoff reference,Named signatories complete the legal path outside browser automation.; Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live,Only masked stills of role labels are allowed. No real legal names or signatory details appear in captures.,Track signatory readiness and placeholder ownership only.,A human-owned signatory chain completes the real handoff outside browser automation.,/Users/test/Code/V/data/analysis/im1_pairing_pack.json; phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition; seq_026; ROLE_COMMERCIAL_OWNER; provider_supplier_signatory
CHK_008,act_im1_submission_commit,Submit IM1 provider request once,gp_booking,GP systems / IM1,im1,seq_026,commit,never_auto_repeat,never_auto_repeat,non_idempotent_mutation,provider_receipt,blocked,Signatory; Environment approval; Sponsor / commercial,IM1_NAMED_APPROVER; IM1_ENVIRONMENT_TARGET; IM1_SPONSOR_NAME; IM1_COMMERCIAL_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/im1-prerequisites-dry-run.spec.js,actual-submit-button,"Provider ticket or receipt id for the exact submission; Named approver, environment target, and explicit live flag bound to the same commit",A clicked button with no provider receipt; Refreshing the page and assuming the request landed,Named approver explicitly authorises the live submission against a current environment target.; Commercial and assurance approval before live supplier access; SCAL and supported-test evidence review before route capability goes live; Supplier sandbox and capability evidence review; Environment-specific binding publication before patient-visible actions widen,"Commit-phase screenshots are disabled by default. If a still is required, it must be masked and approved before capture.",Dry-run stops before the final submit and records why the commit remains blocked.,Later live submission requires a fresh provider receipt and never allows blind resubmission.,"/Users/test/Code/V/data/analysis/im1_pairing_pack.json; phase-4-the-booking-engine.md#4B Provider capability matrix and adapter seam; phase-4-the-booking-engine.md#4E Commit path; blueprint-init.md#1. Product definition; phase-4-the-booking-engine.md#4C Slot search; phase-6-the-pharmacy-loop.md#6F. Outcome ingest, Update Record observation, and reconciliation; seq_026; actual-submit-button"
CHK_009,act_pds_use_case_pack_draft,Resume PDS use-case and risk-pack drafting,pds,PDS,pds,seq_027,fill,resume_from_checkpoint_only,resume_only,draft_resume_safe,checkpoint_receipt,review_required,Legal / governance; Safety / privacy assurance,PDS_NAMED_APPROVER; PDS_ENVIRONMENT_TARGET; PDS_ORGANISATION_ODS; PDS_USE_CASE_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/pds-digital-onboarding-dry-run.spec.js,field_approver; field_environment; hazard_row; risk_row,Draft receipt linked to the chosen access mode; Current hazard and risk log references attached to the same draft,A restated use case without route binding; A green UI with no hazard or risk evidence refs,Governance review still approves which PDS access mode may proceed later.; Legal basis and governance approval before sandbox or live access; Tenant feature-flag review before any patient-visible enrichment,"Masked draft captures are allowed, but patient-like identifiers and organisation details must stay synthetic or obscured.",Keep the route flags default-off and resume the mock pack only from the current draft receipt.,"Later onboarding must reuse the checkpoint receipt so the legal basis, hazard log, and risk log stay aligned.","/Users/test/Code/V/data/analysis/pds_access_pack.json; phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes; seq_027; field_approver; field_environment; hazard_row; risk_row"
CHK_010,act_pds_legal_basis_review,Review PDS legal basis and feature-flag approval,pds,PDS,pds,seq_027,review,human_review_before_continue,human_review,review_checkpoint,review_reference,blocked,Legal / governance; Environment approval,PDS_NAMED_APPROVER; PDS_ENVIRONMENT_TARGET; PDS_ORGANISATION_ODS; PDS_USE_CASE_OWNER; ALLOW_REAL_PROVIDER_MUTATION,/Users/test/Code/V/tools/browser-automation/pds-digital-onboarding-dry-run.spec.js,page-tab-Use_Case_and_Legal_Basis; page-tab-Rollback_and_Kill_Switches,Named legal or governance approval reference; Rollback rehearsal evidence tied to the same route-bound access mode,A draft legal basis paragraph with no approver identity; An assumed rollback plan with no rehearsal reference,Legal basis and governance approval must exist before sandbox or live access.; Legal basis and governance approval before sandbox or live access; Tenant feature-flag review before any patient-visible enrichment,Only masked stills of approval metadata are allowed. No patient or operator identifiers in captures.,"Model the legal basis and rollback questions, then stop for approval.",Live access later reuses the same review posture and refuses any shortcut around legal sign-off.,"/Users/test/Code/V/data/analysis/pds_access_pack.json; phase-2-identity-and-echoes.md#2C. Patient linkage, demographic confidence, and optional PDS enrichment; blueprint-init.md#10. Identity, consent, security, and policy; phase-cards.md#Phase 2 - Identity and Echoes; seq_027; page-tab-Use_Case_and_Legal_Basis; page-tab-Rollback_and_Kill_Switches"
