task_id,track_family,track_label,eligibility_state,capability_owned,depends_on_tasks,required_upstream_contracts,produced_downstream_artifacts,shared_packages_or_interfaces,blocking_merge_dependencies,allowed_parallel_neighbors,owned_interface_seams,consumed_interface_seams,simulator_baseline_only,live_provider_later_note
par_144,backend_foundation,Draft session lease and autosave API,open,"Own the draft session lease boundary, autosave patch API, and resume-token-safe draft mutation cadence.",,IntakeDraftView; request.submitted event boundary; Phase1QuestionDefinitionSet,DraftSessionLease API surface; DraftAutosavePatchEnvelope; Resume token supersession hooks,services/command-api; packages/domains/intake_request; data/contracts/139_intake_draft_view.schema.json,MG_143_BACKEND_CONTRACT; MG_143_RUNTIME_PUBLICATION,par_145; par_146; par_147; par_155,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE,SEAM_143_PUBLIC_JOURNEY_AND_EVENT_SPINE; SEAM_143_REQUEST_TYPE_AND_QUESTION_SET,true,"Real auth or embedded routing may reuse the lease boundary later, but may not change the draft/public ID semantics."
par_145,backend_foundation,Submission envelope validation and required-field rules,open,"Own pre-submit readiness evaluation, required-field truth, and machine-readable validation output aligned to the frozen questionnaire contract.",par_144,Phase1QuestionDefinitionSet; Phase1QuestionnaireDecisionTableSet; IntakeDraftView,SubmissionEnvelopeValidationVerdict; RequiredFieldMeaning map; Questionnaire-to-submit readiness API,services/command-api; packages/domains/intake_request; data/contracts/140_question_definitions.json,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_144; par_146; par_147; par_155; par_156,SEAM_143_VALIDATION_AND_REQUIRED_FIELD_DISCIPLINE,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE; SEAM_143_REQUEST_TYPE_AND_QUESTION_SET,true,Later auth or provider work may consume the same readiness verdicts but may not redefine required-field meaning.
par_146,backend_foundation,"Attachment upload, scan, quarantine, and document reference pipeline",open,"Own signed upload initiation, quarantine-first scan settlement, duplicate replay, and draft-safe document reference projection.",par_144,Phase1AttachmentAcceptancePolicy; IntakeDraftView; intake.attachment.added/quarantined events,AttachmentUploadSession DTO; AttachmentScanSettlement; DocumentReference projection link,services/command-api; services/adapter-simulators; packages/domains/intake_request; data/contracts/141_attachment_acceptance_policy.json,MG_143_BACKEND_CONTRACT; MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_144; par_145; par_147; par_155; par_158,SEAM_143_ATTACHMENT_UPLOAD_AND_SCAN_SETTLEMENT,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE; SEAM_143_ATTACHMENT_POLICY_AND_PRESENTATION,true,"Live scanning or storage may replace simulator internals later, but the quarantine-first contract stays unchanged."
par_147,backend_foundation,Contact preference capture and masked storage,open,"Own contact preference persistence, masked projection output, and confirmation-safe storage semantics.",par_144,IntakeDraftView; Phase1QuestionDefinitionSet,ContactPreferencePatch DTO; MaskedContactPreferenceProjection,services/command-api; packages/domains/intake_request; data/contracts/140_question_definitions.json,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_144; par_145; par_146; par_155; par_159,SEAM_143_CONTACT_PREFERENCE_AND_MASKED_ROUTE,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE,true,"Real channel providers may change delivery transport later, but not the stored contact-preference grammar."
par_148,backend_foundation,Submission snapshot freeze and promotion transaction,open,"Own the exact promotion transaction from draft snapshot to canonical request, including settlement chain and immutable freeze record.",par_144; par_145; par_146; par_147,IntakeSubmitSettlement; request.submitted event boundary; Phase1AttachmentAcceptancePolicy,SubmissionSnapshotFreezeRecord; SubmissionPromotionTransaction; request.submitted emission,services/command-api; packages/domains/intake_request; packages/event-contracts,MG_143_BACKEND_CONTRACT; MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION,par_149; par_150; par_154; par_155,SEAM_143_PROMOTION_TRANSACTION_AND_SETTLEMENT_CHAIN,SEAM_143_DRAFT_AUTOSAVE_AND_RESUME_STATE; SEAM_143_VALIDATION_AND_REQUIRED_FIELD_DISCIPLINE; SEAM_143_ATTACHMENT_UPLOAD_AND_SCAN_SETTLEMENT; SEAM_143_CONTACT_PREFERENCE_AND_MASKED_ROUTE; SEAM_143_PUBLIC_JOURNEY_AND_EVENT_SPINE,true,Later downstream systems must consume the same promotion record rather than replacing the submit boundary.
par_149,backend_foundation,Free-text normalization into canonical request shape,open,Own deterministic normalization from questionnaire/draft text into canonical request fields without changing request-type meaning.,par_145; par_146; par_148,Phase1RequestTypeTaxonomy; Phase1QuestionDefinitionSet; SubmissionPromotionTransaction,CanonicalRequestNormalizationResult; intake.normalized emission hook,services/command-api; packages/domains/intake_request; data/contracts/140_request_type_taxonomy.json,MG_143_BACKEND_CONTRACT,par_148; par_150; par_151; par_155; par_156,SEAM_143_NORMALIZATION_RESULT_AND_CANONICAL_REQUEST_SHAPE,SEAM_143_PROMOTION_TRANSACTION_AND_SETTLEMENT_CHAIN; SEAM_143_REQUEST_TYPE_AND_QUESTION_SET; SEAM_143_ATTACHMENT_UPLOAD_AND_SCAN_SETTLEMENT,true,"Normalization may grow later, but it must continue to emit the same canonical request shape and event meaning."
par_150,backend_outcome,Rule-based synchronous safety engine,open,"Own synchronous safety screening, rule evaluation, and explicit urgent_diversion_required versus urgent_diverted state separation.",par_145; par_148; par_149,Phase1RedFlagRulePack; Phase1OutcomeCopyContract; CanonicalRequestNormalizationResult,SafetyDecisionRecord; SafetyPreemptionRecord; safety.screened and safety.urgent_diversion.required hooks,services/command-api; packages/domains/intake_safety; data/contracts/142_red_flag_decision_tables.yaml,MG_143_BACKEND_CONTRACT; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_149; par_151; par_152; par_155; par_160,SEAM_143_SAFETY_DECISION_AND_PREEMPTION_CHAIN,SEAM_143_NORMALIZATION_RESULT_AND_CANONICAL_REQUEST_SHAPE; SEAM_143_SAFETY_RULEBOOK_AND_OUTCOME_COPY; SEAM_143_VALIDATION_AND_REQUIRED_FIELD_DISCIPLINE,true,"Later clinical calibration may supersede thresholds, but not the canonical outcome state split or event names."
par_151,backend_outcome,Urgent-diversion settlement and receipt grammar,open,"Own settlement records and receipt grammar selection after safety screening, including hard-stop urgent handoff truth.",par_148; par_149; par_150,IntakeOutcomePresentationArtifact; Phase1OutcomeCopyContract; SafetyDecisionRecord,UrgentDiversionSettlement; OutcomeArtifactSelection; patient.receipt.issued and safety.urgent_diversion.completed hooks,services/command-api; packages/domains/intake_safety; data/contracts/142_outcome_copy_contract.json,MG_143_BACKEND_CONTRACT; MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_150; par_152; par_153; par_155; par_160; par_161,SEAM_143_OUTCOME_ARTIFACT_AND_URGENT_SETTLEMENT,SEAM_143_PROMOTION_TRANSACTION_AND_SETTLEMENT_CHAIN; SEAM_143_SAFETY_DECISION_AND_PREEMPTION_CHAIN; SEAM_143_SAFETY_RULEBOOK_AND_OUTCOME_COPY,true,"Later handoff channels may change transport, but not the issued-versus-required urgent state distinction."
par_152,backend_outcome,"Triage task creation, ETA engine, and minimal status tracking",open,"Own simulator-first triage task projection, ETA calculation, and minimal track-my-request status spine.",par_148; par_149; par_150; par_151,IntakeSubmitSettlement; UrgentDiversionSettlement; SafetyDecisionRecord,TriageTaskProjection; MinimalStatusProjection; triage.task.created hook,services/command-api; services/projection-worker; data/contracts/139_intake_submit_settlement.schema.json,MG_143_BACKEND_CONTRACT; MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_151; par_153; par_155; par_161; par_162,SEAM_143_TRIAGE_STATUS_AND_ETA_PROJECTION,SEAM_143_PROMOTION_TRANSACTION_AND_SETTLEMENT_CHAIN; SEAM_143_SAFETY_DECISION_AND_PREEMPTION_CHAIN; SEAM_143_OUTCOME_ARTIFACT_AND_URGENT_SETTLEMENT,true,"Live ETA and provider orchestration may refine estimates later, but the minimal status spine remains the same seam."
par_153,backend_outcome,Confirmation notification dispatch and observability,open,"Own queued confirmation payload construction, channel-safe wording, and observability for dispatch attempts.",par_147; par_151; par_152,Phase1OutcomeCopyContract; MaskedContactPreferenceProjection; TriageTaskProjection,NotificationDispatchPayload; communication.queued hook; Dispatch observability ledger,services/notification-worker; packages/observability; data/contracts/142_outcome_copy_contract.json,MG_143_RUNTIME_PUBLICATION; MG_143_PATIENT_SHELL_INTEGRATION; MG_143_TEST_ACCESSIBILITY,par_151; par_152; par_155; par_159; par_161,SEAM_143_NOTIFICATION_PAYLOAD_AND_DISPATCH_EVIDENCE,SEAM_143_CONTACT_PREFERENCE_AND_MASKED_ROUTE; SEAM_143_OUTCOME_ARTIFACT_AND_URGENT_SETTLEMENT; SEAM_143_TRIAGE_STATUS_AND_ETA_PROJECTION,true,"Real delivery channels may replace simulator transport later, but not the payload grammar or observability envelope."
