route,viewport,state,dominant_component,secondary_component,continuity_key,selected_anchor_policy,read_only_posture,handoff_targets,atlas_board,screenshot
/workspace,desktop,quiet,RecommendedQueueCard,InterruptDigestStack,staff.workspace.queue,recommended-queue-first,live,"/workspace/queue/:queueKey|/ops/overview|/ops/support",StartOfDayStateBoard,220-workspace-desktop-quiet.png
/workspace,tablet,busy,RecommendedQueueCard,PinnedWorkResumeCard,staff.workspace.queue,recommended-queue-first,live,"/workspace/queue/:queueKey|/ops/support",StartOfDayStateBoard,220-workspace-tablet-busy.png
/workspace,mobile,blocking,BlockingDependencyBanner,InterruptDigestStack,staff.workspace.queue,recommended-queue-first,blocked,"/ops/overview|/ops/support",DegradationBlockingBoard,220-workspace-mobile-blocking.png
/workspace/queue/:queueKey,desktop,quiet,RecommendedQueueCard,QueueSummaryList,staff.workspace.queue,selected-queue-persists,guarded,"/workspace|/ops/overview|/ops/support",RouteContinuityBoard,220-workspace-queue-desktop.png
/workspace/queue/:queueKey,tablet,degraded,BlockingDependencyBanner,PinnedWorkResumeCard,staff.workspace.queue,selected-queue-persists,read_only,"/workspace|/ops/support",DegradationBlockingBoard,220-workspace-queue-tablet-degraded.png
/ops/overview,desktop,quiet,OpsNorthStarRibbon,BottleneckRadarLite,ops.overview.control,ops-north-star-first,guarded,"/workspace|/workspace/queue/:queueKey|/ops/support",OpsCalmBusyEntryBoard,220-ops-overview-desktop-calm.png
/ops/overview,desktop,busy,BottleneckRadarLite,SupportDeskEntryPanel,ops.overview.control,ops-north-star-first,guarded,"/workspace|/ops/support",OpsCalmBusyEntryBoard,220-ops-overview-desktop-busy.png
/ops/overview,mobile,degraded,BlockingDependencyBanner,SupportDeskEntryPanel,ops.overview.control,ops-north-star-first,read_only,"/workspace|/ops/support",DegradationBlockingBoard,220-ops-overview-mobile-degraded.png
/ops/support,desktop,quiet,SupportDeskEntryPanel,InterruptDigestStack,support.workspace.tickets,support-home-entry,guarded,"/ops/support/inbox/:viewKey|/workspace|/ops/overview",SupportEntryInboxBoard,220-support-entry-desktop.png
/ops/support,desktop,degraded,BlockingDependencyBanner,SupportDeskEntryPanel,support.workspace.tickets,support-home-entry,read_only,"/ops/support/inbox/:viewKey|/workspace",DegradationBlockingBoard,220-support-entry-degraded.png
/ops/support/inbox/:viewKey,desktop,repair,SupportInboxViewSwitcher,SupportInboxProjection,support.workspace.tickets,support-inbox-view-persists,read_only,"/ops/support|/workspace|/ops/overview",SupportEntryInboxBoard,220-support-inbox-repair.png
/ops/support/inbox/:viewKey,desktop,changed,SupportInboxViewSwitcher,SupportInboxProjection,support.workspace.tickets,support-inbox-view-persists,read_only,"/ops/support|/workspace|/ops/overview",SupportEntryInboxBoard,220-support-inbox-changed.png
/ops/support/inbox/:viewKey,desktop,replay,SupportInboxViewSwitcher,BlockingDependencyBanner,support.workspace.tickets,support-inbox-view-persists,read_only,"/ops/support|/workspace|/ops/overview",SupportEntryInboxBoard,220-support-inbox-replay.png
/ops/support/inbox/:viewKey,mobile,blocking,BlockingDependencyBanner,SupportInboxProjection,support.workspace.tickets,support-inbox-view-persists,blocked,"/ops/support|/workspace",DegradationBlockingBoard,220-support-inbox-mobile-blocking.png
/docs/frontend/220_staff_entry_atlas.html,desktop,reference,StaffEntryShellAnatomyBoard,RouteContinuityBoard,staff_entry_same_shell,atlas-reference,read_only,"n/a",StaffEntryShellAnatomyBoard,220-staff-entry-atlas.png
/docs/frontend/220_staff_entry_visual_grammar.html,desktop,reference,Quiet_Internal_Control,token-and-component-grammar,staff_entry_same_shell,visual-grammar-reference,read_only,"n/a",OpsCalmBusyEntryBoard,220-staff-entry-visual-grammar.png
