mappingRowId,fhirRepresentationContractId,owningBoundedContextRef,governingAggregateType,representationPurpose,resourceType,profileCanonicalUrl,identifierPolicyRef,statusMappingPolicyRef,cardinalityPolicyRef,redactionPolicyRef,companionArtifactPolicyRef,replayPolicyRef,supersessionPolicyRef,callbackCorrelationPolicyRef,exchangeBundlePolicyRef,materializationDisposition,defectState,rationale
MAP_frc-049-audit-record-audit-companion-v1_auditevent,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,audit_compliance,AuditRecord,audit_companion,AuditEvent,https://vecells.example/fhir/StructureDefinition/vecells-audit-event,IDPOL_049_AUDIT_CHAIN_HASH,STPOL_049_AUDIT_COMPANION,CARDPOL_049_SINGLE_AUDIT_EVENT_PLUS_PROVENANCE,REDPOL_049_AUDIT_COMPANION_MASKED,COMPPOL_049_AUDIT_HASH_JOIN,REPLAYPOL_049_AUDIT_HASH_APPEND_ONLY,SUPPOL_049_AUDIT_APPEND_ONLY_COMPANION,CALLPOL_049_NONE,FXBP_049_AUDIT_COMPANION_EXPORT_DOCUMENT,allowed,watch,FHIR AuditEvent and Provenance remain companion outputs derived from immutable internal audit joins only.
MAP_frc-049-audit-record-audit-companion-v1_provenance,FRC_049_AUDIT_RECORD_AUDIT_COMPANION_V1,audit_compliance,AuditRecord,audit_companion,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-audit-provenance,IDPOL_049_AUDIT_CHAIN_HASH,STPOL_049_AUDIT_COMPANION,CARDPOL_049_SINGLE_AUDIT_EVENT_PLUS_PROVENANCE,REDPOL_049_AUDIT_COMPANION_MASKED,COMPPOL_049_AUDIT_HASH_JOIN,REPLAYPOL_049_AUDIT_HASH_APPEND_ONLY,SUPPOL_049_AUDIT_APPEND_ONLY_COMPANION,CALLPOL_049_NONE,FXBP_049_AUDIT_COMPANION_EXPORT_DOCUMENT,allowed,watch,FHIR AuditEvent and Provenance remain companion outputs derived from immutable internal audit joins only.
MAP_frc-049-booking-case-external-interchange-v1_communication,FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,booking,BookingCase,external_interchange,Communication,https://vecells.example/fhir/StructureDefinition/vecells-booking-communication,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,allowed,active,Booking commitment becomes FHIR only when a real external service commitment exists and remains bound to confirmation truth.
MAP_frc-049-booking-case-external-interchange-v1_provenance,FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,booking,BookingCase,external_interchange,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-booking-provenance,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,allowed,active,Booking commitment becomes FHIR only when a real external service commitment exists and remains bound to confirmation truth.
MAP_frc-049-booking-case-external-interchange-v1_servicerequest,FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,booking,BookingCase,external_interchange,ServiceRequest,https://vecells.example/fhir/StructureDefinition/vecells-booking-service-request,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,allowed,active,Booking commitment becomes FHIR only when a real external service commitment exists and remains bound to confirmation truth.
MAP_frc-049-booking-case-external-interchange-v1_task,FRC_049_BOOKING_CASE_EXTERNAL_INTERCHANGE_V1,booking,BookingCase,external_interchange,Task,https://vecells.example/fhir/StructureDefinition/vecells-booking-task,IDPOL_049_EXTERNAL_COMMITMENT_CASE,STPOL_049_BOOKING_COMMITMENT,CARDPOL_049_SINGLE_SERVICE_REQUEST_COMMITMENT,REDPOL_049_MINIMAL_PARTNER_INTERCHANGE,COMPPOL_049_PARTNER_EXCHANGE_MANIFEST,REPLAYPOL_049_COMMITMENT_PROOF_STABLE_SERVICE_REQUEST,SUPPOL_049_COMMITMENT_SUPERSESSION_ON_AUTHORITATIVE_REFRESH,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_BOOKING_PARTNER_OUTBOUND_MESSAGE,allowed,active,Booking commitment becomes FHIR only when a real external service commitment exists and remains bound to confirmation truth.
MAP_frc-049-booking-case-partner-callback-correlation-v1_communication,FRC_049_BOOKING_CASE_PARTNER_CALLBACK_CORRELATION_V1,booking,BookingCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-booking-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Async supplier callbacks correlate through one published callback companion instead of custom booking-adapter payloads.
MAP_frc-049-booking-case-partner-callback-correlation-v1_provenance,FRC_049_BOOKING_CASE_PARTNER_CALLBACK_CORRELATION_V1,booking,BookingCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-booking-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Async supplier callbacks correlate through one published callback companion instead of custom booking-adapter payloads.
MAP_frc-049-callback-case-partner-callback-correlation-v1_communication,FRC_049_CALLBACK_CASE_PARTNER_CALLBACK_CORRELATION_V1,communications,CallbackCase,partner_callback_correlation,Communication,https://vecells.example/fhir/StructureDefinition/vecells-callback-communication,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Partner callback correlation remains explicit and replay-safe instead of living inside ad hoc webhook handlers.
MAP_frc-049-callback-case-partner-callback-correlation-v1_provenance,FRC_049_CALLBACK_CASE_PARTNER_CALLBACK_CORRELATION_V1,communications,CallbackCase,partner_callback_correlation,Provenance,https://vecells.example/fhir/StructureDefinition/vecells-callback-provenance,IDPOL_049_TRANSPORT_CORRELATION_RECORD,STPOL_049_MESSAGE_COMMUNICATION,CARDPOL_049_SINGLE_COMMUNICATION_PER_DISPATCH,REDPOL_049_CALLBACK_CORRELATION_MINIMAL,COMPPOL_049_CALLBACK_RECEIPT_REFS,REPLAYPOL_049_TRANSPORT_CORRELATION_STABLE_CALLBACK_SET,SUPPOL_049_CALLBACK_SUPERSESSION_ON_GATE_ROTATION,CALLPOL_049_EXTERNAL_CONFIRMATION_GATE,FXBP_049_PARTNER_CALLBACK_INBOUND_COLLECTION,allowed,active,Partner callback correlation remains explicit and replay-safe instead of living inside ad hoc webhook handlers.
