rule_ref,rule_kind,dependency_group_ref,antecedent_ref_type,antecedent_ref,missingness_mode,weight,source_ref
RULE_HARDSTOP_URGENT_RED_FLAG,hard_stop,clinical_red_flags,feature,urgent_red_flag,conservative_hold,1.9,blueprint/phase-0-the-foundation-protocol.md#7.2.1 Canonical urgent and residual-risk functions
RULE_HARDSTOP_URGENT_RED_FLAG,hard_stop,clinical_red_flags,feature,respiratory_distress,conservative_hold,1.9,blueprint/phase-0-the-foundation-protocol.md#7.2.1 Canonical urgent and residual-risk functions
RULE_HARDSTOP_URGENT_RED_FLAG,hard_stop,clinical_red_flags,feature,severe_bleeding,conservative_hold,1.9,blueprint/phase-0-the-foundation-protocol.md#7.2.1 Canonical urgent and residual-risk functions
RULE_URGENT_CALLBACK_FAILURE,urgent,contact_failures,feature,urgent_contact_failure,ignore,1.2,blueprint/phase-0-the-foundation-protocol.md#7.1.2 Reachability-risk function
RULE_URGENT_CALLBACK_FAILURE,urgent,contact_failures,feature,callback_unreachable,ignore,1.2,blueprint/phase-0-the-foundation-protocol.md#7.1.2 Reachability-risk function
RULE_URGENT_CALLBACK_FAILURE,urgent,contact_failures,dependency,reachability_callback,ignore,1.2,blueprint/phase-0-the-foundation-protocol.md#7.1.2 Reachability-risk function
RULE_URGENT_CALLBACK_FAILURE,urgent,contact_failures,dependency,reachability_urgent_return,ignore,1.2,blueprint/phase-0-the-foundation-protocol.md#7.1.2 Reachability-risk function
RULE_URGENT_CRITICAL_CONTRADICTION,urgent,contradiction_burden,feature,critical_contradiction,ignore,1.15,blueprint/phase-0-the-foundation-protocol.md#7.1.1 Composite evidence, reliability, and contradiction handling
RULE_RESIDUAL_NEW_CLINICAL_DETAIL,residual,clinical_red_flags,feature,new_clinical_detail,ignore,0.85,blueprint/phase-0-the-foundation-protocol.md#7.2.1 Canonical urgent and residual-risk functions
RULE_RESIDUAL_NEW_CLINICAL_DETAIL,residual,clinical_red_flags,feature,symptom_worsened,ignore,0.85,blueprint/phase-0-the-foundation-protocol.md#7.2.1 Canonical urgent and residual-risk functions
RULE_RESIDUAL_CHRONOLOGY_DRIFT,residual,chronology_shifts,feature,backdated_event,ignore,0.75,blueprint/phase-0-the-foundation-protocol.md#7.1 Clinical chronology and system chronology
RULE_RESIDUAL_CHRONOLOGY_DRIFT,residual,chronology_shifts,feature,timing_conflict,ignore,0.75,blueprint/phase-0-the-foundation-protocol.md#7.1 Clinical chronology and system chronology
RULE_RESIDUAL_CONSENT_WITHDRAWAL,residual,consent_and_pharmacy,feature,consent_withdrawn,ignore,0.9,blueprint/phase-6-the-pharmacy-loop.md#Purpose
RULE_RESIDUAL_CONSENT_WITHDRAWAL,residual,consent_and_pharmacy,feature,weak_pharmacy_match,ignore,0.9,blueprint/phase-6-the-pharmacy-loop.md#Purpose
