contrast_matrix_id,theme,contrast,semantic_role,foreground_token,background_token,foreground_hex,background_hex,contrast_ratio,minimum_ratio,status
light_standard_surface_text_sys.text.strong_sys.surface.canvas,light,standard,surface_text,sys.text.strong,sys.surface.canvas,#0F1720,#F7F8FA,16.98,7.00,pass
light_standard_surface_text_sys.text.default_sys.surface.panel,light,standard,surface_text,sys.text.default,sys.surface.panel,#24313D,#FFFFFF,13.28,4.50,pass
light_standard_surface_text_sys.text.muted_sys.surface.panel,light,standard,surface_text,sys.text.muted,sys.surface.panel,#5E6B78,#FFFFFF,5.45,4.50,pass
light_standard_focus_sys.focus.ring_sys.surface.panel,light,standard,focus,sys.focus.ring,sys.surface.panel,#2F6FED,#FFFFFF,4.55,3.00,pass
light_standard_neutral_text_sys.state.neutral.text_sys.state.neutral.container,light,standard,neutral_text,sys.state.neutral.text,sys.state.neutral.container,#0F1720,#E8EEF3,15.43,4.50,pass
light_standard_neutral_border_sys.state.neutral.border_sys.state.neutral.container,light,standard,neutral_border,sys.state.neutral.border,sys.state.neutral.container,#777f87,#E8EEF3,3.47,3.00,pass
light_standard_active_text_sys.state.active.text_sys.state.active.container,light,standard,active_text,sys.state.active.text,sys.state.active.container,#0F1720,#eaf1fd,15.90,4.50,pass
light_standard_active_border_sys.state.active.border_sys.state.active.container,light,standard,active_border,sys.state.active.border,sys.state.active.container,#2F6FED,#eaf1fd,4.01,3.00,pass
light_standard_review_text_sys.state.review.text_sys.state.review.container,light,standard,review_text,sys.state.review.text,sys.state.review.container,#0F1720,#f8f2e9,16.21,4.50,pass
light_standard_review_border_sys.state.review.border_sys.state.review.container,light,standard,review_border,sys.state.review.border,sys.state.review.container,#B7791F,#f8f2e9,3.27,3.00,pass
light_standard_insight_text_sys.state.insight.text_sys.state.insight.container,light,standard,insight_text,sys.state.insight.text,sys.state.insight.container,#0F1720,#efeffe,15.85,4.50,pass
light_standard_insight_border_sys.state.insight.border_sys.state.insight.container,light,standard,insight_border,sys.state.insight.border,sys.state.insight.container,#5B61F6,#efeffe,4.11,3.00,pass
