control_id,control_domain,requirement_summary,baseline_tooling_family_ref,enforcement_point,control_type,authoritative_object_refs,evidence_refs,source_refs,notes
SEC_PUBLIC_EDGE_FILTERING,ingress_hardening,"Public ingress enforces rate limit, origin policy, TLS, and attack-surface filtering before the gateway.",FAM_SECURITY_POLICY_GATE,public edge and published gateway,preventive,GatewayBffSurface; PipelineStageSettlement,ingress policy bundle; edge policy conformance suite,platform-runtime-and-release-blueprint.md#Security baseline contract; 11_gateway_surface_and_runtime_topology_baseline.md,No public traffic reaches application workloads without this filter chain.
SEC_SESSION_SPLIT,session_security,"Patient and staff sessions use separate secure cookie scopes, CSRF posture, and expiry behavior.",FAM_SECURITY_POLICY_GATE,gateway and auth policy,preventive,SessionPolicyRef; RouteIntentBinding,session policy compile proof; identity and session regression suites,platform-runtime-and-release-blueprint.md#Security baseline contract; phase-2-the-identity-and-echoes.md,Prevents cross-scope cookie reuse and patient or staff session confusion.
SEC_BROWSER_POLICY_HEADERS,browser_hardening,"Browser-delivered surfaces publish CSP, frame-ancestor, referrer, and download handling policy explicitly.",FAM_SECURITY_POLICY_GATE,runtime publication and browser surface build,preventive,FrontendContractManifest; RuntimePublicationBundle,browser header conformance pack; embedded and artifact route posture proof,platform-runtime-and-release-blueprint.md#Security baseline contract; platform-frontend-blueprint.md,"Includes embedded and artifact handoff posture, not only ordinary browser pages."
SEC_SECRET_STORE_AND_KMS,secret_management,"Secrets come only from managed secret store or KMS-backed custody, never from source control or long-lived CI variables.",FAM_SECURITY_POLICY_GATE,"build, deploy, runtime, and operator actions",preventive,PipelineStageSettlement; PipelineEmergencyException,secret access policy bundle; credential sourcing attestations,platform-runtime-and-release-blueprint.md#Security baseline contract; prompt/015.md,This is the baseline secret law and is intentionally linked to the unresolved HSM provisioning gap.
SEC_ENCRYPTION_AT_REST,data_protection,"Transactional stores, backups, object storage, queue persistence, and audit exports are encrypted at rest.",FAM_SECURITY_POLICY_GATE,data and backup stores,preventive,BackupSetManifest; RecoveryEvidenceArtifact,storage encryption conformance suite; backup manifest encryption attestations,"platform-runtime-and-release-blueprint.md#Security baseline contract; phase-9-the-assurance-ledger.md#9F. Resilience architecture, restore orchestration, and chaos programme","Applies to audit exports and recovery artifacts, not only application databases."
SEC_PHI_SAFE_SIGNALING,telemetry_redaction,"Logs, traces, metrics, and UI telemetry carry correlation IDs but never raw PHI beyond the task-010 disclosure ceiling.",FAM_SIGNAL_PIPELINE,"collector, UI telemetry fence, and alert exporter",preventive_and_detective,UITelemetryDisclosureFence; AuditEventDisclosureMatrix,telemetry schema allow-list; redaction regression suite,platform-runtime-and-release-blueprint.md#Security baseline contract; 10_audit_posture_and_event_disclosure.md,This directly closes the PHI-leak telemetry gap called out in prompt 015.
SEC_SERVICE_IDENTITY_EGRESS,service_identity,Service identities follow least privilege and egress is allow-listed per workload family.,FAM_SECURITY_POLICY_GATE,workload identity and network policy,preventive,RuntimeWorkloadFamily; TrustZoneBoundary,egress policy pack; trust-zone conformance suite,platform-runtime-and-release-blueprint.md#Security baseline contract; 11_trust_zone_and_workload_family_strategy.md,Provider-specific adapter egress remains explicit and narrow.
SEC_SIGNING_AND_SBOM,supply_chain,"Artifact signing, provenance, and SBOM generation are mandatory rather than optional release attachments.",FAM_PROVENANCE_SIGNING_SBOM,sbom_sign pipeline stage and runtime publication gate,preventive,BuildProvenanceRecord; ReleaseCandidate; PipelineStageSettlement,signed artifact digest set; SBOM publication bundle; provenance verification verdict,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; prompt/015.md,Live runtime consumption is blocked unless provenance remains publishable.
SEC_SCANNER_SUITE,scanner_coverage,"Run SAST, dependency, IaC, container, and secret scanning with policy gate enforcement.",FAM_SECURITY_POLICY_GATE,"static_gate, sbom_sign, and preprod security gate",preventive_and_detective,StandardsDependencyWatchlist; PipelineStageSettlement,scanner decision record; watchlist hash; exception approval bundle,prompt/015.md; platform-runtime-and-release-blueprint.md#Verification ladder contract; platform-admin-and-config-blueprint.md#Dependency and standards hygiene,Exceptions remain candidate-bound and immutable.
SEC_POLICY_ENFORCED_RELEASE,policy_gate,Every posture-changing pipeline stage settles through an authoritative stage record and policy gate.,FAM_RELEASE_TUPLE_ORCHESTRATION,every live posture changing stage,preventive,PipelineExecutionRecord; PipelineStageSettlement; VerificationScenario,stage settlement chain; policy decision bundle; release tuple digest,platform-runtime-and-release-blueprint.md#CI/CD and supply-chain pipeline contract; platform-admin-and-config-blueprint.md#Change control rules,Hidden CI-only progress is explicitly non-authoritative.
