rowId,capabilityFamily,status,proofMode,phaseRefs,currentIssueRefs,owningTasks,blockingRationale,primaryEvidenceRef
PH4_ROW_01,Local booking core invariants and commit fencing,approved,local_verified,4B;4C;4D;4E,,seq_307;par_283;par_284;par_285;par_286;par_287,,/Users/test/Code/V/data/test-reports/307_booking_core_matrix_results.json
PH4_ROW_02,"Provider capability boundary, unsupported paths, and evidence-class honesty",go_with_constraints,mixed_local_and_sandbox,4B;4I,ISSUE310_004,seq_307;seq_310;seq_313,"This is sufficient for local-first foundation truth, but not for live or cross-organisation provider parity claims.",/Users/test/Code/V/data/test-reports/307_booking_core_matrix_results.json
PH4_ROW_03,"Ambiguous confirmation, compensation, and recovery truth",approved,local_verified,4E;4G,,seq_307;seq_308;par_292;seq_309,,/Users/test/Code/V/data/test-reports/307_booking_core_matrix_results.json
PH4_ROW_04,"Manage commands, waitlist continuation, assisted booking, and reconciliation parity",approved,local_verified,4F;4G,,seq_308;par_288;par_290;par_291;par_292,,/Users/test/Code/V/data/test-reports/308_manage_waitlist_assisted_results.json
PH4_ROW_05,"Patient and staff shell continuity, route publication, and embedded parity",approved,local_browser_and_service,4A;4I,,seq_308;seq_309;par_296;par_297;par_298,,/Users/test/Code/V/data/test-reports/308_manage_waitlist_assisted_results.json
PH4_ROW_06,"Artifact presentation, print-export parity, and outbound navigation policy",approved,local_browser_and_service,4F;4G;4I,,seq_308;seq_309;par_299,,/Users/test/Code/V/output/playwright/308-reconciliation-artifact-parity.png
PH4_ROW_07,"Accessibility, keyboard flow, reduced motion, and visual parity",approved,local_browser_and_service,4I,,seq_307;seq_308;seq_309,,/Users/test/Code/V/data/test-reports/309_phase4_accessibility_results.json
PH4_ROW_08,"Lifecycle, reminders, notifications, and quiet re-entry",approved,local_browser_and_service,4G;4I,,par_289;seq_309,,/Users/test/Code/V/data/test-reports/309_phase4_e2e_results.json
PH4_ROW_09,Performance budgets and release-watch support posture,go_with_constraints,local_verified_with_follow_up,4I,ISSUE310_002;ISSUE310_003,seq_309;seq_314,"The load probe recorded p75 interaction times of 334.42ms, 744.8ms, and 1648.76ms against the 200ms support target.",/Users/test/Code/V/data/test-reports/309_phase4_performance_results.json
PH4_ROW_10,Release safety evidence and rollback rehearsal completeness,withheld,release_evidence_missing,4I,ISSUE310_001;ISSUE310_002,seq_310;seq_314;seq_341,These evidence families are mandatory in the Phase 4 algorithm. Their absence blocks an `approved` exit and blocks any widened rollout claim.,/Users/test/Code/V/data/test-reports/309_phase4_e2e_results.json
