gateway_surface_id,gateway_surface_name,audience_surface_id,route_family_id,shell_type,app_package_id,stack_option_id,bff_pattern_option_id,session_policy_ref,tenant_isolation_mode,blast_radius_mode,downstream_family_refs,trust_zone_boundary_refs,acting_scope_profile_refs,contract_manifest_id,route_runtime_shape,split_reason,notes,source_refs
gws_patient_intake_web,Patient intake entry gateway,surf_patient_intake_web,rf_intake_self_service,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_PUBLIC_EPHEMERAL,shared_public_pre_tenant,pending_subject_lineage_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,fcm_intake_self_service,typed_query_plus_mutation_plus_live_contracts,Public pre-identity routes stay narrow so intake and telephony parity cannot inherit authenticated cache or session assumptions.,"Web intake remains in the same lineage until claim or promotion, so the gateway stays narrow and intake-specific.",blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#12.1 Mandatory audience tiers; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_intake_phone,Telephony / IVR intake capture gateway,surf_patient_intake_phone,rf_intake_telephony_capture,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_TELEPHONY_CAPTURE_PROXY,shared_public_pre_tenant,pending_subject_lineage_only,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_PUBLIC_INTAKE,fcm_intake_telephony_capture,typed_query_plus_mutation_plus_live_contracts,Public pre-identity routes stay narrow so intake and telephony parity cannot inherit authenticated cache or session assumptions.,Telephony capture shares the intake lineage but not the web gateway contract because session policy and dependency posture differ.,blueprint-init.md#2. Core product surfaces; phase-0-the-foundation-protocol.md#0.2 Continuity key and shell law; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_secure_link_recovery,Secure-link recovery and claim resume gateway,surf_patient_secure_link_recovery,rf_patient_secure_link_recovery,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_GRANT_SCOPED_RECOVERY,tenant_scoped_lineage_grant,single_subject_single_lineage,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_GRANT_RECOVERY,fcm_patient_secure_link_recovery,typed_query_plus_mutation_plus_live_contracts,Secure-link recovery needs its own grant-scoped boundary and recovery-only fallback posture.,Secure-link recovery is deliberately isolated from the broader authenticated patient gateway posture.,"patient-account-and-communications-blueprint.md#Patient audience coverage contract; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_home,Patient home and spotlight gateway,surf_patient_home,rf_patient_home,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_projection,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_home,typed_query_plus_mutation_plus_live_contracts,Read-dominant surfaces stay split from writable peers because session and cache scope differ.,Home is projection-only because it orients and launches follow-up work but does not itself settle commands.,patient-portal-experience-architecture-blueprint.md#Portal entry and shell topology; patient-account-and-communications-blueprint.md#Patient home contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_requests,Request list and detail gateway,surf_patient_requests,rf_patient_requests,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_request_family,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_requests,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,"Request detail, more-info reply, and child-work entry require a narrower gateway than patient home.",patient-account-and-communications-blueprint.md#Requests browsing contract; patient-account-and-communications-blueprint.md#Request detail contract; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_appointments,Appointments and manage gateway,surf_patient_appointments,rf_patient_appointments,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_booking_family,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_appointments,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,Booking manage and confirmation truth stay distinct from general request detail and require their own recovery posture.,"phase-0-the-foundation-protocol.md#5.6 Booking, waitlist, hub, and pharmacy continuity algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_patient_health_record,Patient health record and documents gateway,surf_patient_health_record,rf_patient_health_record,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_record_projection,projection,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_health_record,typed_query_plus_mutation_plus_live_contracts,Read-dominant surfaces stay split from writable peers because session and cache scope differ.,Record viewing is projection- and artifact-governed and never grants broad patient mutation access.,phase-0-the-foundation-protocol.md#5.5A Patient record and results visualization algorithm; patient-account-and-communications-blueprint.md#Core projections; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_messages,Messages and callback thread gateway,surf_patient_messages,rf_patient_messages,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_AUTHENTICATED_SHELL,tenant_scoped_subject,single_tenant_subject_message_thread,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_AUTHENTICATED,fcm_patient_messages,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_PATIENT_AUTHENTICATED_SHELL and tenant_scoped_subject must stay auditable at the route-family tuple level.,"Conversation reply, callback repair, and clinician-message posture stay inside a message-specific gateway contract.",phase-0-the-foundation-protocol.md#5.5 Unified care conversation algorithm; callback-and-clinician-messaging-loop.md; platform-runtime-and-release-blueprint.md#GatewayBffSurface
gws_patient_embedded_shell,Embedded patient shell reuse gateway,surf_patient_embedded_shell,rf_patient_embedded_channel,patient,app_patient_web,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_PATIENT_EMBEDDED_HOST_BOUND,tenant_scoped_subject_embedded,single_tenant_subject_embedded_channel,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_PATIENT_EMBEDDED,fcm_patient_embedded_channel,typed_query_plus_mutation_plus_live_contracts,Embedded patient shell parity must stay separate from browser mode because host binding and release checks differ.,Deferred Phase 7 channel mapping exists now so future embedded work cannot silently widen the main patient gateway.,"patient-portal-experience-architecture-blueprint.md#Control priorities; phase-0-the-foundation-protocol.md#5.4 Claim, secure-link, and embedded access algorithm; platform-runtime-and-release-blueprint.md#GatewayBffSurface"
gws_clinician_workspace,Clinical Workspace queue and task canvas gateway,surf_clinician_workspace,rf_staff_workspace,staff,app_clinical_workspace,OPT_REACT_TS_VITE_TANSTACK,BFF_ROUTE_FAMILY_SPLIT,SP_STAFF_SSO_SINGLE_ORG,tenant_org_partition,single_tenant_single_org_operational_slice,projection; command,tzb_public_edge_to_published_gateway; tzb_published_gateway_to_application_core,ACT_STAFF_SINGLE_ORG,fcm_staff_workspace,typed_query_plus_mutation_plus_live_contracts,Split remains published because SP_STAFF_SSO_SINGLE_ORG and tenant_org_partition must stay auditable at the route-family tuple level.,Clinical workspace command authority remains single-organisation unless hub or governance tuple changes prove otherwise.,staff-workspace-interface-architecture.md#Route family; staff-operations-and-support-blueprint.md#Clinical Workspace specialization; platform-runtime-and-release-blueprint.md#GatewayBffSurface
