watch_evidence_id,release_watch_tuple_id,release_id,environment_ring,wave_state,evidence_kind,evidence_label,evidence_ref,required_state,current_state,blocking_effect,source_refs
WE_LOCAL_RELEASE_APPROVAL_FREEZE_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,release_approval_freeze,Approval freeze,RAF_LOCAL_V1,active,active,"Promotion, resume, and writable posture stop if the approved freeze expires or drifts.",blueprint/phase-0-the-foundation-protocol.md#1.24 ReleaseApprovalFreeze
WE_LOCAL_RUNTIME_PUBLICATION_BUNDLE_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,runtime_publication_bundle,Runtime publication bundle,RPB_LOCAL_V1,published,published,"No runtime publication means no live authority, regardless of deployment dashboards.",blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle
WE_LOCAL_PUBLICATION_PARITY_RECORD_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,publication_parity_record,Publication parity verdict,RPP_LOCAL_V1,exact,exact,Wave widening and calm trust block unless parity remains exact.,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
WE_LOCAL_WAVE_GUARDRAIL_SNAPSHOT_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,wave_guardrail_snapshot,Wave guardrail snapshot,WGS_LOCAL_V1,current,current,Scope and guardrail drift supersede the tuple and force a fresh wave publication.,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple
WE_LOCAL_WAVE_OBSERVATION_POLICY_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,wave_observation_policy,Observation policy,WOP_LOCAL_V1,armed,armed,"Operators cannot shorten, extend, or replace dwell obligations from memory or chat.",blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
WE_LOCAL_ROLLBACK_READINESS_PACK_V1,RWT_LOCAL_V1,RC_LOCAL_V1,local,draft,rollback_readiness_pack,Rollback readiness,RRP_LOCAL_V1,ready,ready,"Resume, widen, and recovery activation halt on constrained or blocked rollback readiness.","docs/architecture/16_release_assurance_and_resilience_architecture.md#Release, Assurance, and Resilience Architecture"
WE_CI_PREVIEW_RELEASE_APPROVAL_FREEZE_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,release_approval_freeze,Approval freeze,RAF_CI_PREVIEW_V1,active,active,"Promotion, resume, and writable posture stop if the approved freeze expires or drifts.",blueprint/phase-0-the-foundation-protocol.md#1.24 ReleaseApprovalFreeze
WE_CI_PREVIEW_RUNTIME_PUBLICATION_BUNDLE_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,runtime_publication_bundle,Runtime publication bundle,RPB_CI_PREVIEW_V1,published,published,"No runtime publication means no live authority, regardless of deployment dashboards.",blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle
WE_CI_PREVIEW_PUBLICATION_PARITY_RECORD_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,publication_parity_record,Publication parity verdict,RPP_CI_PREVIEW_V1,exact,exact,Wave widening and calm trust block unless parity remains exact.,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
WE_CI_PREVIEW_WAVE_GUARDRAIL_SNAPSHOT_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,wave_guardrail_snapshot,Wave guardrail snapshot,WGS_CI_PREVIEW_V1,current,current,Scope and guardrail drift supersede the tuple and force a fresh wave publication.,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple
WE_CI_PREVIEW_WAVE_OBSERVATION_POLICY_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,wave_observation_policy,Observation policy,WOP_CI_PREVIEW_V1,armed,armed,"Operators cannot shorten, extend, or replace dwell obligations from memory or chat.",blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
WE_CI_PREVIEW_ROLLBACK_READINESS_PACK_V1,RWT_CI_PREVIEW_V1,RC_CI_PREVIEW_V1,ci-preview,preview_ready,rollback_readiness_pack,Rollback readiness,RRP_CI_PREVIEW_V1,ready,ready,"Resume, widen, and recovery activation halt on constrained or blocked rollback readiness.","docs/architecture/16_release_assurance_and_resilience_architecture.md#Release, Assurance, and Resilience Architecture"
WE_INTEGRATION_RELEASE_APPROVAL_FREEZE_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,release_approval_freeze,Approval freeze,RAF_INTEGRATION_V1,active,active,"Promotion, resume, and writable posture stop if the approved freeze expires or drifts.",blueprint/phase-0-the-foundation-protocol.md#1.24 ReleaseApprovalFreeze
WE_INTEGRATION_RUNTIME_PUBLICATION_BUNDLE_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,runtime_publication_bundle,Runtime publication bundle,RPB_INTEGRATION_V1,published,stale,"No runtime publication means no live authority, regardless of deployment dashboards.",blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle
WE_INTEGRATION_PUBLICATION_PARITY_RECORD_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,publication_parity_record,Publication parity verdict,RPP_INTEGRATION_V1,exact,stale,Wave widening and calm trust block unless parity remains exact.,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
WE_INTEGRATION_WAVE_GUARDRAIL_SNAPSHOT_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,wave_guardrail_snapshot,Wave guardrail snapshot,WGS_INTEGRATION_V1,current,stale,Scope and guardrail drift supersede the tuple and force a fresh wave publication.,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple
WE_INTEGRATION_WAVE_OBSERVATION_POLICY_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,wave_observation_policy,Observation policy,WOP_INTEGRATION_V1,armed,blocked,"Operators cannot shorten, extend, or replace dwell obligations from memory or chat.",blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
WE_INTEGRATION_ROLLBACK_READINESS_PACK_V1,RWT_INTEGRATION_V1,RC_INTEGRATION_V1,integration,integration_rehearsal,rollback_readiness_pack,Rollback readiness,RRP_INTEGRATION_V1,ready,constrained,"Resume, widen, and recovery activation halt on constrained or blocked rollback readiness.","docs/architecture/16_release_assurance_and_resilience_architecture.md#Release, Assurance, and Resilience Architecture"
WE_PREPROD_RELEASE_APPROVAL_FREEZE_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,release_approval_freeze,Approval freeze,RAF_PREPROD_V1,active,active,"Promotion, resume, and writable posture stop if the approved freeze expires or drifts.",blueprint/phase-0-the-foundation-protocol.md#1.24 ReleaseApprovalFreeze
WE_PREPROD_RUNTIME_PUBLICATION_BUNDLE_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,runtime_publication_bundle,Runtime publication bundle,RPB_PREPROD_V1,published,conflict,"No runtime publication means no live authority, regardless of deployment dashboards.",blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle
WE_PREPROD_PUBLICATION_PARITY_RECORD_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,publication_parity_record,Publication parity verdict,RPP_PREPROD_V1,exact,conflict,Wave widening and calm trust block unless parity remains exact.,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
WE_PREPROD_WAVE_GUARDRAIL_SNAPSHOT_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,wave_guardrail_snapshot,Wave guardrail snapshot,WGS_PREPROD_V1,current,stale,Scope and guardrail drift supersede the tuple and force a fresh wave publication.,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple
WE_PREPROD_WAVE_OBSERVATION_POLICY_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,wave_observation_policy,Observation policy,WOP_PREPROD_V1,armed,blocked,"Operators cannot shorten, extend, or replace dwell obligations from memory or chat.",blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
WE_PREPROD_ROLLBACK_READINESS_PACK_V1,RWT_PREPROD_V1,RC_PREPROD_V1,preprod,preprod_frozen,rollback_readiness_pack,Rollback readiness,RRP_PREPROD_V1,ready,blocked,"Resume, widen, and recovery activation halt on constrained or blocked rollback readiness.","docs/architecture/16_release_assurance_and_resilience_architecture.md#Release, Assurance, and Resilience Architecture"
WE_PRODUCTION_RELEASE_APPROVAL_FREEZE_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,release_approval_freeze,Approval freeze,RAF_PRODUCTION_V1,active,active,"Promotion, resume, and writable posture stop if the approved freeze expires or drifts.",blueprint/phase-0-the-foundation-protocol.md#1.24 ReleaseApprovalFreeze
WE_PRODUCTION_RUNTIME_PUBLICATION_BUNDLE_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,runtime_publication_bundle,Runtime publication bundle,RPB_PRODUCTION_V1,published,withdrawn,"No runtime publication means no live authority, regardless of deployment dashboards.",blueprint/platform-runtime-and-release-blueprint.md#RuntimePublicationBundle
WE_PRODUCTION_PUBLICATION_PARITY_RECORD_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,publication_parity_record,Publication parity verdict,RPP_PRODUCTION_V1,exact,withdrawn,Wave widening and calm trust block unless parity remains exact.,blueprint/platform-runtime-and-release-blueprint.md#ReleasePublicationParityRecord
WE_PRODUCTION_WAVE_GUARDRAIL_SNAPSHOT_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,wave_guardrail_snapshot,Wave guardrail snapshot,WGS_PRODUCTION_V1,current,stale,Scope and guardrail drift supersede the tuple and force a fresh wave publication.,blueprint/platform-runtime-and-release-blueprint.md#ReleaseWatchTuple
WE_PRODUCTION_WAVE_OBSERVATION_POLICY_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,wave_observation_policy,Observation policy,WOP_PRODUCTION_V1,armed,superseded,"Operators cannot shorten, extend, or replace dwell obligations from memory or chat.",blueprint/platform-runtime-and-release-blueprint.md#WaveObservationPolicy
WE_PRODUCTION_ROLLBACK_READINESS_PACK_V1,RWT_PRODUCTION_V1,RC_PRODUCTION_V1,production,rollback_review,rollback_readiness_pack,Rollback readiness,RRP_PRODUCTION_V1,ready,blocked,"Resume, widen, and recovery activation halt on constrained or blocked rollback readiness.","docs/architecture/16_release_assurance_and_resilience_architecture.md#Release, Assurance, and Resilience Architecture"
