audit_action_taxonomy_id,action_code,action_label,action_category,actor_class,audience_surface,route_family_ref,target_type,worm_append_required,hash_chain_required,replay_criticality,retention_class_ref,canonical_event_contract_ref,disclosure_matrix_ref,required_join_refs,required_graph_authority_refs,canonical_truth_rule,source_refs,rationale
AAT_053_IDENTITY_SESSION_ESTABLISHED,identity_session_established,Identity session established,auth_session,patient,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,Session,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_IDENTITY_SESSION_ESTABLISHED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;data/analysis/canonical_event_contracts.json,Session establishment is the patient-facing start of a writable or recovery-capable chain and must append immutable audit before any trusted continuity can appear.
AAT_053_IDENTITY_SESSION_ROTATED,identity_session_rotated,Identity session rotated,auth_session,patient,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,Session,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_IDENTITY_SESSION_ROTATED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;data/analysis/canonical_event_contracts.json,Rotation changes active authority and therefore stays on the same immutable audit spine rather than a session-local log.
AAT_053_IDENTITY_SESSION_TERMINATED,identity_session_terminated,Identity session terminated,auth_session,patient,audsurf_patient_transaction_recovery,rf_patient_secure_link_recovery,Session,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_IDENTITY_SESSION_TERMINATED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;data/analysis/canonical_event_contracts.json,Termination closes the active security chain and must remain replayable and hash-stable for investigation and reissue review.
AAT_053_ROUTE_INTENT_ESTABLISHED,route_intent_established,Route intent established,route_intent,patient,audsurf_patient_public_entry,rf_intake_self_service,RouteIntentBinding,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_AUDIT_RECORDED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;prompt/053.md,Every authoritative writable journey starts by binding the visible shell and route intent to the same audit join key.
AAT_053_COMMAND_INGESTED,command_ingested,Command ingested,command_lifecycle,patient,audsurf_patient_public_entry,rf_intake_self_service,CommandActionRecord,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_AUDIT_RECORDED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;blueprint/phase-0-the-foundation-protocol.md#4.1 Command ingest and envelope creation,Command ingestion may not rely on transport acceptance or browser acknowledgement when the authoritative join requires route intent and command refs together.
AAT_053_COMMAND_SETTLED,command_settled,Command settled,command_lifecycle,patient,audsurf_patient_public_entry,rf_intake_self_service,CommandSettlementRecord,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_AUDIT_RECORDED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#AuditRecord;blueprint/phase-0-the-foundation-protocol.md#4.5 Command-following read rule,Authoritative settlement is distinct from server acceptance and therefore must append the same immutable audit join before calm outcomes are legal.
AAT_053_PROJECTION_VISIBLE,projection_visible,Projection visibility confirmed,ui_visibility,system_service,audsurf_patient_authenticated_portal,rf_patient_requests,UIProjectionVisibilityReceipt,true,true,high,WRC_053_AUDIT_JOIN_SPINE,CEC_AUDIT_RECORDED,EV_IMMUTABLE_AUDIT_LEDGER,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,blueprint/phase-0-the-foundation-protocol.md#UIProjectionVisibilityReceipt;blueprint/phase-0-the-foundation-protocol.md#4.5 Command-following read rule,Visible shell truth and calm success require the matching visibility receipt and audit record on the same causal chain.
AAT_053_BREAK_GLASS_USED,break_glass_used,Break-glass used,break_glass,support_agent,audsurf_support_workspace,rf_support_replay_observe,BreakGlassReviewRecord,true,true,high,WRC_053_BREAK_GLASS_DISCLOSURE,CEC_AUDIT_BREAK_GLASS_USED,EV_BREAK_GLASS_REVIEW,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,docs/architecture/10_break_glass_and_investigation_scope_rules.md;data/analysis/canonical_event_contracts.json,"Break-glass widening must be queryable, reviewable, and inseparable from the disclosure fence and visible shell that used it."
AAT_053_SUPPORT_REPLAY_RESTORE_REQUIRED,support_replay_restore_required,Support replay restore required,support_replay,support_agent,audsurf_support_workspace,rf_support_replay_observe,SupportReplaySession,true,true,high,WRC_053_EXPORT_AND_REPLAY,CEC_SUPPORT_REPLAY_RESTORE_REQUIRED,EV_SUPPORT_REPLAY_VIEW,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,"blueprint/phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay;data/analysis/canonical_event_contracts.json",Replay restore requirements must stay on the same audit join so support cannot claim a safe restore from accepted-only evidence.
AAT_053_SUPPORT_REPLAY_RESTORE_SETTLED,support_replay_restore_settled,Support replay restore settled,support_replay,support_agent,audsurf_support_workspace,rf_support_replay_observe,SupportReplayRestoreSettlement,true,true,high,WRC_053_EXPORT_AND_REPLAY,CEC_SUPPORT_REPLAY_RESTORE_SETTLED,EV_SUPPORT_REPLAY_VIEW,edgeCorrelationId;routeIntentRef;commandActionRef;commandSettlementRef;uiEventRef;uiEventCausalityFrameRef;uiTransitionSettlementRef;projectionVisibilityRef;selectedAnchorRef;disclosureFenceRef,AssuranceEvidenceGraphSnapshot;AssuranceGraphCompletenessVerdict,AuditRecord_canonical_companion_only,"blueprint/phase-9-the-assurance-ledger.md#9C. Audit explorer, break-glass review, and support replay;data/analysis/canonical_event_contracts.json","Replay restore settlement must prove the same route-intent, mask scope, selected anchor, and authoritative audit chain that governed recovery."
