referenceCaseId,scenarioClass,blockerFamily,blockerRef,blockerSourceLayer,patientVisibleContinuity,lineageTraceable,lifecycleCoordinatorDecision,recoveryPosture,notes
RC_FLOW_001,nominal,none,none,domain_kernel,true,true,unblocked,triage_ready_authoritative_settlement,No closure blocker is expected for the nominal or exact-replay case.
RC_FLOW_002,replay,none,none,domain_kernel,true,true,unblocked,authoritative_replay_no_new_side_effect,No closure blocker is expected for the nominal or exact-replay case.
RC_FLOW_003,duplicate_review,duplicate_review,duplicate_cluster_review_001,domain_kernel,guarded,true,defer,review_required_same_shell_recovery,Integration duplicate collision keeps review truth explicit for support and blocks silent collapse into an accepted replay.
RC_FLOW_003,duplicate_review,duplicate_review,command_api_duplicate_review_duplicate_cluster_0006,domain_kernel,guarded,true,defer,review_required_same_shell_recovery,Integration duplicate collision keeps review truth explicit for support and blocks silent collapse into an accepted replay.
RC_FLOW_004,quarantine_fallback,fallback_review,command_api_request_closure_fallbackReviewCase_0001,domain_kernel,true,true,defer,fallback_review_open_same_lineage_continuity,Wave-probe case proving degraded accepted progress re-enters governed fallback review without losing same-shell provenance.
RC_FLOW_004,quarantine_fallback,fallback_review,fallback_case_restore_review_001,domain_kernel,true,true,defer,fallback_review_open_same_lineage_continuity,Wave-probe case proving degraded accepted progress re-enters governed fallback review without losing same-shell provenance.
RC_FLOW_005,identity_hold,identity_repair,identity_repair_case_001,domain_kernel,guarded,true,defer,identity_repair_hold_recovery_only,Preview repair case proving wrong-patient holds remain explicit and recover through the same secure-link shell.
RC_FLOW_005,identity_hold,identity_repair,duplicate_cluster_review_001,domain_kernel,guarded,true,defer,identity_repair_hold_recovery_only,Preview repair case proving wrong-patient holds remain explicit and recover through the same secure-link shell.
RC_FLOW_005,identity_hold,identity_repair,reachability_repair_001,domain_kernel,guarded,true,defer,identity_repair_hold_recovery_only,Preview repair case proving wrong-patient holds remain explicit and recover through the same secure-link shell.
RC_FLOW_006,confirmation_blocked,confirmation_gate,confirmation_gate_001,domain_kernel,guarded,true,defer,confirmation_pending_same_lineage_open,Preprod hub-managed booking case proving confirmation debt and ambiguity remain explicit across patient and hub semantics.
RC_FLOW_006,confirmation_blocked,confirmation_gate,confirmation_gate_booking_001,domain_kernel,guarded,true,defer,confirmation_pending_same_lineage_open,Preprod hub-managed booking case proving confirmation debt and ambiguity remain explicit across patient and hub semantics.
