surface_state_kernel_binding_id,route_family_ref,audience_surface,shell_type,binding_state,accessibility_coverage_state,artifact_mode_state,effective_display_state,effective_tone,aria_live_mode,motion_intent_ref,dominant_action_marker_ref,selected_anchor_marker_ref,kernel_propagation_digest_ref,design_contract_digest_ref
SSKB_050_RF_GOVERNANCE_SHELL_V1,rf_governance_shell,audsurf_governance_admin,governance,blocked,degraded,summary_only,stale,accent_review,polite,motion.degrade,marker.rf_governance_shell.dominant_action,marker.rf_governance_shell.selected_anchor,471507cab195af42,c1bcfb87f7905a50
SSKB_050_RF_HUB_CASE_MANAGEMENT_V1,rf_hub_case_management,audsurf_hub_desk,hub,exact,complete,preview_verified,settled_pending_confirmation,accent_active,polite,motion.pending,marker.rf_hub_case_management.dominant_action,marker.rf_hub_case_management.selected_anchor,f515aecd0ec8852a,e00726a83f7de182
SSKB_050_RF_HUB_QUEUE_V1,rf_hub_queue,audsurf_hub_desk,hub,exact,complete,preview_verified,empty,accent_insight,polite,motion.reveal,marker.rf_hub_queue.dominant_action,marker.rf_hub_queue.selected_anchor,0eef3f7631c33985,e00726a83f7de182
SSKB_050_RF_INTAKE_SELF_SERVICE_V1,rf_intake_self_service,audsurf_patient_public_entry,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_intake_self_service.dominant_action,marker.rf_intake_self_service.selected_anchor,7f2afd3a04390574,7c5b7afd82be4888
SSKB_050_RF_INTAKE_TELEPHONY_CAPTURE_V1,rf_intake_telephony_capture,audsurf_patient_public_entry,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_intake_telephony_capture.dominant_action,marker.rf_intake_telephony_capture.selected_anchor,22aef15a64850962,7c5b7afd82be4888
SSKB_050_RF_OPERATIONS_BOARD_V1,rf_operations_board,audsurf_operations_console,operations,blocked,degraded,summary_only,degraded,accent_review,polite,motion.degrade,marker.rf_operations_board.dominant_action,marker.rf_operations_board.selected_anchor,81b1049911346643,e42b59a9a275b1e0
SSKB_050_RF_OPERATIONS_DRILLDOWN_V1,rf_operations_drilldown,audsurf_operations_console,operations,blocked,degraded,blocked,blocked,accent_danger,assertive,motion.escalate,marker.rf_operations_drilldown.dominant_action,marker.rf_operations_drilldown.selected_anchor,1e5ff1ad753cd8e2,e42b59a9a275b1e0
SSKB_050_RF_PATIENT_APPOINTMENTS_V1,rf_patient_appointments,audsurf_patient_authenticated_portal,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_patient_appointments.dominant_action,marker.rf_patient_appointments.selected_anchor,15ffaa9c429e63f6,1361b8dccac15386
SSKB_050_RF_PATIENT_EMBEDDED_CHANNEL_V1,rf_patient_embedded_channel,audsurf_patient_transaction_recovery,patient,stale,complete,handoff_only,settled_pending_confirmation,accent_active,polite,motion.pending,marker.rf_patient_embedded_channel.dominant_action,marker.rf_patient_embedded_channel.selected_anchor,440e8be170dbc23f,a091cfd92bb38872
SSKB_050_RF_PATIENT_HEALTH_RECORD_V1,rf_patient_health_record,audsurf_patient_authenticated_portal,patient,exact,complete,preview_verified,stale,accent_review,polite,motion.degrade,marker.rf_patient_health_record.dominant_action,marker.rf_patient_health_record.selected_anchor,52d126a92da394a3,1361b8dccac15386
SSKB_050_RF_PATIENT_HOME_V1,rf_patient_home,audsurf_patient_authenticated_portal,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_patient_home.dominant_action,marker.rf_patient_home.selected_anchor,30785f941ec5e930,1361b8dccac15386
SSKB_050_RF_PATIENT_MESSAGES_V1,rf_patient_messages,audsurf_patient_authenticated_portal,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_patient_messages.dominant_action,marker.rf_patient_messages.selected_anchor,91531e92746c6ffb,1361b8dccac15386
SSKB_050_RF_PATIENT_REQUESTS_V1,rf_patient_requests,audsurf_patient_authenticated_portal,patient,exact,complete,preview_verified,ready,accent_active,off,motion.morph,marker.rf_patient_requests.dominant_action,marker.rf_patient_requests.selected_anchor,0fcd394564d2ad16,1361b8dccac15386
