reopen_trigger_id,reopen_trigger_class,signal_vector,threshold_rule,reacquire_ownership,closure_effect,source_event_contract_refs,source_refs
RTP_055_URGENT,urgent,u_urgent,u_urgent(e) = 1,triage_or_equivalent_immediately,prevent_close_and_reopen,CEC_SAFETY_PREEMPTED; CEC_PHARMACY_CASE_BOUNCE_BACK,"blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
RTP_055_UNABLE_TO_COMPLETE,unable_to_complete,u_unable,u_unable(e) = 1,triage_or_pharmacy_followup,keep_open_or_reopen,CEC_PHARMACY_CASE_BOUNCE_BACK; CEC_COMMUNICATION_CALLBACK_OUTCOME_RECORDED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers
RTP_055_UNABLE_TO_CONTACT,unable_to_contact,u_contact,u_contact(e) >= tau_reopen,reachability_repair_then_triage,prevent_close_and_open_reachability_repair,CEC_REACHABILITY_DEPENDENCY_FAILED; CEC_COMMUNICATION_CALLBACK_OUTCOME_RECORDED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-6-the-pharmacy-loop.md
RTP_055_BOUNCE_BACK,bounce_back,u_bounce,u_bounce(e) >= tau_reopen,triage_reacquire_with_urgency_floor,reopen_same_lineage_branch,CEC_PHARMACY_CASE_BOUNCE_BACK,"blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-6-the-pharmacy-loop.md#6G. Bounce-back, urgent return, and reopen mechanics"
RTP_055_CONSENT_REVOCATION,consent_revocation,u_revocation,u_revocation(e) >= tau_reopen,triage_or_pharmacy_reassessment,reopen_and_revoke_current_promise,CEC_PHARMACY_CONSENT_REVOKED; CEC_PHARMACY_CONSENT_REVOCATION_RECORDED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-6-the-pharmacy-loop.md
RTP_055_CONTRADICTION,contradiction,u_contradiction,u_contradiction(e) >= tau_reopen,reconciliation_or_triage_reissue,defer_close_and_reopen_if_current_truth_changed,CEC_BOOKING_COMMIT_AMBIGUOUS; CEC_CONFIRMATION_GATE_DISPUTED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-4-the-booking-engine.md
RTP_055_CLINICAL_CHANGE,clinical_material_change,delta_clinical,"materialChange(e,l) >= tau_reopen",triage_reassess,reopen_for_re_safety,CEC_SAFETY_REASSESSED; CEC_PHARMACY_CASE_BOUNCE_BACK,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers
RTP_055_CONTACT_CHANGE,contact_material_change,delta_contact,"materialChange(e,l) >= tau_reopen",reachability_repair_then_triage,reopen_with_contact_route_repair,CEC_REACHABILITY_ASSESSMENT_SETTLED; CEC_REACHABILITY_DEPENDENCY_FAILED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers
RTP_055_PROVIDER_CHANGE,provider_material_change,delta_provider,"materialChange(e,l) >= tau_reopen",booking_or_hub_reconciliation,reopen_with_confirmation_gate,CEC_BOOKING_COMMIT_AMBIGUOUS; CEC_HUB_BOOKING_CONFIRMATION_PENDING,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-5-the-network-horizon.md
RTP_055_CONSENT_CHANGE,consent_material_change,delta_consent,"materialChange(e,l) >= tau_reopen",pharmacy_or_support_followup,reopen_and_suspend_current_promise,CEC_PHARMACY_CONSENT_REVOCATION_RECORDED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/phase-6-the-pharmacy-loop.md
RTP_055_TIMING_CHANGE,timing_material_change,delta_timing,"materialChange(e,l) >= tau_reopen",booking_or_callback_followup,reopen_and_refresh_current_promise_timing,CEC_BOOKING_MANAGE_CONTINUITY_UPDATED; CEC_COMMUNICATION_CALLBACK_OUTCOME_RECORDED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers
RTP_055_IDENTITY_CHANGE,identity_material_change,delta_identity,"materialChange(e,l) >= tau_reopen",identity_repair_then_triage,reopen_and_hold_under_identity_repair,CEC_IDENTITY_REPAIR_SIGNAL_RECORDED; CEC_IDENTITY_REPAIR_CASE_OPENED,blueprint/phase-0-the-foundation-protocol.md#9.7 Reopen triggers; blueprint/forensic-audit-findings.md#Finding 69
