recovery_evidence_artifact_id,artifact_type,scope_ref,function_code,operational_readiness_snapshot_ref,runbook_binding_refs,producing_run_ref,summary_ref,artifact_presentation_contract_ref,artifact_surface_context_ref,artifact_mode_truth_projection_ref,artifact_transfer_settlement_ref,masking_policy_ref,outbound_navigation_grant_ref,artifact_state,freshness_state,phi_posture,source_refs
REA_060_EF_PATIENT_ENTRY_RECOVERY_PRIMARY_V1,restore_report,scope_patient_entry_recovery,ef_patient_entry_recovery,ORS_058_PRODUCTION_V1,RBR_060_PATIENT_ENTRY_V1,RESTORE_060_EF_PATIENT_ENTRY_RECOVERY_V1,SUMMARY_060_EF_PATIENT_ENTRY_RECOVERY_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PATIENT_ENTRY_RECOVERY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/phase-0-the-foundation-protocol.md#1.40A EssentialFunctionMap
REA_060_EF_PATIENT_ENTRY_RECOVERY_SUPPORT_V1,journey_recovery_proof,scope_patient_entry_recovery,ef_patient_entry_recovery,ORS_058_PRODUCTION_V1,RBR_060_PATIENT_ENTRY_V1,RESTORE_060_EF_PATIENT_ENTRY_RECOVERY_V1,SUMMARY_060_EF_PATIENT_ENTRY_RECOVERY_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PATIENT_ENTRY_RECOVERY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/phase-0-the-foundation-protocol.md#1.40A EssentialFunctionMap
REA_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_PRIMARY_V1,restore_report,scope_patient_self_service_continuity,ef_patient_self_service_continuity,ORS_058_PRODUCTION_V1,RBR_060_PATIENT_CONTINUITY_V1,RESTORE_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_V1,SUMMARY_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,recovery_only,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/frontend_contract_manifests.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract
REA_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_SUPPORT_V1,recovery_pack_export,scope_patient_self_service_continuity,ef_patient_self_service_continuity,ORS_058_PRODUCTION_V1,RBR_060_PATIENT_CONTINUITY_V1,RESTORE_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_V1,SUMMARY_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PATIENT_SELF_SERVICE_CONTINUITY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,recovery_only,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/frontend_contract_manifests.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract
REA_060_EF_WORKSPACE_SETTLEMENT_PRIMARY_V1,restore_report,scope_workspace_settlement,ef_workspace_settlement,ORS_058_PRODUCTION_V1,RBR_060_WORKSPACE_SETTLEMENT_V1,RESTORE_060_EF_WORKSPACE_SETTLEMENT_V1,SUMMARY_060_EF_WORKSPACE_SETTLEMENT_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_WORKSPACE_SETTLEMENT_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,stale,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/synthetic_recovery_coverage_matrix.csv; data/analysis/reference_case_catalog.json; blueprint/phase-0-the-foundation-protocol.md#62C-62E
REA_060_EF_WORKSPACE_SETTLEMENT_SUPPORT_V1,dependency_restore_explainer,scope_workspace_settlement,ef_workspace_settlement,ORS_058_PRODUCTION_V1,RBR_060_WORKSPACE_SETTLEMENT_V1,RESTORE_060_EF_WORKSPACE_SETTLEMENT_V1,SUMMARY_060_EF_WORKSPACE_SETTLEMENT_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_WORKSPACE_SETTLEMENT_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,stale,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/synthetic_recovery_coverage_matrix.csv; data/analysis/reference_case_catalog.json; blueprint/phase-0-the-foundation-protocol.md#62C-62E
REA_060_EF_BOOKING_CAPACITY_COMMIT_PRIMARY_V1,restore_report,scope_booking_capacity_commit,ef_booking_capacity_commit,ORS_058_PRODUCTION_V1,RBR_060_BOOKING_COMMIT_V1,RESTORE_060_EF_BOOKING_CAPACITY_COMMIT_V1,SUMMARY_060_EF_BOOKING_CAPACITY_COMMIT_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_BOOKING_CAPACITY_COMMIT_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract
REA_060_EF_BOOKING_CAPACITY_COMMIT_SUPPORT_V1,journey_recovery_proof,scope_booking_capacity_commit,ef_booking_capacity_commit,ORS_058_PRODUCTION_V1,RBR_060_BOOKING_COMMIT_V1,RESTORE_060_EF_BOOKING_CAPACITY_COMMIT_V1,SUMMARY_060_EF_BOOKING_CAPACITY_COMMIT_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_BOOKING_CAPACITY_COMMIT_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/platform-runtime-and-release-blueprint.md#Operational readiness contract
REA_060_EF_HUB_COORDINATION_PRIMARY_V1,restore_report,scope_hub_coordination,ef_hub_coordination,ORS_058_PRODUCTION_V1,RBR_060_HUB_COORDINATION_V1,RESTORE_060_EF_HUB_COORDINATION_V1,SUMMARY_060_EF_HUB_COORDINATION_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_HUB_COORDINATION_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,stale,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/synthetic_recovery_coverage_matrix.csv; data/analysis/reference_case_catalog.json; blueprint/phase-0-the-foundation-protocol.md#1.40J RecoveryControlPosture
REA_060_EF_HUB_COORDINATION_SUPPORT_V1,dependency_restore_explainer,scope_hub_coordination,ef_hub_coordination,ORS_058_PRODUCTION_V1,RBR_060_HUB_COORDINATION_V1,RESTORE_060_EF_HUB_COORDINATION_V1,SUMMARY_060_EF_HUB_COORDINATION_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_HUB_COORDINATION_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,stale,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/synthetic_recovery_coverage_matrix.csv; data/analysis/reference_case_catalog.json; blueprint/phase-0-the-foundation-protocol.md#1.40J RecoveryControlPosture
REA_060_EF_PHARMACY_REFERRAL_RECONCILIATION_PRIMARY_V1,restore_report,scope_pharmacy_referral_recovery,ef_pharmacy_referral_reconciliation,ORS_058_PRODUCTION_V1,RBR_060_PHARMACY_RECONCILIATION_V1,RESTORE_060_EF_PHARMACY_REFERRAL_RECONCILIATION_V1,SUMMARY_060_EF_PHARMACY_REFERRAL_RECONCILIATION_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PHARMACY_REFERRAL_RECONCILIATION_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,recovery_only,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/phase-cards.md#Phase 9
REA_060_EF_PHARMACY_REFERRAL_RECONCILIATION_SUPPORT_V1,recovery_pack_export,scope_pharmacy_referral_recovery,ef_pharmacy_referral_reconciliation,ORS_058_PRODUCTION_V1,RBR_060_PHARMACY_RECONCILIATION_V1,RESTORE_060_EF_PHARMACY_REFERRAL_RECONCILIATION_V1,SUMMARY_060_EF_PHARMACY_REFERRAL_RECONCILIATION_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PHARMACY_REFERRAL_RECONCILIATION_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,recovery_only,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/phase-cards.md#Phase 9
REA_060_EF_COMMUNICATION_REACHABILITY_PRIMARY_V1,restore_report,scope_communication_reachability,ef_communication_reachability,ORS_058_PRODUCTION_V1,RBR_060_COMMUNICATION_REACHABILITY_V1,RESTORE_060_EF_COMMUNICATION_REACHABILITY_V1,SUMMARY_060_EF_COMMUNICATION_REACHABILITY_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_COMMUNICATION_REACHABILITY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/forensic-audit-findings.md#Finding 100
REA_060_EF_COMMUNICATION_REACHABILITY_SUPPORT_V1,journey_recovery_proof,scope_communication_reachability,ef_communication_reachability,ORS_058_PRODUCTION_V1,RBR_060_COMMUNICATION_REACHABILITY_V1,RESTORE_060_EF_COMMUNICATION_REACHABILITY_V1,SUMMARY_060_EF_COMMUNICATION_REACHABILITY_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_COMMUNICATION_REACHABILITY_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,governed_preview,fresh,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/reference_case_catalog.json; data/analysis/synthetic_recovery_coverage_matrix.csv; blueprint/forensic-audit-findings.md#Finding 100
REA_060_EF_RELEASE_GOVERNANCE_PRIMARY_V1,restore_report,scope_release_governance,ef_release_governance,ORS_058_PRODUCTION_V1,RBR_060_RELEASE_GOVERNANCE_V1,RESTORE_060_EF_RELEASE_GOVERNANCE_V1,SUMMARY_060_EF_RELEASE_GOVERNANCE_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_RELEASE_GOVERNANCE_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,missing,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/release_contract_verification_matrix.json; data/analysis/verification_scenarios.json; blueprint/forensic-audit-findings.md#Finding 95
REA_060_EF_RELEASE_GOVERNANCE_SUPPORT_V1,runbook_bundle,scope_release_governance,ef_release_governance,ORS_058_PRODUCTION_V1,RBR_060_RELEASE_GOVERNANCE_V1,RESTORE_060_EF_RELEASE_GOVERNANCE_V1,SUMMARY_060_EF_RELEASE_GOVERNANCE_SUPPORT_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_RELEASE_GOVERNANCE_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,recovery_only,missing,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; data/analysis/release_contract_verification_matrix.json; data/analysis/verification_scenarios.json; blueprint/forensic-audit-findings.md#Finding 95
REA_060_EF_PLATFORM_RECOVERY_CONTROL_PRIMARY_V1,restore_report,scope_platform_recovery_control,ef_platform_recovery_control,ORS_058_PRODUCTION_V1,RBR_060_PLATFORM_RECOVERY_CONTROL_V1,RESTORE_060_EF_PLATFORM_RECOVERY_CONTROL_V1,SUMMARY_060_EF_PLATFORM_RECOVERY_CONTROL_PRIMARY_V1,APC_060_RECOVERY_SECURE_PRESENTATION_V1,ASC_060_RESILIENCE_CONTROL_LAB_V1,AMTP_060_RECOVERY_ARTIFACT_TRUTH_V1,RAS_060_EF_PLATFORM_RECOVERY_CONTROL_V1,MASK_060_RECOVERY_ARTIFACT_MINIMUM_NECESSARY_V1,ONG_060_RECOVERY_ARTIFACT_EXPORT_V1,summary_only,expired,governed_masked,docs/architecture/15_operational_readiness_and_resilience_tooling.md; blueprint/forensic-audit-findings.md#Finding 112; blueprint/phase-0-the-foundation-protocol.md#62A-62G; data/analysis/verification_scenarios.json
