hazard_id,hazard_title,hazard_family,phase_scope,source_blueprint_refs,hazard_description,trigger_condition,failure_mode,clinical_harm_path,affected_actor_types,affected_channels,affected_objects,causal_controls_existing,causal_controls_required,verification_evidence_refs,residual_risk_statement,severity_band,likelihood_band,initial_risk_band,residual_risk_band,review_owner_role,independent_reviewer_role,status,last_reviewed_at,next_review_due_at,change_trigger_refs,notes,standards_version,review_note,canonical_invariant_refs,platform_service_refs,route_runtime_publication_control_refs,operational_procedure_refs
HZ-121-001,Wrong-patient identity binding or correction failure allows care actions on the wrong subject.,identity_authorization,phase0|phase1|phase2,blueprint/phase-2-identity-and-echoes.md#IdentityBindingAuthority|blueprint/phase-2-identity-and-echoes.md#IdentityRepairFreezeRecord|blueprint/phase-0-the-foundation-protocol.md#AccessGrantScopeEnvelope,"A callback, telephony verification, secure-link uplift, or support correction binds or re-exposes a request to the wrong patient, or fails to hold the lineage in identity repair while correction is in progress.","Any identity, callback, or secure-link flow observes subject conflict, stale binding, or binding supersession.","Wrong subject remains bound, or a superseded binding is treated as current and writable.","Wrong patient receives advice, follow-up, booking, or disclosure; the right patient may miss urgent or routine care.",patient|staff_reviewer|support_operator|hub_coordinator|pharmacist,browser|secure_link|telephony|support_console,RequestLineage|IdentityBinding|IdentityRepairCase|AccessGrant,CTRL_IDENTITY_REPAIR_FREEZE|CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_IDENTITY_REPAIR_VALIDATION|EVID_ACCESS_GRANT_VALIDATION,Residual risk remains medium until named CSO and independent reviewer roles are attached to live onboarding and identity repair evidence is rehearsed with real provider callbacks.,high,possible,extreme,medium,ROLE_MANUFACTURER_CSO,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_IDENTITY_PROVIDER_CHANGE|TRIGGER_TELEPHONY_PATH_CHANGE,Primary manufacturer-side identity hazard seed.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#Mutate only current truth|blueprint/phase-2-identity-and-echoes.md#IdentityBindingAuthority,IdentityBindingAuthority|AccessGrantService,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord,PROC_IDENTITY_REPAIR_ESCALATION|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-002,Urgent-diversion miss or delayed safety preemption after clinically meaningful evidence changes.,safety_screening_triage,phase0|phase1|phase2|phase4|phase5|phase6,blueprint/phase-1-the-red-flag-gate.md#Clinical safety documentation and incremental evidence updates|blueprint/phase-0-the-foundation-protocol.md#EvidenceAssimilationRecord|blueprint/phase-0-the-foundation-protocol.md#SafetyPreemptionRecord,"Later evidence, extractor disagreement, or contradiction arrives after a calm state has already been shown, but the platform does not reopen safety or blocks urgent diversion too late.","Any patient reply, callback outcome, pharmacy return, support capture, or late artifact is classified as potentially clinical or contact-safety-relevant.","Evidence is misclassified or no new safety epoch is opened, so routine flow continues after a safety-relevant change.","Urgent case remains in routine flow, or staff/patient are falsely reassured while clinically meaningful change has not been re-reviewed.",patient|triage_reviewer|support_operator|booking_coordinator,browser|telephony|secure_link|support_console,EvidenceAssimilationRecord|MaterialDeltaAssessment|SafetyDecisionRecord|Request,CTRL_EVIDENCE_ASSIMILATION_PREEMPTION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_EVIDENCE_ASSIMILATION_VALIDATION|EVID_CHANGE_DELTA_RECORD,Residual risk remains medium until challenge-set evidence and named signoff owners are attached to every active rule pack.,high,possible,extreme,medium,ROLE_MANUFACTURER_CSO,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_RULESET_CHANGE|TRIGGER_INCIDENT_OR_NEAR_MISS,Seed hazard for red-flag monotonicity and incremental ruleset evidence.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#Mandatory preemption rule|blueprint/phase-1-the-red-flag-gate.md#full rule decision-table coverage,EvidenceAssimilationCoordinator|SafetyPolicyEngine,StatusStripAuthority|WorkspaceTrustEnvelope,PROC_RULESET_CHANGE_DELTA_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-003,Duplicate silent merge or wrong-lineage attach hides distinct clinical work.,workflow_concurrency_replay,phase0|phase1|phase2,blueprint/phase-0-the-foundation-protocol.md#DuplicateResolutionDecision|blueprint/phase-2-identity-and-echoes.md#same_episode_candidate|blueprint/forensic-audit-findings.md#Finding 91 - Stale writable posture,"Replay, duplicate clustering, or same-episode linkage silently collapses distinct clinical intent or evidence into an existing request.","Identifier reuse, callback replay, telephony continuation, or same-request attach evaluation runs against an ambiguous candidate set.","The platform auto-merges, auto-attaches, or preserves stale reviewer context without governed duplicate evidence and decision fencing.","Distinct request disappears, safety state is inherited from the wrong lineage, or patient communications and downstream actions target the wrong work item.",patient|triage_reviewer|support_operator,browser|telephony|support_console,DuplicateCluster|DuplicatePairEvidence|DuplicateResolutionDecision|RequestLineage,CTRL_DUPLICATE_ATTACH_FENCE|CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_DUPLICATE_CLUSTER_VALIDATION|EVID_CHANGE_DELTA_RECORD,Residual risk stays medium because duplicate thresholds and competition margins will still evolve with live traffic.,high,possible,high,medium,ROLE_MANUFACTURER_CSO,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_IDENTITY_PROVIDER_CHANGE|TRIGGER_INCIDENT_OR_NEAR_MISS,Bounded from duplicate and replay controls already present in the blueprint and forensic patch set.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#same_request_attach|blueprint/phase-0-the-foundation-protocol.md#ReplayCollisionReview,ReplayCollisionReview|DuplicateClusterEvaluator,DecisionEpoch|WorkspaceTrustEnvelope,PROC_POST_INCIDENT_RETRO_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-004,Stale writable UI or runtime/publication drift enables an unsafe action from stale truth.,visibility_runtime_publication,phase0|phase4|phase5|phase6,blueprint/phase-0-the-foundation-protocol.md#ReleasePublicationParityRecord|blueprint/phase-0-the-foundation-protocol.md#WorkspaceTrustEnvelope|blueprint/forensic-audit-findings.md#Finding 91 - Stale writable posture,"A surface stays calm or writable after runtime, publication, selected-anchor, or trust truth has drifted away from the active command path.","Route contract, bundle, selected anchor, publication parity, or review version changes while the operator still has armed controls.",Local UI state or cached publication posture overrides the current release/runtime truth tuple.,"Stale action commits booking, messaging, or other care-path change against superseded evidence, ownership, or publication state.",staff_reviewer|hub_coordinator|pharmacist|operations_user,browser|ops_console|hub_console|pharmacy_console,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord|WorkspaceTrustEnvelope,CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH|CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING|CTRL_WORKSPACE_TRUST_ENVELOPE,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_MUTATION_GATE_VALIDATION|EVID_GATEWAY_SURFACE_VALIDATION|EVID_RELEASE_PARITY_VALIDATION|EVID_WORKSPACE_TRUST_VALIDATION,Residual risk remains medium until every high-impact surface family is proven against the same release/publication tuple in live rehearsal.,high,possible,high,medium,ROLE_RELEASE_MANAGER,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_RELEASE_PUBLICATION_DRIFT|TRIGGER_BOOKING_POLICY_CHANGE,Derived through GAP_RESOLUTION_HAZARD_DERIVATION_STALE_WRITABLE_UI_V1.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#Mutate only current truth|blueprint/phase-0-the-foundation-protocol.md#StatusStripAuthority,RuntimePublicationBundle|StatusStripAuthority,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord|WorkspaceTrustEnvelope,PROC_RELEASE_PUBLICATION_DRIFT_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-005,More-info or callback delay after patient expectation has been set leaves unsafe unanswered need.,communications_reachability,phase0|phase2|phase4|phase5|phase6,blueprint/phase-0-the-foundation-protocol.md#ReachabilityDependency|blueprint/phase-0-the-foundation-protocol.md#CommunicationEnvelope|blueprint/phase-2-identity-and-echoes.md#telephony capture failure after patient expectation has been set,"The patient is promised a callback, more-info exchange, or further update, but the platform does not keep the reachability dependency safe when the route degrades.","A callback expectation, more-info request, or reminder path exists while reachability becomes blocked, stale, disputed, or superseded.","Promise state stays calm, or repair is not opened when the contact route is no longer safe enough for the active dependency.","Patient waits for follow-up that will not happen, urgent change is missed, or care is delayed because the dependency failure is hidden.",patient|support_operator|staff_reviewer,browser|sms|voice|email|support_console,ReachabilityDependency|ReachabilityAssessmentRecord|CommunicationEnvelope,CTRL_REACHABILITY_AND_CALLBACK_EXPECTATION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_REACHABILITY_VALIDATION|EVID_COMMUNICATION_ENVELOPE_VALIDATION,Residual risk stays medium until contact-route repair is rehearsed across all live provider lanes and promise texts.,high,possible,high,medium,ROLE_MANUFACTURER_CSO,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_TELEPHONY_PATH_CHANGE|TRIGGER_SUPPORT_REPLAY_CHANGE,Derived through GAP_RESOLUTION_HAZARD_DERIVATION_CALLBACK_PROMISE_FAILURE_V1.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#Reachability-risk function|blueprint/phase-0-the-foundation-protocol.md#ConversationThreadProjection,ReachabilityGovernor|CommunicationEnvelopeProjection,PatientShellConsistencyProjection|WorkspaceTrustEnvelope,PROC_CALLBACK_PROMISE_REPAIR|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-006,Telephony or continuation route fails after follow-up is promised or before safety-usable evidence is ready.,communications_reachability,phase0|phase2,blueprint/phase-2-identity-and-echoes.md#TelephonyEvidenceReadinessAssessment|blueprint/phase-2-identity-and-echoes.md#telephony capture failure after patient expectation has been set|blueprint/phase-2-identity-and-echoes.md#callback replay protection,"Telephony parity is attempted, but the recording/transcript path or continuation grant path fails after the patient has been told the service will follow up.","Recording, transcript, callback, or SMS continuation flow degrades before the evidence or follow-up route becomes safe enough to use.","Phone-origin work seeds normal flow too early, or replay/confusion makes the callback or continuation path appear safely consumable when it is not.","Urgent or routine issue is not re-entered into the safety pipeline, or the patient receives incorrect follow-up expectation and no safe recovery path.",patient|telephony_operator|support_operator,voice|sms|support_console,TelephonyEvidenceReadinessAssessment|AccessGrant|UrgentDiversionSettlement,CTRL_TELEPHONY_EVIDENCE_READINESS|CTRL_REACHABILITY_AND_CALLBACK_EXPECTATION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_TELEPHONY_READINESS_VALIDATION|EVID_ACCESS_GRANT_VALIDATION,Residual risk remains medium until live telephony provider callbacks and replay paths are rehearsed under representative failure conditions.,high,possible,high,medium,ROLE_MANUFACTURER_CSO,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_TELEPHONY_PATH_CHANGE|TRIGGER_IDENTITY_PROVIDER_CHANGE,Telephony-specific DCB0129 seed hazard for Phase 2 parity.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-2-identity-and-echoes.md#telephony-evidence-readiness gating tests|blueprint/phase-2-identity-and-echoes.md#urgent-required-versus-urgent-issued tests,TelephonyEvidenceReadinessAssessment|AccessGrantService,RouteIntentBinding|AudienceSurfaceRuntimeBinding,PROC_TELEPHONY_PATH_CHANGE_REVIEW|PROC_CALLBACK_PROMISE_REPAIR
HZ-121-007,Local booking confirmation ambiguity or wrong booking outcome is shown as confirmed.,booking_network_pharmacy,phase0|phase4,blueprint/phase-0-the-foundation-protocol.md#BookingConfirmationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#ExternalConfirmationGate|blueprint/phase-4-the-booking-engine.md#booking confirmation,"A booking commit or manage flow displays booked reassurance, writable manage posture, or artifact readiness before confirmation truth is authoritative.","Booking transaction settles as pending, ambiguous, or weakly confirmed while patient/staff views still resolve a calm booked state.","Confirmation truth is inferred from transport success, adapter optimism, or stale UI state instead of the bound confirmation projection.","Patient believes an appointment exists when it does not, or staff stop escalation because a false booked state hides a failed or ambiguous booking.",patient|booking_coordinator|staff_reviewer,browser|staff_console|hub_console,BookingCase|BookingConfirmationTruthProjection|ExternalConfirmationGate,CTRL_BOOKING_CONFIRMATION_GATE|CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_BOOKING_CAPABILITY_PROOF|EVID_RELEASE_PARITY_VALIDATION,Residual risk remains medium until every booking provider lane proves exact confirmation and fallback behavior under representative degraded conditions.,high,possible,high,medium,ROLE_BOOKING_DOMAIN_LEAD,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_BOOKING_POLICY_CHANGE|TRIGGER_RELEASE_PUBLICATION_DRIFT,Booking reassurance must never outrun authoritative confirmation truth.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#BookingConfirmationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#ExternalConfirmationGate,BookingConfirmationTruthProjection|ExternalConfirmationGate,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-008,"Network alternative expiry, wrong-site offer, or fallback failure leads to unsafe booking decision.",booking_network_pharmacy,phase0|phase5,blueprint/phase-5-the-network-horizon.md#Clinical safety obligations|blueprint/phase-0-the-foundation-protocol.md#ReservationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#WaitlistFallbackObligation,"Hub/network flows present a wrong-site or expired offer, suppress a callback/hub fallback, or let a committed alternative outrun truthful availability.","Alternative-offer ranking, expiry, or visibility changes while a patient or coordinator is still acting from a previously selected anchor.","Non-authoritative alternative truth, missing expiry fence, or missing fallback obligation makes an unsafe offer look valid.","Urgent case is delayed in hub, wrong site/time is selected, or the patient is not told the real fallback when the alternative has expired.",patient|hub_coordinator|booking_coordinator,browser|hub_console|staff_console,WaitlistContinuationTruthProjection|ReservationTruthProjection|HubCoordinationCase,CTRL_RESERVATION_TRUTH_AND_WAITLIST_FALLBACK,CTRL_HUB_VISIBILITY_POLICY|CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_RESERVATION_QUEUE_VALIDATION|EVID_HUB_POLICY_PLACEHOLDER_V1,Residual risk remains medium until real hub/provider visibility policies and acknowledgement debt flows are evidence-backed.,high,possible,high,medium,ROLE_NETWORK_COORDINATION_LEAD,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_NETWORK_POLICY_CHANGE|TRIGGER_BOOKING_POLICY_CHANGE,Explicitly seeded from the phase 5 safety obligations list.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#WaitlistContinuationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#SelectedAnchor,ReservationTruthProjection|HubCoordinationPolicyEvaluator,HubContinuityEvidenceProjection|AudienceSurfaceRuntimeBinding,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-009,Hub wrong-practice visibility or acknowledgement debt exposes or delays the wrong case.,booking_network_pharmacy,phase0|phase5,blueprint/phase-5-the-network-horizon.md#Clinical safety obligations|blueprint/phase-0-the-foundation-protocol.md#HubPracticeVisibilityPolicy|blueprint/phase-0-the-foundation-protocol.md#NetworkCoordinationPolicyEvaluation,Hub desk or practice-facing visibility exposes a case to the wrong practice or leaves a clinically urgent case hidden behind acknowledgement debt.,"Cross-org booking coordination, acknowledgement generation, or policy tuple changes while a case is still visible in hub operations.","Visibility policy, practice acknowledgement state, or manage exposure drifts from the current hub coordination tuple.","Case is seen by the wrong practice, or the right practice misses an urgent or time-sensitive alternative because the acknowledgement path is not truthful.",hub_coordinator|practice_staff|patient,hub_console|staff_console,HubCoordinationCase|HubPracticeVisibilityPolicy|NetworkCoordinationPolicyEvaluation,CTRL_HUB_VISIBILITY_POLICY,CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING|CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_HUB_POLICY_PLACEHOLDER_V1|EVID_RELEASE_PARITY_VALIDATION,Residual risk remains medium until hub practice visibility and ack-debt rules are connected to named evidence owners and operational rehearsal.,high,unlikely,high,medium,ROLE_NETWORK_COORDINATION_LEAD,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_NETWORK_POLICY_CHANGE|TRIGGER_RELEASE_PUBLICATION_DRIFT,Extends the phase 5 hub safety obligations into the manufacturer-side hazard log.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-0-the-foundation-protocol.md#HubPracticeVisibilityPolicy|blueprint/phase-0-the-foundation-protocol.md#SelectedAnchor,HubPracticeVisibilityPolicy|NetworkCoordinationPolicyEvaluation,AudienceSurfaceRuntimeBinding|WorkspaceTrustEnvelope,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
HZ-121-010,Pharmacy consent drift or stale checkpoint is treated as still valid for dispatch.,booking_network_pharmacy,phase0|phase6,blueprint/phase-6-the-pharmacy-loop.md#PharmacyConsentCheckpoint|blueprint/phase-6-the-pharmacy-loop.md#consent revoked after dispatch|blueprint/phase-6-the-pharmacy-loop.md#stale or superseded pharmacy consent treated as still valid,"A pharmacy referral or follow-up action proceeds using consent truth that is stale, revoked, superseded, or mismatched to the selected provider.","Pharmacy dispatch or redispatch happens after provider choice, consent scope, or revocation truth has changed.","Consent checkpoint is not refreshed, or patient-facing and provider-facing truth diverge from the authoritative consent record.","Unsafe or unauthorized referral is sent, patient loses control over disclosure, or later reconciliation is performed against the wrong consent basis.",patient|pharmacist|staff_reviewer,browser|pharmacy_console|staff_console,PharmacyCase|PharmacyConsentCheckpoint|PharmacyConsentRevocationRecord,CTRL_PHARMACY_CONSENT_CHECKPOINT,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_PHARMACY_CONSENT_PLACEHOLDER_V1|EVID_CHANGE_DELTA_RECORD,Residual risk remains medium until consent backfill and refresh behavior are proven under real transport/provider change.,high,possible,high,medium,ROLE_PHARMACY_DOMAIN_LEAD,ROLE_INDEPENDENT_CLINICAL_SAFETY_REVIEWER,seeded_open,2026-04-14,2026-07-14,TRIGGER_PHARMACY_FLOW_CHANGE,Pharmacy consent safety seed from phase 6 transport and consent law.,NHS_CLINICAL_SAFETY_BASELINE_REVIEWED_2026_04_14,Baseline reviewed on 2026-04-14 against the current NHS clinical safety guidance posture and the local Vecells blueprint corpus. Keep the seed pack versioned because NHS clinical safety standards and onboarding expectations may refresh.,blueprint/phase-6-the-pharmacy-loop.md#PharmacyConsentCheckpoint|blueprint/phase-0-the-foundation-protocol.md#Consent,PharmacyConsentCheckpoint|PharmacyDispatchSettlement,PharmacyConsoleContinuityEvidenceProjection|AudienceSurfaceRuntimeBinding,PROC_PHARMACY_BOUNCE_BACK_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW
