question_id,question_group,question_label,response_value,artifact_id,artifact_type,mock_or_actual,submittable_state,source_blueprint_refs,official_process_stage,supplier_scope,capability_family,required_prerequisite,current_evidence_ref,gap_state,owner_role,review_due_at,notes
fld_contact_name,Exact public prerequisites form,Name,Vecells interoperability lead,ART_123_PREREQ_FLD_CONTACT_NAME_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/analysis/im1_prerequisites_field_map.json#fld_contact_name,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_contact_name,Exact public prerequisites form,Name,Named form submitter full name.,ART_123_PREREQ_FLD_CONTACT_NAME_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_named_owner_and_legal_entity_confirmed,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/assurance/im1_gap_register.json#GAP_IM1_NAMED_SUBMITTER_AND_SPONSOR_NOT_FIXED,gap_open,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_contact_email,Exact public prerequisites form,Email,interoperability@vecells.example,ART_123_PREREQ_FLD_CONTACT_EMAIL_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/analysis/im1_prerequisites_field_map.json#fld_contact_email,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_contact_email,Exact public prerequisites form,Email,Named form submitter email address.,ART_123_PREREQ_FLD_CONTACT_EMAIL_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_named_owner_and_legal_entity_confirmed,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/assurance/im1_gap_register.json#GAP_IM1_NAMED_SUBMITTER_AND_SPONSOR_NOT_FIXED,gap_open,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_organisation_name,Exact public prerequisites form,Organisation name,Vecells Ltd,ART_123_PREREQ_FLD_ORGANISATION_NAME_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/analysis/im1_prerequisites_field_map.json#fld_organisation_name,covered_with_mock_evidence,ROLE_INTEROPERABILITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_organisation_name,Exact public prerequisites form,Organisation name,Consumer supplier legal entity name approved for submission.,ART_123_PREREQ_FLD_ORGANISATION_NAME_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,not_submittable_until_named_owner_and_legal_entity_confirmed,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Named IM1 submitter and approved legal entity,data/assurance/im1_gap_register.json#GAP_IM1_NAMED_SUBMITTER_AND_SPONSOR_NOT_FIXED,gap_open,ROLE_INTEROPERABILITY_LEAD,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_product_name,Exact public prerequisites form,Product name,Vecells,ART_123_PREREQ_FLD_PRODUCT_NAME_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Bounded product naming and scope freeze,data/analysis/im1_prerequisites_field_map.json#fld_product_name,covered_with_mock_evidence,ROLE_PROGRAMME_ARCHITECT,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_product_name,Exact public prerequisites form,Product name,Named IM1 product or system name exactly as submitted.,ART_123_PREREQ_FLD_PRODUCT_NAME_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form,product_profile_defined|official_prerequisites_form_submitted,cross_supplier,submission_identity_and_scope,Bounded product naming and scope freeze,docs/assurance/123_im1_actual_pairing_strategy_later.md,ready_for_conversion_after_submission,ROLE_PROGRAMME_ARCHITECT,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_cso_confirmed,Clinical safety prerequisites,Qualified Clinical Safety Officer in place,yes,ART_123_PREREQ_FLD_CSO_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,data/assurance/dcb0129_hazard_register.json#summary,covered_with_mock_evidence,ROLE_MANUFACTURER_CSO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_cso_confirmed,Clinical safety prerequisites,Qualified Clinical Safety Officer in place,Yes only when the named CSO appointment exists and is current.,ART_123_PREREQ_FLD_CSO_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,docs/assurance/123_im1_actual_pairing_strategy_later.md#step-02-refresh-clinical-safety-and-ig-evidence,ready_for_refresh_before_submission,ROLE_MANUFACTURER_CSO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_use_case_description_confirmed,Clinical safety prerequisites,Detailed use case description covering the whole product,yes,ART_123_PREREQ_FLD_USE_CASE_DESCRIPTION_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,product_profile_defined|prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,data/assurance/dcb0129_hazard_register.json#summary,covered_with_mock_evidence,ROLE_MANUFACTURER_CSO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_use_case_description_confirmed,Clinical safety prerequisites,Detailed use case description covering the whole product,Yes only when the bounded IM1 use case dossier exists and matches the full product scope.,ART_123_PREREQ_FLD_USE_CASE_DESCRIPTION_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form,product_profile_defined|prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,docs/assurance/123_im1_actual_pairing_strategy_later.md#step-02-refresh-clinical-safety-and-ig-evidence,ready_for_refresh_before_submission,ROLE_MANUFACTURER_CSO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_clinical_safety_process_confirmed,Clinical safety prerequisites,Written clinical safety process and uplift commitment,yes,ART_123_PREREQ_FLD_CLINICAL_SAFETY_PROCESS_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,data/assurance/dcb0129_hazard_register.json#summary,covered_with_mock_evidence,ROLE_MANUFACTURER_CSO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_clinical_safety_process_confirmed,Clinical safety prerequisites,Written clinical safety process and uplift commitment,Yes only when the current clinical safety process and uplift cadence exist.,ART_123_PREREQ_FLD_CLINICAL_SAFETY_PROCESS_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,docs/assurance/123_im1_actual_pairing_strategy_later.md#step-02-refresh-clinical-safety-and-ig-evidence,ready_for_refresh_before_submission,ROLE_MANUFACTURER_CSO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_hazard_log_commitment_confirmed,Clinical safety prerequisites,Hazard log capability and uplift commitment,yes,ART_123_PREREQ_FLD_HAZARD_LOG_COMMITMENT_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,data/assurance/dcb0129_hazard_register.json#summary,covered_with_mock_evidence,ROLE_MANUFACTURER_CSO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_hazard_log_commitment_confirmed,Clinical safety prerequisites,Hazard log capability and uplift commitment,Yes only when the hazard log template is active and reviewable.,ART_123_PREREQ_FLD_HAZARD_LOG_COMMITMENT_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,docs/assurance/123_im1_actual_pairing_strategy_later.md#step-02-refresh-clinical-safety-and-ig-evidence,ready_for_refresh_before_submission,ROLE_MANUFACTURER_CSO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_samd_scrutiny_confirmed,Clinical safety prerequisites,SaMD additional scrutiny understood where applicable,yes,ART_123_PREREQ_FLD_SAMD_SCRUTINY_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form|official_im1_pairing_process,prerequisites_drafted|official_prerequisites_form_submitted|official_rfc_submitted_for_significant_change,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,data/assurance/dcb0129_hazard_register.json#summary,covered_with_mock_evidence,ROLE_MANUFACTURER_CSO,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
fld_samd_scrutiny_confirmed,Clinical safety prerequisites,SaMD additional scrutiny understood where applicable,Yes only when medical-device posture has been reviewed against the IM1 use case.,ART_123_PREREQ_FLD_SAMD_SCRUTINY_CONFIRMED_ACTUAL,im1_prerequisite_question,actual_production_strategy_later,conversion_plan_only,official_im1_prerequisites_form|official_im1_pairing_process,prerequisites_drafted|official_prerequisites_form_submitted|official_rfc_submitted_for_significant_change,cross_supplier,clinical_safety,Current DCB0129 hazard register and safety-case structure,docs/assurance/123_im1_actual_pairing_strategy_later.md#step-02-refresh-clinical-safety-and-ig-evidence,ready_for_refresh_before_submission,ROLE_MANUFACTURER_CSO,2026-05-14,"Convert only after the prerequisites form, SCAL, and provider-specific gates are current."
fld_dspt_commitment_confirmed,Information governance prerequisites,DSPT annual assessment commitment,yes,ART_123_PREREQ_FLD_DSPT_COMMITMENT_CONFIRMED_MOCK,im1_prerequisite_question,mock_now_execution,pre_pairing_non_submittable,official_im1_prerequisites_form,prerequisites_drafted|official_prerequisites_form_submitted,cross_supplier,information_governance_and_security,Refresh DSPT evidence after par_121 and close the stale prerequisite dependency,data/assurance/dspt_gap_register.json#summary,covered_with_mock_evidence,ROLE_SECURITY_LEAD,2026-05-14,Pre-pairing response only; keep it visible as rehearsal-grade and non-submittable.
