row_id,entry_kind,bundle_refs,scope_or_claim_ref,product_purpose,exact_in_product_use,route_binding_refs,assurance_level_assumption,dependent_integration_refs,blocked_reason,contact_truth_boundary,current_evidence_ref,gap_state,owner_role,review_due_at,notes
ROW_124_SCOPE_OPENID,scope,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,openid,patient authentication rail,required OIDC scope for every sign-in and callback verification path,rb_patient_intake_upgrade|rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Mandatory in every bundle.
ROW_124_SCOPE_EMAIL,scope,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,email,contact candidate continuity,used to prefill or confirm contact candidate details after sign-in without overwriting local preference,rb_patient_intake_upgrade|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,NHS login email is not contact authority.
ROW_124_SCOPE_PHONE,scope,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,phone,contact candidate continuity,used to show or confirm phone candidate details after sign-in without overwriting local preference,rb_patient_intake_upgrade|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,NHS login phone is not contact authority.
ROW_124_SCOPE_PROFILE,scope,sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,profile,patient identity continuity,used to retrieve patient identity claims needed for continuity and local matching,rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_gp_im1_pairing,P5_or_P9_by_route,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Standard patient-facing identity bundle.
ROW_124_SCOPE_PROFILE_EXTENDED,scope,sb_patient_profile_extended,profile_extended,extended patient continuity,used only on appointments and health-record routes where a broader identity payload is explicitly justified,rb_patient_appointments|rb_patient_health_record,P9_with_local_capability_gate,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,needs_actual_assurance_confirmation,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Needs later environment-specific approval confirmation.
ROW_124_SCOPE_GP_INTEGRATION_CREDENTIALS,scope,sb_gp_im1_pairing,gp_integration_credentials,IM1 linkage and GP pairing,used only for explicit IM1 pairing journeys after external approval,rb_gp_im1_pairing,P9_plus_IM1_and_external_approval,par_123_im1_scal_readiness_pack|actual_im1_live_or_approved_third_party,blocked_until_actual_im1_pairing_and_scope_approval_are_real,not_contact_truth,EVID_124_GAP_REGISTER,blocked_by_actual_im1_pairing_and_scope_approval,ROLE_INTEROPERABILITY_EVIDENCE_LEAD,2026-06-10,Blocked outside simulator rehearsal.
ROW_124_CLAIM_SUB,claim,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,sub,stable upstream subject binding,used as the upstream identity subject and never as direct write authority,rb_patient_intake_upgrade|rb_secure_link_recovery|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Supports subject comparison and session fencing.
ROW_124_CLAIM_ISS,claim,sb_auth_contact_minimum,iss,token provenance validation,used only to validate issuer and callback provenance,rb_patient_intake_upgrade|rb_patient_settings_link,P0_minimum,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_IDENTITY_DOMAIN_LEAD,2026-05-08,Protocol verification only.
ROW_124_CLAIM_AUD,claim,sb_auth_contact_minimum,aud,token audience validation,used only to validate the intended relying party client,rb_patient_intake_upgrade|rb_patient_settings_link,P0_minimum,none,not_blocked,not_contact_truth,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_IDENTITY_DOMAIN_LEAD,2026-05-08,Protocol verification only.
ROW_124_CLAIM_EMAIL,claim,sb_auth_contact_minimum|sb_patient_profile|sb_patient_profile_extended|sb_gp_im1_pairing,email,contact candidate continuity,shown as candidate contact data and never as authoritative patient contact truth,rb_patient_intake_upgrade|rb_patient_home|rb_patient_requests|rb_patient_appointments|rb_patient_health_record|rb_patient_messages|rb_patient_settings_link|rb_gp_im1_pairing,P0_to_P9_by_route,none,not_blocked,not_authoritative_contact_source,EVID_124_MOCK_SCOPE_CLAIM_MATRIX,clear_for_mock_only,ROLE_PRODUCT_AND_ASSURANCE_LEAD,2026-05-08,Contact-source separation remains explicit.
