hazard_id,hazard_title,hazard_family,canonical_invariant_refs,platform_service_refs,route_runtime_publication_control_refs,operational_procedure_refs,review_event_refs,existing_control_refs,required_control_refs,verification_evidence_refs,notes
HZ-121-001,Wrong-patient identity binding or correction failure allows care actions on the wrong subject.,identity_authorization,blueprint/phase-0-the-foundation-protocol.md#Mutate only current truth|blueprint/phase-2-identity-and-echoes.md#IdentityBindingAuthority,IdentityBindingAuthority|AccessGrantService,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord,PROC_IDENTITY_REPAIR_ESCALATION|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_IDENTITY_AND_TELEPHONY_CHANGE|REV_ANNUAL_BASELINE_REVIEW,CTRL_IDENTITY_REPAIR_FREEZE|CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_IDENTITY_REPAIR_VALIDATION|EVID_ACCESS_GRANT_VALIDATION,Primary manufacturer-side identity hazard seed.
HZ-121-002,Urgent-diversion miss or delayed safety preemption after clinically meaningful evidence changes.,safety_screening_triage,blueprint/phase-0-the-foundation-protocol.md#Mandatory preemption rule|blueprint/phase-1-the-red-flag-gate.md#full rule decision-table coverage,EvidenceAssimilationCoordinator|SafetyPolicyEngine,StatusStripAuthority|WorkspaceTrustEnvelope,PROC_RULESET_CHANGE_DELTA_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_ANNUAL_BASELINE_REVIEW|REV_RULESET_CHANGE_DELTA,CTRL_EVIDENCE_ASSIMILATION_PREEMPTION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_EVIDENCE_ASSIMILATION_VALIDATION|EVID_CHANGE_DELTA_RECORD,Seed hazard for red-flag monotonicity and incremental ruleset evidence.
HZ-121-003,Duplicate silent merge or wrong-lineage attach hides distinct clinical work.,workflow_concurrency_replay,blueprint/phase-0-the-foundation-protocol.md#same_request_attach|blueprint/phase-0-the-foundation-protocol.md#ReplayCollisionReview,ReplayCollisionReview|DuplicateClusterEvaluator,DecisionEpoch|WorkspaceTrustEnvelope,PROC_POST_INCIDENT_RETRO_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_ANNUAL_BASELINE_REVIEW|REV_IDENTITY_AND_TELEPHONY_CHANGE,CTRL_DUPLICATE_ATTACH_FENCE|CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_DUPLICATE_CLUSTER_VALIDATION|EVID_CHANGE_DELTA_RECORD,Bounded from duplicate and replay controls already present in the blueprint and forensic patch set.
HZ-121-004,Stale writable UI or runtime/publication drift enables an unsafe action from stale truth.,visibility_runtime_publication,blueprint/phase-0-the-foundation-protocol.md#Mutate only current truth|blueprint/phase-0-the-foundation-protocol.md#StatusStripAuthority,RuntimePublicationBundle|StatusStripAuthority,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord|WorkspaceTrustEnvelope,PROC_RELEASE_PUBLICATION_DRIFT_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_BOOKING_AND_NETWORK_CHANGE|REV_SUPPORT_AND_RELEASE_DRIFT|REV_ANNUAL_BASELINE_REVIEW,CTRL_SCOPED_MUTATION_AND_DECISION_EPOCH|CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING|CTRL_WORKSPACE_TRUST_ENVELOPE,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_MUTATION_GATE_VALIDATION|EVID_GATEWAY_SURFACE_VALIDATION|EVID_RELEASE_PARITY_VALIDATION|EVID_WORKSPACE_TRUST_VALIDATION,Derived through GAP_RESOLUTION_HAZARD_DERIVATION_STALE_WRITABLE_UI_V1.
HZ-121-005,More-info or callback delay after patient expectation has been set leaves unsafe unanswered need.,communications_reachability,blueprint/phase-0-the-foundation-protocol.md#Reachability-risk function|blueprint/phase-0-the-foundation-protocol.md#ConversationThreadProjection,ReachabilityGovernor|CommunicationEnvelopeProjection,PatientShellConsistencyProjection|WorkspaceTrustEnvelope,PROC_CALLBACK_PROMISE_REPAIR|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_IDENTITY_AND_TELEPHONY_CHANGE|REV_SUPPORT_AND_RELEASE_DRIFT|REV_ANNUAL_BASELINE_REVIEW,CTRL_REACHABILITY_AND_CALLBACK_EXPECTATION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_REACHABILITY_VALIDATION|EVID_COMMUNICATION_ENVELOPE_VALIDATION,Derived through GAP_RESOLUTION_HAZARD_DERIVATION_CALLBACK_PROMISE_FAILURE_V1.
HZ-121-006,Telephony or continuation route fails after follow-up is promised or before safety-usable evidence is ready.,communications_reachability,blueprint/phase-2-identity-and-echoes.md#telephony-evidence-readiness gating tests|blueprint/phase-2-identity-and-echoes.md#urgent-required-versus-urgent-issued tests,TelephonyEvidenceReadinessAssessment|AccessGrantService,RouteIntentBinding|AudienceSurfaceRuntimeBinding,PROC_TELEPHONY_PATH_CHANGE_REVIEW|PROC_CALLBACK_PROMISE_REPAIR,REV_IDENTITY_AND_TELEPHONY_CHANGE|REV_ANNUAL_BASELINE_REVIEW,CTRL_TELEPHONY_EVIDENCE_READINESS|CTRL_REACHABILITY_AND_CALLBACK_EXPECTATION,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_TELEPHONY_READINESS_VALIDATION|EVID_ACCESS_GRANT_VALIDATION,Telephony-specific DCB0129 seed hazard for Phase 2 parity.
HZ-121-007,Local booking confirmation ambiguity or wrong booking outcome is shown as confirmed.,booking_network_pharmacy,blueprint/phase-0-the-foundation-protocol.md#BookingConfirmationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#ExternalConfirmationGate,BookingConfirmationTruthProjection|ExternalConfirmationGate,AudienceSurfaceRuntimeBinding|ReleasePublicationParityRecord,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_BOOKING_AND_NETWORK_CHANGE|REV_SUPPORT_AND_RELEASE_DRIFT|REV_ANNUAL_BASELINE_REVIEW,CTRL_BOOKING_CONFIRMATION_GATE|CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_BOOKING_CAPABILITY_PROOF|EVID_RELEASE_PARITY_VALIDATION,Booking reassurance must never outrun authoritative confirmation truth.
HZ-121-008,"Network alternative expiry, wrong-site offer, or fallback failure leads to unsafe booking decision.",booking_network_pharmacy,blueprint/phase-0-the-foundation-protocol.md#WaitlistContinuationTruthProjection|blueprint/phase-0-the-foundation-protocol.md#SelectedAnchor,ReservationTruthProjection|HubCoordinationPolicyEvaluator,HubContinuityEvidenceProjection|AudienceSurfaceRuntimeBinding,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_BOOKING_AND_NETWORK_CHANGE|REV_ANNUAL_BASELINE_REVIEW,CTRL_RESERVATION_TRUTH_AND_WAITLIST_FALLBACK,CTRL_HUB_VISIBILITY_POLICY|CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_RESERVATION_QUEUE_VALIDATION|EVID_HUB_POLICY_PLACEHOLDER_V1,Explicitly seeded from the phase 5 safety obligations list.
HZ-121-009,Hub wrong-practice visibility or acknowledgement debt exposes or delays the wrong case.,booking_network_pharmacy,blueprint/phase-0-the-foundation-protocol.md#HubPracticeVisibilityPolicy|blueprint/phase-0-the-foundation-protocol.md#SelectedAnchor,HubPracticeVisibilityPolicy|NetworkCoordinationPolicyEvaluation,AudienceSurfaceRuntimeBinding|WorkspaceTrustEnvelope,PROC_BOOKING_AND_NETWORK_POLICY_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_BOOKING_AND_NETWORK_CHANGE|REV_SUPPORT_AND_RELEASE_DRIFT|REV_ANNUAL_BASELINE_REVIEW,CTRL_HUB_VISIBILITY_POLICY,CTRL_PUBLICATION_PARITY_AND_RUNTIME_BINDING|CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_HUB_POLICY_PLACEHOLDER_V1|EVID_RELEASE_PARITY_VALIDATION,Extends the phase 5 hub safety obligations into the manufacturer-side hazard log.
HZ-121-010,Pharmacy consent drift or stale checkpoint is treated as still valid for dispatch.,booking_network_pharmacy,blueprint/phase-6-the-pharmacy-loop.md#PharmacyConsentCheckpoint|blueprint/phase-0-the-foundation-protocol.md#Consent,PharmacyConsentCheckpoint|PharmacyDispatchSettlement,PharmacyConsoleContinuityEvidenceProjection|AudienceSurfaceRuntimeBinding,PROC_PHARMACY_BOUNCE_BACK_REVIEW|PROC_HIGH_SEVERITY_INDEPENDENT_REVIEW,REV_PHARMACY_CHANGE|REV_ANNUAL_BASELINE_REVIEW,CTRL_PHARMACY_CONSENT_CHECKPOINT,CTRL_MASTER_RISK_AND_NON_APPLICABILITY_RECORD,EVID_PHARMACY_CONSENT_PLACEHOLDER_V1|EVID_CHANGE_DELTA_RECORD,Pharmacy consent safety seed from phase 6 transport and consent law.
