adapterId,adapterFamily,mockOrActual,ingressContractRefs,egressContractRefs,capabilityTuple,unsupportedCapabilityRefs,idempotencyModel,receiptProofModel,degradationProfileRef,seedFixtureRefs,currentValidationState,liveProviderMigrationRef,notes
adp_nhs_login_auth_bridge,identity_access,mock_now_execution,POST /api/nhs-login/begin; POST /api/nhs-login/token,POST /api/nhs-login/callback; AdapterReceiptCheckpoint; SessionEstablishmentDecision,"{""capabilityTupleId"":""adp_nhs_login_auth_bridge::capability_tuple_v1"",""supportedActionScopes"":[""claim"",""support_repair_action""],""effectFamilies"":[""fxf_nhs_login_auth_handoff""],""authoritativeProofObjects"":[""SessionEstablishmentDecision"",""IdentityBinding"",""RouteIntentBinding"",""SessionContinuityFence""],""routeFamilyRefs"":[""rf_intake_self_service"",""rf_patient_secure_link_recovery"",""rf_patient_home"",""rf_patient_requests"",""rf_patient_appointments"",""rf_patient_messages"",""rf_patient_embedded_channel""],""runtimeSurface"":""runtime_http""}",cap_live_partner_redirect_mutation_not_supported; cap_auth_callback_equals_patient_ownership_not_supported,IDEMP_057_DEP_NHS_LOGIN_RAIL_V1 -> exact_replay_verified,OCP_057_IDENTITY_BRIDGE_OUTBOX_V1 + ROP_057_IDENTITY_CALLBACK_ORDER_V1 + SessionEstablishmentDecision | IdentityBinding | RouteIntentBinding | SessionContinuityFence,DDP_057_DEP_NHS_LOGIN_RAIL_PRIMARY_V1,SEED_059_WRONG_PATIENT_IDENTITY_REPAIR_HOLD_ACCESS_GRANT_V1; SEED_059_WRONG_PATIENT_IDENTITY_REPAIR_HOLD_PATIENT_IDENTITY_SEED_V1; grant_scope_envelopes; identity_subject_catalog; route_intent_fixtures,pass,LCC_057_DEP_NHS_LOGIN_RAIL_V1,Replay-safe browser callback plus same-fence session establishment. Partner approval and current redirect inventory; Technical conformance evidence NHS login keeps callback evidence separate from durable patient ownership.
adp_optional_pds_enrichment,identity_access,mock_now_execution,GET /Patient; GET /Patient/:id,OperationOutcome; MockPatient Bundle,"{""capabilityTupleId"":""adp_optional_pds_enrichment::capability_tuple_v1"",""supportedActionScopes"":[""claim"",""support_repair_action""],""effectFamilies"":[""fxf_optional_pds_enrichment_lookup""],""authoritativeProofObjects"":[""IdentityBindingAuthority"",""PdsEnrichmentDecision"",""MatchConfidenceSnapshot"",""FeatureFlagDecision"",""WrongPatientRepairHold""],""routeFamilyRefs"":[""rf_intake_self_service"",""rf_patient_home"",""rf_patient_requests"",""rf_patient_health_record"",""rf_staff_workspace""],""runtimeSurface"":""standalone_http""}",cap_fhir_writeback_not_supported; cap_pds_match_equals_durable_identity_binding_not_supported,IDEMP_057_DEP_PDS_FHIR_ENRICHMENT_V1 -> exact_replay_verified,OCP_057_IDENTITY_BRIDGE_OUTBOX_V1 + ROP_057_IDENTITY_CALLBACK_ORDER_V1 + IdentityBindingAuthority | PdsEnrichmentDecision | MatchConfidenceSnapshot | FeatureFlagDecision | WrongPatientRepairHold,DDP_057_DEP_PDS_FHIR_ENRICHMENT_PRIMARY_V1,SEED_059_WRONG_PATIENT_IDENTITY_REPAIR_HOLD_ACCESS_GRANT_V1; SEED_059_WRONG_PATIENT_IDENTITY_REPAIR_HOLD_PATIENT_IDENTITY_SEED_V1; grant_scope_envelopes; identity_subject_catalog; route_intent_fixtures,pass,LCC_057_DEP_PDS_FHIR_ENRICHMENT_V1,Replay-safe browser callback plus same-fence session establishment. Legal basis and selected access mode; Named approver and environment PDS remains optional enrichment only and never widens identity truth on its own.
adp_telephony_ivr_recording,communications,mock_now_execution,POST /api/telephony/start; POST /api/telephony/webhook,POST /api/telephony/retry-webhook; AdapterReceiptCheckpoint; CallSessionRecord,"{""capabilityTupleId"":""adp_telephony_ivr_recording::capability_tuple_v1"",""supportedActionScopes"":[""reply_message"",""respond_callback"",""support_repair_action""],""effectFamilies"":[""fxf_telephony_ivr_callback_boundary""],""authoritativeProofObjects"":[""CallSession"",""CallbackOutcomeEvidenceBundle"",""AdapterReceiptCheckpoint"",""CallSessionRecord"",""RecordingAvailabilityObservation"",""EvidenceReadinessAssessment"",""SMSContinuationGrant""],""routeFamilyRefs"":[""rf_intake_telephony_capture"",""rf_support_ticket_workspace"",""rf_operations_board""],""runtimeSurface"":""runtime_http""}",cap_live_emergency_dispatch_not_supported; cap_recording_ready_equals_evidence_usable_not_supported,IDEMP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1 -> exact_replay_verified,OCP_057_MESSAGE_OUTBOX_V1 + ROP_057_MESSAGE_RECEIPT_ORDER_V1 + CallSession | CallbackOutcomeEvidenceBundle | AdapterReceiptCheckpoint | CallSessionRecord | RecordingAvailabilityObservation | EvidenceReadinessAssessment | SMSContinuationGrant,DDP_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_PRIMARY_V1,SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_COMMUNICATION_ENVELOPE_V1; SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_ACCESS_GRANT_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_TELEPHONY_CALL_SESSION_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_TELEPHONY_CONTINUATION_CONTEXT_V1; SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_TELEPHONY_CALL_SESSION_V1; SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_TRANSCRIPT_STUB_V1; SEED_059_URGENT_DIVERSION_REQUIRED_THEN_ISSUED_PATIENT_IDENTITY_SEED_V1; SEED_059_URGENT_DIVERSION_REQUIRED_THEN_ISSUED_TELEPHONY_CALL_SESSION_V1; callback_contact_routes; delivery_event_sequences; message_dispatch_rows,pass,LCC_057_DEP_TELEPHONY_IVR_RECORDING_PROVIDER_V1,Webhook or callback ingestion always replays onto the same provider correlation fence. Vendor approval and spend authority; Webhook security and replay posture Telephony callback truth stays bounded until explicit recovery.
adp_transcription_processing,evidence_processing,mock_now_execution,POST /api/jobs/simulate,POST /api/jobs/:id/retry-webhook; POST /api/jobs/:id/supersede,"{""capabilityTupleId"":""adp_transcription_processing::capability_tuple_v1"",""supportedActionScopes"":[""ops_resilience_action"",""support_repair_action""],""effectFamilies"":[""fxf_transcription_processing_derivation""],""authoritativeProofObjects"":[""TelephonyTranscriptReadinessRecord"",""TelephonyEvidenceReadinessAssessment"",""TranscriptReadinessDecision"",""DerivedFactsPackage"",""ManualReviewRequirement"",""SupersessionLedgerEntry""],""routeFamilyRefs"":[""rf_support_replay_observe"",""rf_staff_workspace_child"",""rf_support_ticket_workspace""],""runtimeSurface"":""standalone_http""}",cap_direct_transcript_promotion_not_supported; cap_live_vendor_callback_trust_not_supported,IDEMP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1 -> exact_replay_verified,OCP_057_EVIDENCE_PROCESSING_OUTBOX_V1 + ROP_057_EVIDENCE_PROCESSING_RESULT_ORDER_V1 + TelephonyTranscriptReadinessRecord | TelephonyEvidenceReadinessAssessment | TranscriptReadinessDecision | DerivedFactsPackage | ManualReviewRequirement | SupersessionLedgerEntry,DDP_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_PRIMARY_V1,SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_TELEPHONY_CALL_SESSION_V1; SEED_059_TELEPHONY_URGENT_LIVE_ONLY_CAPTURE_TRANSCRIPT_STUB_V1; artifact_hash_catalog; evidence_snapshot_rows; processing_fault_profiles,pass,LCC_057_DEP_TRANSCRIPTION_PROCESSING_PROVIDER_V1,Polling or callback ingest joins the same artifact or evidence fence. Region and retention posture; Webhook security evidence Transcript readiness remains weaker than evidence usability.
adp_sms_notification_delivery,communications,mock_now_execution,POST /api/notifications/send; POST /api/notifications/webhook,POST /api/notifications/repair; POST /api/notifications/settle,"{""capabilityTupleId"":""adp_sms_notification_delivery::capability_tuple_v1"",""supportedActionScopes"":[""reply_message"",""respond_callback"",""support_repair_action""],""effectFamilies"":[""fxf_sms_notification_delivery""],""authoritativeProofObjects"":[""AdapterReceiptCheckpoint"",""AccessGrant"",""CommunicationEnvelope"",""ReplayReviewDecision"",""ControlledResendAuthorisation"",""DeliveryRepairWindow"",""AuditReplayEnvelope"",""SMSContinuationGrant"",""DeliveryEvidence"",""LinkRedemptionFence"",""WrongRecipientRepairDecision""],""routeFamilyRefs"":[""rf_patient_secure_link_recovery"",""rf_patient_messages"",""rf_support_ticket_workspace""],""runtimeSurface"":""runtime_http""}",cap_transport_acceptance_equals_patient_safe_settlement_not_supported; cap_live_sender_mutation_not_supported,IDEMP_057_DEP_SMS_NOTIFICATION_PROVIDER_V1 -> exact_replay_verified,OCP_057_MESSAGE_OUTBOX_V1 + ROP_057_MESSAGE_RECEIPT_ORDER_V1 + AdapterReceiptCheckpoint | AccessGrant | CommunicationEnvelope | ReplayReviewDecision | ControlledResendAuthorisation | DeliveryRepairWindow | AuditReplayEnvelope | SMSContinuationGrant | DeliveryEvidence | LinkRedemptionFence | WrongRecipientRepairDecision,DDP_057_DEP_SMS_NOTIFICATION_PROVIDER_PRIMARY_V1,SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_PATIENT_IDENTITY_SEED_V1; SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_COMMUNICATION_ENVELOPE_V1; SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_ACCESS_GRANT_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_PATIENT_IDENTITY_SEED_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_TELEPHONY_CALL_SESSION_V1; SEED_059_TELEPHONY_SEEDED_VS_CHALLENGE_CONTINUATION_TELEPHONY_CONTINUATION_CONTEXT_V1; callback_contact_routes; delivery_event_sequences; message_dispatch_rows,pass,LCC_057_DEP_SMS_NOTIFICATION_PROVIDER_V1,Webhook or callback ingestion always replays onto the same provider correlation fence. Repair policy approval; Audit log export and replay guard evidence Repair stays explicit before authoritative settlement.
adp_email_notification_delivery,communications,mock_now_execution,POST /api/notifications/send; POST /api/notifications/webhook,POST /api/notifications/repair; POST /api/notifications/settle,"{""capabilityTupleId"":""adp_email_notification_delivery::capability_tuple_v1"",""supportedActionScopes"":[""reply_message"",""respond_callback"",""support_repair_action""],""effectFamilies"":[""fxf_email_notification_delivery""],""authoritativeProofObjects"":[""MessageDeliveryEvidenceBundle"",""AdapterReceiptCheckpoint"",""CommunicationEnvelope"",""ReplayReviewDecision"",""ControlledResendAuthorisation"",""DeliveryRepairWindow"",""AuditReplayEnvelope"",""DeliveryAttempt"",""DeliveryEvidence"",""TemplateVersionBinding"",""RepairDecision""],""routeFamilyRefs"":[""rf_patient_secure_link_recovery"",""rf_patient_messages"",""rf_support_ticket_workspace""],""runtimeSurface"":""runtime_http""}",cap_transport_acceptance_equals_patient_safe_settlement_not_supported; cap_live_domain_mutation_not_supported,IDEMP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1 -> exact_replay_verified,OCP_057_MESSAGE_OUTBOX_V1 + ROP_057_MESSAGE_RECEIPT_ORDER_V1 + MessageDeliveryEvidenceBundle | AdapterReceiptCheckpoint | CommunicationEnvelope | ReplayReviewDecision | ControlledResendAuthorisation | DeliveryRepairWindow | AuditReplayEnvelope | DeliveryAttempt | DeliveryEvidence | TemplateVersionBinding | RepairDecision,DDP_057_DEP_EMAIL_NOTIFICATION_PROVIDER_PRIMARY_V1,SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_COMMUNICATION_ENVELOPE_V1; SEED_059_FALLBACK_REVIEW_AFTER_ACCEPTED_PROGRESS_DEGRADES_PATIENT_IDENTITY_SEED_V1; SEED_059_CLEAN_SELF_SERVICE_SUBMIT_COMMUNICATION_ENVELOPE_V1; SEED_059_CLEAN_SELF_SERVICE_SUBMIT_PATIENT_IDENTITY_SEED_V1; SEED_059_DUPLICATE_COLLISION_OPEN_REVIEW_PATIENT_IDENTITY_SEED_V1; SEED_059_DUPLICATE_RETRY_RETURN_PRIOR_ACCEPTED_PATIENT_IDENTITY_SEED_V1; SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_COMMUNICATION_ENVELOPE_V1; SEED_059_SUPPORT_REPLAY_RESTORE_SAME_SHELL_RECOVERY_PATIENT_IDENTITY_SEED_V1; SEED_059_URGENT_DIVERSION_REQUIRED_THEN_ISSUED_PATIENT_IDENTITY_SEED_V1; SEED_059_URGENT_DIVERSION_REQUIRED_THEN_ISSUED_TELEPHONY_CALL_SESSION_V1; callback_contact_routes; delivery_event_sequences; message_dispatch_rows,pass,LCC_057_DEP_EMAIL_NOTIFICATION_PROVIDER_V1,Webhook or callback ingestion always replays onto the same provider correlation fence. Repair policy approval; Audit log export and replay guard evidence Webhook signature recovery remains visible and unresolved until an operator-safe path clears it.
adp_malware_artifact_scanning,evidence_processing,mock_now_execution,pack://35_evidence_processing_lab_pack::scan_profiles,pack://35_evidence_processing_lab_pack::scan_scenarios,"{""capabilityTupleId"":""adp_malware_artifact_scanning::capability_tuple_v1"",""supportedActionScopes"":[""ops_resilience_action"",""support_repair_action""],""effectFamilies"":[""fxf_malware_artifact_scan""],""authoritativeProofObjects"":[""ScanVerdict"",""QuarantineDecision"",""ReleaseFromQuarantineDecision"",""ReacquireEvidenceRequest""],""routeFamilyRefs"":[""rf_patient_health_record"",""rf_support_ticket_workspace"",""rf_governance_shell""],""runtimeSurface"":""missing_runtime""}",cap_runtime_scan_callback_service_not_supported; cap_clean_verdict_equals_release_not_supported,IDEMP_057_DEP_MALWARE_SCANNING_PROVIDER_V1 -> contract_only_or_gap,OCP_057_EVIDENCE_PROCESSING_OUTBOX_V1 + ROP_057_EVIDENCE_PROCESSING_RESULT_ORDER_V1 + ScanVerdict | QuarantineDecision | ReleaseFromQuarantineDecision | ReacquireEvidenceRequest,DDP_057_DEP_MALWARE_SCANNING_PROVIDER_PRIMARY_V1,,blocked,LCC_057_DEP_MALWARE_SCANNING_PROVIDER_V1,"Polling or callback ingest joins the same artifact or evidence fence. Storage scope and quarantine policy; Webhook security and mutation gate posture adp_malware_artifact_scanning has a canonical adapter profile and seeded evidence pack, but no executable simulator runtime is currently present in the repo."
adp_im1_pairing_programme_gate,gp_booking,mock_now_execution,POST /api/im1/search; POST /api/im1/hold; POST /api/im1/commit,AdapterReceiptCheckpoint; BookingConfirmationTruthProjection,"{""capabilityTupleId"":""adp_im1_pairing_programme_gate::capability_tuple_v1"",""supportedActionScopes"":[""manage_booking"",""accept_waitlist_offer"",""accept_network_alternative""],""effectFamilies"":[""fxf_im1_pairing_programme_gate""],""authoritativeProofObjects"":[""ProviderCapabilitySnapshot"",""SlotSearchTruth"",""BookingCommitAttempt"",""BookingConfirmationTruthProjection""],""routeFamilyRefs"":[""rf_patient_appointments"",""rf_staff_workspace"",""rf_operations_board""],""runtimeSurface"":""runtime_http""}",cap_live_supplier_pairing_not_supported; cap_accepted_commit_equals_confirmed_booking_not_supported,IDEMP_057_DEP_IM1_PAIRING_PROGRAMME_V1 -> exact_replay_verified,OCP_057_BOOKING_PROVIDER_OUTBOX_V1 + ROP_057_BOOKING_PROVIDER_RECEIPT_ORDER_V1 + ProviderCapabilitySnapshot | SlotSearchTruth | BookingCommitAttempt | BookingConfirmationTruthProjection,DDP_057_DEP_IM1_PAIRING_PROGRAMME_PRIMARY_V1,SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_BOOKING_CASE_V1; SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_PATIENT_IDENTITY_SEED_V1; booking_slot_windows; capacity_feed_snapshots; supplier_roster_rows,pass,LCC_057_DEP_IM1_PAIRING_PROGRAMME_V1,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash. Current supplier roster and pairing approval; Bounded use-case approval Provider-like confirmation remains explicit and typed."
adp_gp_supplier_path_resolution,gp_booking,mock_now_execution,POST /api/im1/search; POST /api/im1/hold; POST /api/im1/commit,AdapterReceiptCheckpoint; ProviderCapabilitySnapshot,"{""capabilityTupleId"":""adp_gp_supplier_path_resolution::capability_tuple_v1"",""supportedActionScopes"":[""manage_booking"",""accept_waitlist_offer"",""accept_network_alternative""],""effectFamilies"":[""fxf_gp_supplier_path_resolution""],""authoritativeProofObjects"":[""ProviderCapabilitySnapshot"",""SlotSearchTruth"",""BookingCommitAttempt"",""BookingConfirmationTruthProjection""],""routeFamilyRefs"":[""rf_patient_appointments"",""rf_staff_workspace"",""rf_hub_queue""],""runtimeSurface"":""runtime_http""}",cap_live_supplier_mutation_not_supported; cap_supplier_path_resolution_without_current_capability_proof_not_supported,IDEMP_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1 -> exact_replay_verified,OCP_057_BOOKING_PROVIDER_OUTBOX_V1 + ROP_057_BOOKING_PROVIDER_RECEIPT_ORDER_V1 + ProviderCapabilitySnapshot | SlotSearchTruth | BookingCommitAttempt | BookingConfirmationTruthProjection,DDP_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_PRIMARY_V1,SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_BOOKING_CASE_V1; SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_PATIENT_IDENTITY_SEED_V1; booking_slot_windows; capacity_feed_snapshots; supplier_roster_rows,pass,LCC_057_DEP_GP_SYSTEM_SUPPLIER_PATHS_V1,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash. Current supplier roster and pairing approval; Bounded use-case approval Provider-like confirmation remains explicit and typed."
adp_local_booking_supplier,gp_booking,mock_now_execution,POST /api/im1/search; POST /api/im1/hold; POST /api/im1/commit,ExternalConfirmationGate; BookingConfirmationTruthProjection,"{""capabilityTupleId"":""adp_local_booking_supplier::capability_tuple_v1"",""supportedActionScopes"":[""manage_booking"",""accept_waitlist_offer"",""accept_network_alternative""],""effectFamilies"":[""fxf_local_booking_commit_and_manage""],""authoritativeProofObjects"":[""BookingConfirmationTruthProjection"",""BookingTransaction"",""ProviderCapabilitySnapshot"",""ExternalConfirmationGate"",""RequestLifecycleLease""],""routeFamilyRefs"":[""rf_patient_appointments"",""rf_staff_workspace"",""rf_hub_queue""],""runtimeSurface"":""runtime_http""}",cap_accepted_commit_equals_confirmed_booking_not_supported; cap_hidden_weak_confirmation_not_supported,IDEMP_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1 -> exact_replay_verified,OCP_057_BOOKING_PROVIDER_OUTBOX_V1 + ROP_057_BOOKING_PROVIDER_RECEIPT_ORDER_V1 + BookingConfirmationTruthProjection | BookingTransaction | ProviderCapabilitySnapshot | ExternalConfirmationGate | RequestLifecycleLease,DDP_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_PRIMARY_V1,SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_BOOKING_CASE_V1; SEED_059_BOOKING_CONFIRMATION_PENDING_AMBIGUITY_PATIENT_IDENTITY_SEED_V1; booking_slot_windows; capacity_feed_snapshots; mailbox_paths; message_bundle_hashes; partner_ack_sequences; supplier_roster_rows,pass,LCC_057_DEP_LOCAL_BOOKING_SUPPLIER_ADAPTERS_V1,"Search, hold, commit, and manage callbacks replay onto one BookingProviderAdapterBinding hash. Bounded booking MVP and architecture refresh; Named sponsor plus commissioning posture Accepted booking commit never auto-upgrades into confirmed truth."
